index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active		
												
1.1	ललाट-	2.1	ललाट-उदयम्	ललाट	ललाट	बहुव्रीहिः,1.2	बहुव्रीहिः,1.2	CP	ललाट-	ललाट-		
1.2	उदयम्	2.2	--	उदय{पुं;2;एक(उत्_इ1;घञ्;अदादिः)}/उदय{नपुं;1;एक}/उदय{नपुं;2;एक}	उदय{नपुं;1;एक}	विशेषणम्,2.1	विशेषणम्,9.1#विशेषणम्,5.3#विशेषणम्,2.1#प्रयोज्यकर्ता,3.2#कर्म,4.1#कर्म,3.2	N1				
2.1	आभुग्नम्	3.1	आभुग्नम्	आभुग्न{पुं;2;एक}/आभुग्न{नपुं;1;एक}/आभुग्न{नपुं;2;एक}	आभुग्न{नपुं;1;एक}	विशेषणम्,5.3	कर्म,4.1#कर्म,3.2#विशेषणम्,5.3	N1	झुका_हुआ	झुका_हुआ		
3.1	पल्लव-	1.1	पल्लव-स्निग्ध-पाटला	पल्लव	पल्लव	कर्मधारयः,3.2	कर्मधारयः,3.2	CP	पल्लव-	पल्लव-		
3.2	स्निग्ध-	1.2	--	स्निग्ध(ष्निह्1;क्त;दिवादिः)	स्निग्ध(ष्निह्1;क्त;दिवादिः)	कर्मधारयः,3.3	कर्मधारयः,3.3	CP				
3.3	पाटला	1.3	--	पाटला{स्त्री;1;एक}	पाटला{स्त्री;1;एक}	विशेषणम्,10.1	विशेषणम्,10.1#विशेषणम्,6.1#कर्ता,10.1	N1	पाटला	पाटला		
4.1	बिभ्रती	5.1	बिभ्रती	बिभ्रत्{नपुं;1;द्वि(भृ2;शतृ_लट्;जुहोत्यादिः)}/बिभ्रत्{नपुं;2;द्वि(भृ2;शतृ_लट्;जुहोत्यादिः)}/बिभ्रत्{स्त्री;1;एक(भृ2;शतृ_लट्;डुभृञ्;जुहोत्यादिः)}	बिभ्रत्{स्त्री;1;एक(भृ2;शतृ_लट्;डुभृञ्;जुहोत्यादिः)}	विशेषणम्,10.1	कर्म,3.2#विशेषणम्,10.1	N1	पीले	पीले		
5.1	श्वेत-	4.1	श्वेत-रोम-अङ्कम्	श्वेत	श्वेत	कर्मधारयः,5.2	कर्मधारयः,5.2	CP	श्वेत-	श्वेत-		
5.2	रोम-	4.2	--	रोमन्	रोमन्	कर्मधारयः,5.3	कर्मधारयः,5.3	CP	रोम-	रोम-		
5.3	अङ्कम्	4.3	--	अङ्क{पुं;2;एक}/अङ्क{नपुं;1;एक}/अङ्क{नपुं;2;एक}	अङ्क{पुं;2;एक}	कर्म,4.1	विशेषणम्,9.1#विशेषणम्,2.1#विशेषणम्,1.2#प्रयोज्यकर्ता,3.2#कर्म,4.1#कर्म,3.2#उपमानम्,3.3#विशेषणम्,8.1	N2	अंक	अंक		
6.1	सन्ध्या	9.1	सन्ध्या	सन्ध्या{स्त्री;1;एक}	सन्ध्या{स्त्री;1;एक}	उपमानम्,10.1	उपमानम्,9.1#उपमानम्,5.3#उपमानम्,3.3#कर्ता,10.1#उपमानम्,10.1	N1	सन्ध्या	सन्ध्या		
7.1	इव	10.1	इव	इव{अव्य}	इव{अव्य}	उपमान_द्योतकः,6.1	उपमानम्_रहित_उपमान_द्योतकः,8.1#उपमान_द्योतकः,6.1	NA	जैसे	जैसे		
8.1	शशिनम्	7.1	शशिनम्	शशिन्{पुं;2;एक}	शशिन्{पुं;2;एक}	कर्म,13.1	उपमानम्,5.3#कर्म,4.1#कर्म,3.2#कर्म,13.1	N2	चाँद_को	चाँद_को		
9.1	नवम्	6.1	नवम्	नव{पुं;2;एक}/नव{नपुं;1;एक}/नव{नपुं;2;एक}	नव{नपुं;1;एक}	विशेषणम्,8.1	उपमानम्,5.3#कर्म,4.1#कर्म,3.2#उपमानम्,3.3#विशेषणम्,8.1#कर्म,13.1	N1	नव	नव		
10.1	(धेनुः)	11.1		धेनु{पुं;1;एक}/धेनु{स्त्री;1;एक}	धेनु{स्त्री;1;एक}	कर्ता,11.1	कर्ता,11.1	N1	गाय_ने	-	-	-
11.1	(आववृते)	13.1	-	आ_वृत्1{कर्तरि;लिट्;प्र;एक;आत्मनेपदी;वृतुँ;भ्वादिः}/आ_वृत्1{कर्तरि;लिट्;उ;एक;आत्मनेपदी;वृतुँ;भ्वादिः}/}	आ_वृत्1{कर्तरि;लिट्;प्र;एक;आत्मनेपदी;वृतुँ;भ्वादिः}	अभिहित_कर्ता,10.1	अभिहित_कर्ता,10.1	KP	आ_वृत्1_अप्_स्क्या	-	-	-
12.1	(वनात्)	12.1		वन{नपुं;5;एक}	वन{नपुं;5;एक}	अपादानम्,11.1	अपादानम्,11.1	N5	वन_से	-	-	-
13.1	(बिभ्रती)	8.1		बिभ्रत्{नपुं;1;द्वि(भृ2;शतृ_लट्;जुहोत्यादिः)}/बिभ्रत्{नपुं;2;द्वि(भृ2;शतृ_लट्;जुहोत्यादिः)}/बिभ्रत्{स्त्री;1;एक(भृ2;शतृ_लट्;डुभृञ्;जुहोत्यादिः)}	बिभ्रत्{स्त्री;1;एक(भृ2;शतृ_लट्;डुभृञ्;जुहोत्यादिः)}	विशेषणम्,6.1	कर्म,3.2#विशेषणम्,6.1	N1	पीले	पीले		
