index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	दुष्प्राप-	1.1	दुष्प्रापयशाः	दुष्प्राप	दुष्प्राप	बहुव्रीहिः,1.2	बहुव्रीहिः,1.2	CP	दुष्प्राप-यशस्	-	-	-
1.2	यशाः	1.2	-	यशस्{पुं;1;एक}	यशस्{पुं;1;एक}	विशेषणम्,4.1	विशेषणम्,4.1	N1				-
2.1	श्रान्त-	2.1	श्रान्तवाहनः	श्रान्त-	श्रान्त-	बहुव्रीहिः,2.2	बहुव्रीहिः,2.2	CP	वाहन_से	-	-	-
2.2	वाहनः	2.2		वाहन{पुं;1;एक}	वाहन{पुं;1;एक}	विशेषणम्,4.1	विशेषणम्,4.1	N1				
3.1	महिषी-	3.1	महर्षेर्महिषीसखः	महिषी-	महिषी-	षष्ठी-तत्पुरुषः,3.2	षष्ठी-तत्पुरुषः,3.2	CP	रानी-सख	-	-	-
3.2	सखः	3.2	-	सख{पुं;1;एक}	सख{पुं;1;एक}	विशेषणम्,4.1	विशेषणम्,4.1	N1				-
4.1	सः	4.1	स	तद्{सर्वनाम;पुं;1;एक}	तद्{सर्वनाम;पुं;1;एक}	कर्ता,10.1	कर्ता,10.1	N1	वह	-	-	-
5.1	सायम्	5.1	सायम्	सायम्{अव्य}	सायम्{अव्य}	कालाधिकरणम्,10.1	कालाधिकरणम्,10.1	NA	संध्याकाल	-	-	-
6.1	संयमिनः	6.1	संयमिनस्तस्य	संयमिन्{पुं;1;बहु}/संयमिन्{पुं;2;बहु}/संयमिन्{पुं;5;एक}/संयमिन्{पुं;6;एक}/संयमिन्{पुं;8;बहु}	संयमिन्{पुं;6;एक}	विशेषणम्,8.1	विशेषणम्,8.1	N6	संयमी_के	-	-	-
7.1	तस्य	7.1	तस्य	तद्{सर्वनाम;नपुं;6;एक}/तद्{सर्वनाम;पुं;6;एक}	तद्{सर्वनाम;पुं;6;एक}	विशेषणम्,8.1	विशेषणम्,8.1	N6	उस	-	-	-
8.1	महर्षेः	8.1	महर्षेर्महिषीसखः	महर्षि{पुं;5;एक}/महर्षि{पुं;6;एक}	महर्षि{पुं;6;एक}	षष्ठीसम्बन्धः,9.1	षष्ठीसम्बन्धः,9.1	N6	महर्षि_का	-	-	-
9.1	आश्रमम्	9.1	प्रापदाश्रमं	आश्रम{पुं;2;एक}/आश्रम{नपुं;1;एक}/आश्रम{नपुं;2;एक}	आश्रम{नपुं;2;एक}	कर्म,10.1	कर्म,10.1	N2	आश्रम	-	-	-
10.1	प्रापत्	10.1	प्रापदाश्रमं	प्र_आप्1{कर्तरि;लुङ्;प्र;एक;परस्मैपदी;आपॢँ;स्वादिः}	प्र_आप्1{कर्तरि;लुङ्;प्र;एक;परस्मैपदी;आपॢँ;स्वादिः}	अभिहित_कर्ता,4.1;सकर्मक.1	अभिहित_कर्ता,4.1;सकर्मक.1	KP	प्राप्त_हुआ	-	-	-
