index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	तनु-	2.1	तनुवाग्विभवोऽपि	तनु	तनु	बहुव्रीहिः,1.2	बहुव्रीहिः,1.2	CP	शरीर-वाक्-धन	-	-	-
1.2	वाक्-	2.2	-	वाक्	वाक्	षष्ठी-तत्पुरुषः,1.3	षष्ठी-तत्पुरुषः,1.3	CP				-
1.3	विभवः	2.3	-	विभु{पुं;1;बहु}/विभु{पुं;8;बहु}/विभव{पुं;1;एक}	विभव{पुं;1;एक}	विशेषणम्,2.1	विशेषणम्,2.1	N1				-
2.1	सन्	6.1	सन्	सत्{पुं;1;एक(अस्2;शतृ_लट्;असँ;अदादिः)}	सत्{पुं;1;एक(अस्2;शतृ_लट्;असँ;अदादिः)}	वर्तमानसमानकालः,8.1	वर्तमानसमानकालः,8.1	N1	सज्जन	-	-	-
3.1	अपि	3.1	-	अपि{अव्य}	अपि{अव्य}	सम्बन्धः,2.1	सम्बन्धः,2.1	NA	भी	-	-	-
4.1	तद्-	4.1	तद्गुणैः	तद्	तद्	षष्ठी-तत्पुरुषः,4.2	षष्ठी-तत्पुरुषः,4.2	CP	वह-गुणों_से	-	-	-
4.2	गुणैः	4.2	-	गुण{पुं;3;बहु}/गुण{नपुं;3;बहु}	गुण{नपुं;3;बहु}	करणम्,6.1	करणम्,6.1	N3				-
5.1	कर्णम्	8.1	कर्णम्	कर्ण{पुं;2;एक}	कर्ण{पुं;2;एक}	कर्म,6.1	कर्म,6.1	N2	कर्ण	-	-	-
6.1	आगत्य	5.1	आगत्य	गम्1{अव्य;ल्यप्;गमॢँ;भ्वादिः}	आङ्_गम्1{अव्य;ल्यप्;गमॢँ;भ्वादिः}	पूर्वकालः,13.1	पूर्वकालः,13.1	NA	आ_कर	-	-	-
7.1	चापलाय	6.1	चापलाय	चापल{नपुं;4;एक}	चापल{नपुं;4;एक}	प्रयोजनम्,8.1	प्रयोजनम्,8.1	N4	चापल_के_लिये	-	-	-
8.1	प्रचोदितः	7.1	प्रचोदितः	प्रचोदित{पुं;1;एक(चुद्1;क्त;चुदँ;चुरादिः)}	प्रचोदित{पुं;1;एक(चुद्1;क्त;चुदँ;चुरादिः)}	विशेषणम्,9.1	विशेषणम्,9.1	N1	ण्थ्या_हुआ	-	-	-
9.1	(अहम्)	1.1	(अहम्)	अस्मद्{सर्वनाम;1;एक}	अस्मद्{सर्वनाम;1;एक}	कर्ता,13.1	कर्ता,13.1	N1	मैं	-	-	-
10.1	सन्	8.1	सन्	सत्{पुं;1;एक(अस्2;शतृ_लट्;असँ;अदादिः)}	सत्{पुं;1;एक(अस्2;शतृ_लट्;असँ;अदादिः)}	वर्तमानसमानकालः,13.1	वर्तमानसमानकालः,13.1	N1	सज्जन	-	-	-
11.1	रघूणाम्	9.1	रघूणाम्	रघु{पुं;6;बहु}	रघु{पुं;6;बहु}	कर्ता,12.1	कर्ता,12.1	N6	रघुओं_का	-	-	-
12.1	अन्वयं	10.1	अन्वयं	अन्वय{पुं;2;एक}/अन्वय{पुं;2;एक(इ1;घञ्;इण्;अदादिः)}	अन्वय{पुं;2;एक(इ1;घञ्;इण्;अदादिः)}	कर्म,13.1	कर्म,13.1	N2	-	-	-	-
13.1	वक्ष्ये	11.1	वक्ष्ये	वच्1{कर्मणि;लृट्;उ;एक;आत्मनेपदी;वचँ;अदादिः}/वह्1{कर्तरि;लृट्;उ;एक;आत्मनेपदी;वहँ;भ्वादिः}/वह्1{कर्मणि;लृट्;उ;एक;आत्मनेपदी;वहँ;भ्वादिः}/ब्रू1{कर्मणि;लृट्;उ;एक;आत्मनेपदी;ब्रूञ्;अदादिः}/वक्ष्1{भावे;लट्;उ;एक;आत्मनेपदी;वक्षँ;भ्वादिः}/वक्ष्य{पुं;7;एक(वक्ष्1;ण्यत्;वक्षँ;भ्वादिः)}/वक्ष्य{नपुं;1;द्वि(वक्ष्1;ण्यत्;वक्षँ;भ्वादिः)}/वक्ष्य{नपुं;2;द्वि(वक्ष्1;ण्यत्;वक्षँ;भ्वादिः)}/वक्ष्य{नपुं;7;एक(वक्ष्1;ण्यत्;वक्षँ;भ्वादिः)}/वक्ष्या{स्त्री;1;द्वि(वक्ष्1;ण्यत्;वक्षँ;भ्वादिः)}/वक्ष्या{स्त्री;2;द्वि(वक्ष्1;ण्यत्;वक्षँ;भ्वादिः)}	वह्1{कर्तरि;लृट्;उ;एक;आत्मनेपदी;वहँ;भ्वादिः}	अभिहित_कर्ता,9.1;सकर्मक.1	अभिहित_कर्ता,9.1;सकर्मक.1	KP	ढोऊँगा	-	-	-
