index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	तथा		तथा	तथा{अव्य}	तथा{अव्य}	सम्बन्धः,7.1	सम्बन्धः,7.1#क्रियाविशेषणम्,7.1	NA	और	और
2.1	ईश्वर-		ईश्वर-ज्ञानस्य	ईश्वर-	ईश्वर-	षष्टीतत्पुरुषसमासः,2.2	षष्टीतत्पुरुषसमासः,2.2	CP	ईश्वर-	ईश्वर-
2.2	ज्ञानस्य		--	ज्ञान{नपुं;6;एक}/ज्ञान{पुं;6;एक}	ज्ञान{नपुं;6;एक}	षष्ठीसम्बन्धः,3.1	षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,5.1#षष्ठीसम्बन्धः,3.1	N6	ज्ञान_की	ज्ञान_की
3.1	अपेक्षा		अपेक्षा	अपेक्षा{स्त्री;1;एक}	अपेक्षा{स्त्री;1;एक}	कर्ता,7.1	कर्ता_बे_वेर्ब्स्,7.1	N1	अपेक्षा	अपेक्षा
4.1	सर्वेषु		सर्वेषु	सर्व{सर्वनाम;पुं;7;बहु}/सर्व{सर्वनाम;नपुं;7;बहु}	सर्व{सर्वनाम;पुं;7;बहु}	विशेषणम्,5.1	अधिकरणम्,7.1#विशेषणम्,5.1	N7	सब_	सब_
5.1	मनुष्येषु		मनुष्येषु	मनुष्य{पुं;7;बहु}	मनुष्य{पुं;7;बहु}	अधिकरणम्,7.1	अधिकरणम्,7.1	N7	मनुष्यों_में	मनुष्यों_में
6.1	अवश्यम्		अवश्यं	अवश्यम्{अव्य}	अवश्यम्{अव्य}	क्रियाविशेषणम्,7.1	क्रियाविशेषणम्,7.1	NA	अवश्य	अवश्य
7.1	भवति		भवति	भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}/भवती{स्त्री;8;एक}/भवत्{सर्वनाम;पुं;7;एक}/भवत्{पुं;7;एक}	भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता,3.1	-	KP	होती_है	होती_है
8.1	.		.	-	-	-	-	FS	-	-
										
