index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
1.1	तत्	5	तद्भूतनाथानुग	तद्{सर्वनाम;नपुं;1;एक}/तद्{सर्वनाम;नपुं;2;एक}	तद्{सर्वनाम;नपुं;1;एक}	विशेषणम्,2.3	विशेषणम्,2.3	N1	वह	वह
2.1	भूत-			भूत(भू1;क्त;भ्वादिः)	भूत(भू1;क्त;भ्वादिः)	उपपद-तत्पुरुषः,2.2	उपपद-तत्पुरुषः,2.2	CP		
2.2	नाथ-		--	नाथ	नाथ	षष्ठी-तत्पुरुषः,2.3	षष्ठी-तत्पुरुषः,2.3	CP	नाथ-	नाथ-
2.3	अनुग		--	अनुग{पुं;8;एक}/अनुग{नपुं;8;एक}	अनुग{पुं;8;एक}	सम्बोधनम्,5.1	सम्बोधनम्,5.1	N8	अनुग	अनुग
3.1	न	6	नार्हसि	न{अव्य}	न{अव्य}	प्रतिषेधः,4.1	प्रतिषेधः,4.1	NA		
4.1	अर्हसि			अर्ह्1{कर्तरि;लट्;म;एक;परस्मैपदी;भ्वादिः}	अर्ह्1{कर्तरि;लट्;म;एक;परस्मैपदी;भ्वादिः}	अभिहित_कर्ता	अभिहित_कर्ता	KP	योग्य_नहीं_होते_हो	योग्य_नहीं_होते_हो
5.1	त्वम्	7	त्वम्	युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,7.1	कर्ता,7.1	N1	तुम	तुम
6.1	सम्बन्धिनः	8	सम्बन्धिनः	सम्बन्धिन्{पुं;1;बहु}/सम्बन्धिन्{पुं;2;बहु}/सम्बन्धिन्{पुं;5;एक}/सम्बन्धिन्{पुं;6;एक}/सम्बन्धिन्{पुं;8;बहु}	सम्बन्धिन्{पुं;6;एक}	कर्म,8.1	कर्म,8.1	N6	सम्बन्धी_का	सम्बन्धी_का
7.1	मे	9	मे	अस्मद्{सर्वनाम;6;एक}/अस्मद्{सर्वनाम;4;एक}	अस्मद्{सर्वनाम;6;एक}	षष्ठीसम्बन्धः,6.1	षष्ठीसम्बन्धः,6.1	N6	मेरे	मेरे
8.1	प्रणयम्	10	प्रणयम्	प्रणय{पुं;2;एक}	प्रणय{पुं;2;एक}	कर्म,9.1	कर्म,9.1	N2	विवाह_करने_को	विवाह_करने_को
9.1	विहन्तुम्	11	विहन्तुम्	वि_हन्1{अव्य;तुमुन्;अदादिः}	वि_हन्1{अव्य;तुमुन्;अदादिः}	प्रयोजनम्,3.1	प्रयोजनम्,3.1	NA	वध_करने~के_लिये	वध_करने~के_लिये
