index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	अथ	1	अथैकधेनोरपराधचण्डाद्गुरोः	अथ{अव्य}	अथ{अव्य}	सम्बन्धः,2.1	सम्बन्धः,2.1	NA	और	-	-	-
2.1	(त्वं)	-	(-)	युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,7.1	कर्ता,7.1	N1	तुम	-	-	-
3.1	एक-	-	-	एक	एक	षष्ठ्यर्थ-बहुव्रीहिः,3.2	षष्ठ्यर्थ-बहुव्रीहिः,3.2	CP	एक-धेनु	-	-	-
3.2	धेनोः	-	-	धेनु{स्त्री;5;एक}/धेनु{स्त्री;6;एक}/धेनु{पुं;5;एक}/धेनु{पुं;6;एक}	धेनु{पुं;5;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N5				-
4.1	अपराध-	-	-	अपराध{पुं	अपराध{पुं	तृतीया-तत्पुरुषः,4.2	तृतीया-तत्पुरुषः,4.2	CP	अपराध	-	-	-
4.2	चण्डात्	-	-	चण्ड;पुं;5;एक}/चण्ड{नपुं;5;एक}	चण्ड{पुं;5;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N5				-
5.1	कृशानु-	2	कृशानुप्रतिमाद्बिभेषि	कृशानु	कृशानु	षष्ठी-तत्पुरुषः,5.2	षष्ठी-तत्पुरुषः,5.2	CP	आग-प्रतिमा_है_जो_उस	-	-	-
5.2	प्रतिमात्	-	-	प्रतिमात्{नपुं;1;एक(कृशानु	प्रतिम{पुं;5;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N5				-
6.1	गुरोः	-	-	गुरु{पुं;5;एक}/गुरु{पुं;6;एक}	गुरु{पुं;5;एक}	अपादानम्,7.1	अपादानम्,7.1	N5	गुरु_से	-	-	-
7.1	बिभेषि	-	-	भी1{कर्तरि;लट्;म;एक;परस्मैपदी;ञिभी;जुहोत्यादिः}	भी1{कर्तरि;लट्;म;एक;परस्मैपदी;ञिभी;जुहोत्यादिः}	अभिहित_कर्ता,	अभिहित_कर्ता,	KP	डरते_हो	-	-	-
