index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	संरुद्ध-	1	संरुद्धचेष्टस्य	संरुद्ध	संरुद्ध	कर्मधारयः,1.2	कर्मधारयः,1.2	CP	चेष्ट_का	-	-	-
1.2	चेष्टस्य	-	-	चेष्ट{पुं;6;एक}/चेष्ट{नपुं;6;एक}	चेष्ट{पुं;6;एक}	षष्ठीसम्बन्धः,4.1	षष्ठीसम्बन्धः,4.1	N6				-
2.1	मृग-	2	मृगेन्द्र	मृग	मृग	षष्ठी-तत्पुरुषः,2.2	षष्ठी-तत्पुरुषः,2.2	CP	-	kingofanimals,Lion	-	-
2.2	इन्द्र	-	-	इन्द्र{पुं;8;एक}	इन्द्र{पुं;8;एक}	सम्बोध्यः,10.1	सम्बोध्यः,10.1	N8				-
3.1	कामम्	3	कामं	कामम्{अव्य}	कामम्{अव्य}	विशेषणम्,11.1	विशेषणम्,11.1	NA	-	-	-	-
4.1	हास्यम्	4	हास्यं	हास्य{नपुं1एक}/हास्य{पुं2एक}/हास्य{नपुं2एक}/हास्य{पुं2एक{कृदन्त}({कृत्_धातुहस्1}ण्यत्{धातुःहसेँ}भ्वादिः)}/हास्य{नपुं1एक{कृदन्त}({कृत्_धातुहस्1}ण्यत्{धातुःहसेँ}भ्वादिः)}/हास्य{नपुं2एक{कृदन्त}({कृत्_धातुहस्1}ण्यत्{धातुःहसेँ}भ्वादिः)}	हास्य{नपुं1एक{कृदन्त}({कृत्_धातुहस्1}ण्यत्{धातुःहसेँ}भ्वादिः)}	विशेषणम्,3.1	विशेषणम्,3.1	N1	-	-	-	-
5.1	वचः	5	वचस्तद्यदहम्	वचः{नपुं;2;एक}/वचः{नपुं;1;एक}/वच{पुं;1;एक}	वचः{नपुं;2;एक}	विशेषणम्,9.1	विशेषणम्,9.1	N2	वचः_को	-	-	-
6.1	तत्	-	तत्	तद्{सर्वनाम;नपुं;2;एक}/तद्{सर्वनाम;नपुं;1;एक}	तद्{सर्वनाम;नपुं;2;एक}	कर्म,11.1	कर्म,11.1	N2	उसको	-	-	-
7.1	यत्	-	यत्	यद्{सर्वनाम;नपुं;2;एक}/यद्{सर्वनाम;नपुं;1;एक}	यद्{सर्वनाम;नपुं;2;एक}	विशेषणम्,5.1	विशेषणम्,5.1	N2	-	-	-	-
8.1	अहम्	-	अहम्	अस्मद्{सर्वनाम;1;एक}	अस्मद्{सर्वनाम;1;एक}	कर्ता,10.1	कर्ता,10.1	N1	मैं	-	-	-
9.1	विवक्षुः	6	विवक्षुः	विविक्षुः{पुं;1;एक}	विविक्षुः{पुं;1;एक}	कर्तृसमानाधिकरणम्,8.1	कर्तृसमानाधिकरणम्,8.1	N1	-	-	-	-
10.1	(अभिधास्ये)	-	अभिधास्ये	अभि_धा1{कर्तरि;लृट्;उ;एक;आत्मनेपदी;डुधाञ्;जुहोत्यादिः}	अभि_धा1{कर्तरि;लृट्;उ;एक;आत्मनेपदी;डुधाञ्;जुहोत्यादिः}	अभिहित_कर्ता,8.1	अभिहित_कर्ता,8.1	KP	प्रसिद्ध_करूँगा	-	-	-
11.1	(वचः)		वचस्तद्यदहम्	वचः{नपुं;2;एक}/वचः{नपुं;1;एक}/वच{पुं;1;एक}	वचः{नपुं;2;एक}	विशेषणम्,12.1	विशेषणम्,12.1	N2	वचः_को	-	-	-
12.1	(अहम्)	-	अहम्	अस्मद्{सर्वनाम;1;एक}	अस्मद्{सर्वनाम;1;एक}	कर्ता,10.1	कर्ता,10.1	N1	मैं	-	-	-
