index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	धनुस्-	1	धनुर्भृतोऽप्यस्य	धनुस्	धनुस्	षष्ठी-तत्पुरुषः,1.2	षष्ठी-तत्पुरुषः,1.2	CP	धनुष-धारण_किया	-	-	-
1.2	भृतः	-	-	भृत{पुं;1;एक}	भृत{पुं;1;एक}	सम्बन्धः,2.1	सम्बन्धः,2.1	N1				-
2.1	अपि			अपि{अव्य}	अपि{अव्य}	सम्बन्धः,3.1	सम्बन्धः,3.1	NA	भी	-	-	-
3.1	अस्य			इदम्{सर्वनाम;पुं;6;एक}/इदम्{सर्वनाम;नपुं;6;एक}/अस्3{कर्तरि;लोट्;म;एक;परस्मैपदी;असुँ;दिवादिः}	इदम्{सर्वनाम;नपुं;6;एक}	षष्ठीसम्बन्धः,4.1	षष्ठीसम्बन्धः,4.1	N6	इसका	-	-	-
4.1	विशङ्कैः	2	दयार्द्रभावमाख्यातमन्तःकरणैर्विशङ्कैः	विशङ्कपुं3बहु(शक्1घञ्शकिःभ्वादिः)	विशङ्कपुं3बहु(शक्1घञ्शकिःभ्वादिः)	करणम्,5.2	करणम्,5.2	NA	विशङ्क_से	-	-	-
5.1	अन्तः-			अन्तः	अन्तः	कर्मधारयः,5.2	कर्मधारयः,5.2	CP	अन्तः-मारने~से	-	-	-
5.2	करणैः	-	-	करण{नपुं;3;बहु}	करण{नपुं;3;बहु}	करणम्,6.3	करणम्,6.3	N3				-
6.1	दया-			दया	दया	तृतीया-तत्पुरुषः,6.2	तृतीया-तत्पुरुषः,6.2	CP	दया-गीला-भाव	-	-	-
6.2	आर्द्र-	-	-	आर्द्र	आर्द्र	तृतीयार्थ-बहुव्रीहिः,6.3	तृतीयार्थ-बहुव्रीहिः,6.3	CP				-
6.3	भावम्	-	-	भाव{पुं;2;एक}	भाव{पुं;2;एक}	विशेषणम्,7.1	विशेषणम्,7.1	N2				-
7.1	आख्यातं			आङ्_ख्या1{कर्तरि;लोट्;म;द्वि;परस्मैपदी;ख्या;अदादिः}/आङ्_ख्या1{कर्तरि;लङ्;म;द्वि;परस्मैपदी;ख्या;अदादिः}/आख्यात{पुं;2;एक(ख्या1;क्त;ख्या;अदादिः)}/आख्यात{नपुं;1;एक(ख्या1;क्त;ख्या;अदादिः)}/आख्यात{नपुं;2;एक(ख्या1;क्त;ख्या;अदादिः)}	आख्यात{नपुं;2;एक(ख्या1;क्त;ख्या;अदादिः)}	विशेषणम्,9.1	विशेषणम्,9.1	N2	आख्यात	-	-	-
8.1	वपुः	4	वपुरापुरक्ष्णां	वपुस्{नपुं;2;एक}	वपुस्{नपुं;2;एक}	कर्म,13.1	कर्म,13.1	N2	शरीर			
9.1	वि-लोकयन्त्यः	3	विलोकयन्त्यो	वि-लोकयन्ती{स्त्री;1;बहु}	वि-लोकयन्ती{स्त्री;1;बहु}	वर्तमान_समानकालः,12.3	वर्तमान_समानकालः,12.3	N1				-
10.1	हरिण्यः	6	हरिण्यः	हरिणी{स्त्री;1;बहु}/हरिणी{स्त्री;8;बहु}	हरिणी{स्त्री;1;बहु}	कर्ता,13.1	कर्ता,13.1	N1	हरिणियों_ने	-	-	-
11.1	अक्ष्णाम्			अक्षि{नपुं;6;बहु}	अक्षि{नपुं;6;बहु}	षष्ठीसम्बन्धः,12.3	षष्ठीसम्बन्धः,12.3	N6	आँखों_का	-	-	-
12.1	प्रकाम-	5	प्रकामविस्तारफलं	प्रकाम	प्रकाम	उपपद-तत्पुरुषः,12.2	उपपद-तत्पुरुषः,12.2	CP	फल	-	-	-
12.2	विस्तार-	-	-	विस्तार	विस्तार	षष्ठी-तत्पुरुषः,12.3	षष्ठी-तत्पुरुषः,12.3	CP				-
12.3	फलम्	-	-	फल{नपुं;1;एक}/फल{नपुं;2;एक}    	फल{नपुं;2;एक}	कर्म,13.1	कर्म,13.1	N2				-
13.1	आपुः			आप्{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;स्वादिः}	आप्{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;स्वादिः}	अभिहित_कर्ता,	अभिहित_कर्ता,	KP	प्राप्त_किया	-	-	-
