@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	kuSeSaya-akRaH	4	kuSeSayAkRaH	kuSeSaya-akRa{puM;1;eka}	kuSeSaya-akRa{puM;1;eka}	viSeRaNam,6	sArasa_pakRI-XurA	-	-	-	-	-
2	sAgara-XIra-cewAH	6	sAgaraXIracewAH	sAgara-XIra-XIra#2-cewas{puM;1;eka}/cewas{swrI;1;eka}	sAgara-XIra-XIra#2-cewas{puM;1;eka}	viSeRaNam,6	samuxra-XIra-XIra2-	-	-	-	-	-
3	eka-vIraH	9	ekavIraH	eka-vIra{puM;1;eka}	eka-vIra{puM;1;eka}	viSeRaNam,6	eka-vIra_ne	-	-	-	-	-
4	pura-argala-xIrGa-BujaH	10	purArgalaxIrGaBujaH	pura-argala-xIrGa-Buja{puM;1;eka}	pura-argala-xIrGa-Buja{puM;1;eka}	viSeRaNam,6	pura-argala-xIrGa-hAWa	-	-	-	-	-
5	kuSasya	2	kuSasya	kuSa{puM;6;eka}/kuSa{napuM;6;eka}	kuSa{napuM;6;eka}	RaRTIsambanXaH,6	kuSa_kI	-	-	-	-	-
6	pOwraH	1	pOwraH	pOwra{puM;1;eka}	pOwra{puM;1;eka}	karwA,11	powA	-	-	-	-	-
7	api	3	api	api{avya}/api{avya}	api{avya}	sambanXaH,6	BI	-	-	-	-	-
8	sa-sAgarAm	5	sasAgarAM	sa-sAgara{swrI;2;eka}	sa-sAgara{swrI;2;eka}	viSeRaNam,10	sa-sAgara	-	-	-	-	-
9	eka-AwapawrAm	7	ekAwapawrAM	eka-Awapawra{swrI;2;eka}	eka-Awapawra{swrI;2;eka}	viSeRaNam,10	eka-Awapawra	-	-	-	-	-
10	Buvam	8	BuvaM	Buva{puM;2;eka}/Buva{napuM;2;eka}/Buva{napuM;1;eka}/BU{swrI;2;eka}	BU{swrI;2;eka}	karma,11	BU_ko	-	-	-	-	-
11	buBoja	11	buBoja	Buj1{karwari;lit;pra;eka;parasmEpaxI;Bujoz;:wuxAxiH}/Buj1{karwari;lit;u;eka;parasmEpaxI;Bujoz;:wuxAxiH}/}/}	Buj1{karwari;lit;pra;eka;parasmEpaxI;Bujoz;:wuxAxiH}	aBihiwa_karwA,6;sakarmaka	X_Buj1_pp_skyA	-	-	-	-	-
