@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	manuja-pawinA	3	manujapawinA	manuja-pawi{puM;3;eka}/pawi{napuM;3;eka}	manuja-pawi{puM;3;eka}	karwA,9	manuRya-pawi_se	-	-	-	-	-
2	sAhacaryAya	4	sAhacaryAya	sAhacarya{napuM;4;eka}	sAhacarya{napuM;4;eka}	prayojanam,9	sAWa_ko	-	-	-	-	-
3	mAfgalya-UrNA-valayini	6	mAfgalyorNAvalayini	mAfgalya-urv1{kwa;urvIz;:BvAxiH-valayini}	mAfgalya-urv1{kwa;urvIz;:BvAxiH-valayin;napuM;7;eka}	viSeRaNam,5	-	-	-	-	-	-
4	wasyAH	1	wasyAH	wax{sarvanAma;swrI;6;eka}/wax{sarvanAma;swrI;5;eka}/was1{karwari;ASIrlif;ma;eka;parasmEpaxI;wasuz;:xivAxiH}	wax{sarvanAma;swrI;6;eka}	RaRTIsambanXaH,5	usakA	-	-	-	-	-
5	haswe	5	haswe	haswa{napuM;2;xvi}	haswa{napuM;2;xvi}	karma,9	hAWa_meM	-	-	-	-	-
6	uw-SiKasya	-	-	uw-SiKa{napuM;6;eka}/SiKa{puM;6;eka}	uw-SiKa{puM;6;eka}	viSeRaNam,7	uw-SiKa_kA	-	-	-	-	-
7	pAvakasya	8	pAvakasyocCiKasya	pAvaka{puM;6;eka}/pAvaka{napuM;6;eka}	pAvaka{puM;6;eka}	sanxarBa_binxuH,8	Aga_kA	-	-	-	-	-
8	puraH	7	puraH	puraH{avya}/pur{swrI;1;bahu}/pur{swrI;2;bahu}/pur{swrI;5;eka}/pur{swrI;6;eka}/pur{swrI;8;bahu}	puraH{avya}	xeSAXikaraNam,9	-	-	-	-	-	-
9	spqRte	2	spqRte	spqRti{swrI;8;eka}/spqRta{puM;7;eka(spqS1;kwa;spqSaz;:wuxAxiH)}/spqRta{napuM;1;xvi(spqS1;kwa;spqSaz;:wuxAxiH)}/spqRta{napuM;2;xvi(spqS1;kwa;spqSaz;:wuxAxiH)}/spqRta{napuM;7;eka(spqS1;kwa;spqSaz;:wuxAxiH)}/spqRtA{swrI;1;xvi(spqS1;kwa;spqSaz;:wuxAxiH)}/spqRtA{swrI;2;xvi(spqS1;kwa;spqSaz;:wuxAxiH)}	spqRta{napuM;7;eka(spqS1;kwa;spqSaz;:wuxAxiH)}	BAvalakRaNasapwamI_samAnakAlaH,14	spqRti	-	-	-	-	-
10	xik-anwAn	10	xiganwAn	xik-anwa{puM;2;bahu}	xik-anwa{puM;2;bahu}	karma,11	xik-anwoM_ko	-	-	-	-	-
11	vi-aSnuvAnaH	-	-	vi-aSnuvAna{puM;1;eka(vi-aS1;SAnac_lat;karwari;aSUz;:svAxiH)}	vi-aSnuvAna{puM;1;eka(vi-aS1;SAnac_lat;karwari;aSUz;:svAxiH)}	viSeRaNam,13	vi-	-	-	-	-	-
12	xivyaH	9	xivyaswUryaXvaniruxacaraxvyaSnuvAno	xivya{puM;1;eka}	xivya{puM;1;eka}	viSeRaNam,13	xivya	-	-	-	-	-
13	wUrya-XvaniH	-	-	wUr1{Nyaw;wUrIz;:xivAxiH-Xvani;napuM;8;eka}/Xvani{napuM;1;eka}/Xvani{napuM;2;eka}	wUr1{Nyaw;wUrIz;:xivAxiH-Xvani;puM;1;eka}	karwA,14	-	-	-	-	-	-
14	uxacaraw	-	-	uw_car1{karwari;laf;pra;eka;parasmEpaxI;caraz;:BvAxiH}	uw_car1{karwari;laf;pra;eka;parasmEpaxI;caraz;:BvAxiH}	aBihiwa_karwA,13	uw_car1_pp_skyA	-	-	-	-	-
