@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	AsvAxavaxBiH	1	AsvAxavaxBiH	AsvAxa{mawup;puM;3;bahu}/AsvAxa{mawup;napuM;3;bahu}	AsvAxa{mawup;puM;3;bahu}	viSeRaNam,2	AsvAxa	-	-	-	-	-
2	kavalEH	2	kavalEswqNAnAM	kavala{puM;3;bahu}	kavala{puM;3;bahu}	hewuH,13	kavaloM_se	-	-	-	-	-
3	wqNAnAm	-	-	wqNa{napuM;6;bahu}	wqNa{napuM;6;bahu}	RaRTIsambanXaH,2	wqNoM_ke	-	-	-	-	-
4	kaNdUyanEH	3	kaNdUyanErxaMSanivAraNESca	kaNdUyana{napuM;3;bahu}	kaNdUyana{napuM;3;bahu}	sup_samucciwaH,2	KuracanoM_se	-	-	-	-	-
5	xaMSa-nivAraNEH	-	-	xaMSa-nivAraNa{puM;3;bahu}/nivAraNa{napuM;3;bahu}	xaMSa-nivAraNa{napuM;3;bahu}	sup_samucciwaH,2	kAtanA-nivAraNa_se	-	-	-	-	-
6	ca	-	-	ca{avya}	ca{avya}	sup_samuccayaxyowakaH,2	Ora	-	-	-	-	-
7	a-vyAhawEH	4	avyAhawEH	a-vyAhawa{puM;3;bahu}/vyAhawa{napuM;3;bahu}	a-vyAhawa{napuM;3;bahu}	viSeRaNam,8	a-vyAhawoM_se	-	-	-	-	-
8	svEra-gawEH	5	svEragawEH	svEra-gawa{puM;3;bahu}	svEra-gawa{puM;3;bahu}	sup_samucciwaH,2	-	-	-	-	-	-
9	saH	6	sa	wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	viSeRaNam,11	vaha	-	-	-	rAjA xilIpaH 	-
10	wasyAH	7	wasyAH	wax{sarvanAma;swrI;6;eka}/wax{sarvanAma;swrI;5;eka}/was1{karwari;ASIrlif;ma;eka;parasmEpaxI;wasuz;:xivAxiH}	wax{sarvanAma;swrI;6;eka}	RaRTIsambanXaH,12	usakA	-	-	-	XenvAH nanxInyAH 	-
11	samrAt	8	samrAt	samrAj{puM;1;eka}	samrAj{puM;1;eka}	karwA,13	samrAt	-	-	-	-	rAjA xilIpaH 
12	samArAXana-wawparaH	9	samArAXanawawparoZBUw	samArAXana-wawpara{puM;1;eka}	samArAXana-wawpara{puM;1;eka}	karwqsamAnAXikaraNam,13	sanwuRta_karane_kA_sAXana-	-	-	-	-	-
13	aBUw	-	-	BU1{karwari;luf;pra;eka;parasmEpaxI;BU;:BvAxiH}	BU1{karwari;luf;pra;eka;parasmEpaxI;BU;:BvAxiH}	aBihiwa_karwA,11	huA	-	-	-	-	-
