@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	aSUnya-wIrAm	-	aSUnyawIrAm	aSUnya-wIra{swrI;2;eka}	aSUnya-wIra{swrI;2;eka}	viSeRaNam,4	pUrA_kiyA_gayA-wIra	-	-	-	-	-
2	muni-sanniveSEH	-	munisanniveSEH	muni-sanniveSa{puM;3;bahu}	muni-sanniveSa{puM;3;bahu}	hewuH,1	muni-gaharI_pEToM_se	-	-	-	-	-
3	wamaH-upahanwrIm	-	wamopahanwrIm	wama-upahanwrI{swrI;2;eka{kqxanwa}({kqw_XAwu han1} wqc{XAwuH hanaz} axAxiH)	wama-upahanwrI{swrI;2;eka{kqxanwa}({kqw_XAwu han1} wqc{XAwuH hanaz} axAxiH)	viSeRaNam,4	-	-	-	-	-	-
4	wamasAm	-	wamasAm	wamas{napuM;6;bahu}/wamasa{swrI;2;eka}	wamasa{swrI;2;eka}	karma,5	wamasa_ko	-	-	-	-	-
5	vigAhya	-	vigAhya	vi_gAh1{avya;lyap;gAhUz;:BvAxiH}	vi_gAh1{avya;lyap;gAhUz;:BvAxiH}	pUrvakAlaH,7	snAna_karake	-	-	-	-	-
6	waw-sEkawa-uwsafga-bali-kriyABiH	-	wawsEkawowsafgabalikriyABiH	wax-sEkawa-uwsafga-bali-balin-kriyA{swrI;3;bahu}	wax-sEkawa-uwsafga-bali-balin-kriyA{swrI;3;bahu}	karaNam,7	vaha-sa-ekawa-goxa-bali-BEMsA-kriyAoM_se	-	-	-	-	-
7	sampawsyawe	-	sampawsyawe	sam_pax1{karwari;lqt;pra;eka;AwmanepaxI;paxaz;:xivAxiH}	sam_pax1{karwari;lqt;pra;eka;AwmanepaxI;paxaz;:xivAxiH}	aBihiwa_karwA,10;sakarmaka	vqxXi_ko_prApwa_hogA	-	-	-	-	-
8	we	-	we	wax{sarvanAma;napuM;2;xvi}/wax{sarvanAma;napuM;1;xvi}/wax{sarvanAma;puM;1;bahu}/wax{sarvanAma;swrI;2;xvi}/wax{sarvanAma;swrI;1;xvi}/yuRmax{sarvanAma;6;eka}/yuRmax{sarvanAma;4;eka}	yuRmax{sarvanAma;6;eka}	RaRTIsambanXaH,9	wumhAre_liye	-	-	-	-	-
9	manasaH	-	manasaH	manas{napuM;6;eka}/manas{napuM;5;eka}/manas{puM;2;bahu}/manas{puM;1;bahu}/manas{puM;6;eka}/manas{puM;5;eka}/manas{swrI;2;bahu}/manas{swrI;1;bahu}/manas{swrI;6;eka}/manas{swrI;5;eka}	manas{napuM;6;eka}	RaRTIsambanXaH,10	mana_kA	-	-	-	-	-
10	prasAxaH	-	prasAxaH	prasAxa{puM;1;eka}	prasAxa{puM;1;eka}	karwA,7	prasAxa	-	-	-	-	-
