@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	wu	-	-	wu {avya}	wu {avya}	sambanXaH,2	-	-	-	karmaNi	-	-
2	sraRtuH	1	sraRturvarAwisargAwwu 	sraRtq{puM;6;eka}/sraRtq{puM;5;eka}	sraRtq{puM;6;eka}	RaRTIsambanXaH,3	-	-	-	-	-	-
3	vara-awisargAw	-	-	varAwisarga{puM;5;eka}/vara{puM;5;eka}/vara{napuM;5;eka}	varAwisarga{puM;5;eka}	hewuH,12	-	-	varasya awisargaH,wasmAw	-	-	-
4	mayA	2	mayA	asmax{sarvanAma;3;eka}	asmax{sarvanAma;3;eka}	karwA,12	-	-	-	-	rAmeNa	-
5	wasya	3	wasya	wax{sarvanAma;puM;6;eka}	wax{sarvanAma;puM;6;eka}	viSeRaNam,7	-	-	-	-	-	-
6	xurAwmanaH	4	xurAwmanaH 	xurAwman{puM;6;eka}	xurAwman{puM;6;eka}	viSeRaNam,7	-	-	xuRtaH AwmA yasya saH,wasya	-	-	-
7	ripoH	6	ripoH	ripu{puM;6;eka}/ripu{puM;5;eka}/ripu{swrI;6;eka}/ripu{swrI;5;eka}	ripu{puM;6;eka}	RaRTIsambanXaH,8	-	-	-	-	-	-
8	awi-ArUDam	5	awyArUDaM	Af_ruh1{kwa;ruhaz;:BvAxiHAf_rUDa;napuM;2;eka}/Af_ruh1{kwa;ruhaz;:BvAxiHAf_rUDa;napuM;1;eka}/Af_ruh1{kwa;ruhaz;:BvAxiHAf_rUDa;puM;2;eka}	awi_Af_ruh1{kwa;ruhaz;:BvAxiHAf_rUDa;napuM;1;eka}	karma,12	-	-	awiSayena ArUTm iwi	-	-	-
9	BoginaH	9	BoginaH	Bogin{puM;2;bahu}/Bogin{puM;1;bahu}/Bogin{puM;6;eka}/Bogin{puM;5;eka}/Bogin{puM;2;bahu}/Bogin{puM;1;bahu}/Bogin{puM;6;eka}/Bogin{puM;5;eka}/Bogin{napuM;6;eka}/Bogin{napuM;5;eka}	Bogin{puM;6;bahu}	RaRTIsambanXaH,8	-	-	-	-	-	-
10	canxanena	8	canxaneneva	canxana{napuM;3;eka}	canxana{napuM;3;eka}	upamAnam,11	-	-	-	-	-	-
11	iva	-	-	iva{avya}	iva{avya}	upamAnaxyowakaH,8	-	-	-	-	-	-
12	soDam	7	soDam	soDa{napuM;2;eka(Rah1;kwa;Rahaz;:BvAxiH)}/soDa{napuM;1;eka(Rah1;kwa;Rahaz;:BvAxiH)}/soDa{puM;2;eka(Rah1;kwa;Rahaz;:BvAxiH)}	soDa{soDanapuM;1;eka(Rah1;kwa;Rahaz;:BvAxiH)}	aBihiwa_karwA,12;sakarmakaH	-	-	-	-	-	-
