@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	uBayoH	1	uBayorna	uBa{sarvanAma;puM;7;xvi}/uBa{sarvanAma;puM;6;xvi}/uBa{sarvanAma;napuM;7;xvi}/uBa{sarvanAma;napuM;6;xvi}/uBa{sarvanAma;swrI;7;xvi}/uBa{sarvanAma;swrI;6;xvi}	uBa{sarvanAma;puM;6;xvi}	RaRTIsambanXaH,5	uBa_kA	-	-	-	-	-
2	na	-	-	na{avya}	na{avya}	prawiReXaH,6	nahIM	-	-	-	-	-
3	waWA	2	waWA	waWA{avya}	waWA{avya}	niwya_sambanXaH,10	vEse	-	-	-	-	-
4	lokaH	3	lokaH	loka{puM;1;eka}	loka{puM;1;eka}	karwA,6	loka_ne	-	-	-	-	-
5	prAvINyena	4	prAvINyena	prAvINya{napuM;3;eka}	prAvINya{napuM;3;eka}	hewuH,6	prAvINya_se	-	-	-	-	-
6	visiRmiye	5	visiRmiye	vi_Rmi1{karwari;lit;pra;eka;AwmanepaxI;Rmif;:BvAxiH}/vi_Rmi1{karwari;lit;u;eka;AwmanepaxI;Rmif;:BvAxiH}	vi_Rmi1{karwari;lit;pra;eka;AwmanepaxI;Rmif;:BvAxiH}	prawiyogI,10	vi_Rmi1_ap_skyA	-	-	-	-	-
7	nq-paweH	6	nqpaweH	nqpawi{puM;6;eka}/nqpawi{puM;5;eka}	nqpawi{puM;6;eka}	RaRTIsambanXaH,8	rAjA_kA	-	-	-	-	-
8	prIwi-xAneRu	7	prIwixAneRu	prIwi-xAna{napuM;7;bahu}	prIwi-xAna{napuM;7;bahu}	aXikaraNam,13	prasannawA-xAna_meM	-	-	-	-	-
9	vIwa-spqhawayA	8	vIwaspqhawayA	vIwaspqhawA{swrI;3;eka}	vIwaspqhawA{swrI;3;eka}	hewuH,11	vIwaspqhawA_se	-	-	-	-	-
10	yaWA	9	yaWA	yaWA{avya}	yaWA{avya}	niwya_sambanXaH,3	jEse	-	-	-	-	-
11	(visiRmiye)	-	(visiRmiye)	vi_Rmi1{karwari;lit;pra;eka;AwmanepaxI;Rmif;:BvAxiH}/vi_Rmi1{karwari;lit;u;eka;AwmanepaxI;Rmif;:BvAxiH}	vi_Rmi1{karwari;lit;pra;eka;AwmanepaxI;Rmif;:BvAxiH}	anuyogI,3	vi_Rmi1_ap_skyA	-	-	-	-	-
12	(lokaH)	-	(lokaH)	loka{puM;1;eka}	loka{puM;1;eka}	karwA,11	loka_ne	-	-	-	-	-
13	(uBayoH)	-	(uBayoH)	uBa{sarvanAma;puM;7;xvi}/uBa{sarvanAma;puM;6;xvi}/uBa{sarvanAma;napuM;7;xvi}/uBa{sarvanAma;napuM;6;xvi}/uBa{sarvanAma;swrI;7;xvi}/uBa{sarvanAma;swrI;6;xvi}	uBa{sarvanAma;puM;6;xvi}	RaRTIsambanXaH,9	uBa_kA	-	-	-	-	-
