@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	kalpa-viw	5	kalpaviwkalpayAmAsa	kalpa-vix{napuM;1;eka}/vix{napuM;8;eka}	kalpa-vix{napuM;1;eka}	viSeRaNam,2	kalpa-jFAna	-	-	-	-	-
2	muniH	4	muniH	muni{puM;1;eka}	muni{puM;1;eka}	karwA,12	muni	-	-	-	-	-
3	wapaH-sixXO	2	wapaHsixXO	wapaH-sixXa{puM;1;xvi}/sixXa{puM;2;xvi}/sixXi{swrI;7;eka}/wapaH-sixXa{puM;1;xvi(RiX2;kwa;RiXuz;:BvAxiH)}/wapaH-sixXa{puM;2;xvi(RiX2;kwa;RiXuz;:BvAxiH)}/wapaH-sixXa{puM;1;xvi(RiX3;kwa;RiXuz;:xivAxiH)}/wapaH-sixXa{puM;2;xvi(RiX3;kwa;RiXuz;:xivAxiH)}/wapaH-sixXa{puM;1;xvi(RiX1;kwa;RiXUz;:BvAxiH)}/wapaH-sixXa{puM;2;xvi(RiX1;kwa;RiXUz;:BvAxiH)}/sixXi{puM;7;eka}	wapaH-sixXi{swrI;7;eka}	viSeRaNam,4	wapaH-pUrNawA	-	-	-	-	-
4	sawyAm	1	sawyAmapi	sawyA{swrI;2;eka}/sawi{swrI;7;eka}/sawI{swrI;7;eka}	sawI{swrI;7;eka}	aXikaraNam,12	sawI_meM	-	-	-	-	-
5	api	-	-	api{avya}	api{avya}	sambanXaH,4	BI	-	-	-	-	-
6	niyama-apekRayA	3	niyamApekRayA	niyama-apekRA{swrI;3;eka}	niyama-apekRA{swrI;3;eka}	hewuH,12	niyama-apekRA_se	-	-	-	-	-
7	asya	-	-	ixam{sarvanAma;puM;6;eka}/ixam{sarvanAma;napuM;6;eka}/as3{karwari;lot;ma;eka;parasmEpaxI;asuz;:xivAxiH}	ixam{sarvanAma;puM;6;eka}	viSeRaNam,8	isa	-	-	-	-	-
8	(nqpasya)	-	(-)	nqpa{puM;6;eka}	nqpa{puM;6;eka}	RaRTIsambanXaH,9	rAjA_kI	-	-	-	-	-
9	vanyAm	6	vanyAmevAsya	vanyA{swrI;2;eka}/vanI{swrI;7;eka}	vanI{swrI;7;eka}	viSeRaNam,11	jaMgala_meM	-	-	-	-	-
10	eva	-	-	eva{avya}	eva{avya}	sambanXaH,9	hI	-	-	-	-	-
11	saMviXAm	7	saMviXAm	saMviXA{swrI;2;eka}	saMviXA{swrI;2;eka}	karma,12	upakramaNa_ko	-	-	-	-	-
12	kalpayAmAsa	-	-	kqp1{Nijanwa;karwari;lit;ma;bahu;parasmEpaxI;kqpUz;:BvAxiH}/kqp1{Nijanwa;karwari;lit;ma;bahu;AwmanepaxI;kqpUz;:BvAxiH}/kqp1{Nijanwa;karwari;lit;pra;eka;parasmEpaxI;kqpUz;:BvAxiH}/kqp1{Nijanwa;karwari;lit;pra;eka;AwmanepaxI;kqpUz;:BvAxiH}/kqp1{Nijanwa;karwari;lit;u;eka;parasmEpaxI;kqpUz;:BvAxiH}/kqp1{Nijanwa;karwari;lit;u;eka;AwmanepaxI;kqpUz;:BvAxiH}/kqpa1{Nijanwa;karwari;lit;pra;eka;parasmEpaxI;kqpa;:curAxiH}/kqpa1{Nijanwa;karwari;lit;pra;eka;AwmanepaxI;kqpa;:curAxiH}/kqpa1{Nijanwa;karwari;lit;u;eka;parasmEpaxI;kqpa;:curAxiH}/kqpa1{Nijanwa;karwari;lit;u;eka;AwmanepaxI;kqpa;:curAxiH}/kqpa1{Nijanwa;karwari;lit;ma;bahu;parasmEpaxI;kqpa;:curAxiH}/kqpa1{Nijanwa;karwari;lit;ma;bahu;AwmanepaxI;kqpa;:curAxiH}	kqpa1{Nijanwa;karwari;lit;pra;eka;AwmanepaxI;kqpa;:curAxiH}	aBihiwa_karwA,2	-	-	-	-	-	-
