@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	wax-afka-nisyanxa-jalena	1	waxafkanisyanxajalena	wax-afka-nisyanxa-jala{puM;3;eka}/jala{napuM;3;eka}	wax-afka-nisyanxa-jala{napuM;3;eka}	karaNam,3	usake	-	-	-	-	-
2	locane	2	locane	locana{napuM;1;xvi}/locana{napuM;2;xvi}/locana{napuM;7;eka}/locanA{swrI;1;xvi}/locanA{swrI;2;xvi}/locana{napuM;1;xvi{kqxanwa}({kqw_XAwu;loc1};lyut;locqz;BvAxiH)}/locana{napuM;2;xvi{kqxanwa}({kqw_XAwu;loc1};lyut;locqz;BvAxiH)}/locana{napuM;7;eka{kqxanwa}({kqw_XAwu;loc1};lyut;locqz;BvAxiH)}/locana{napuM;8;xvi{kqxanwa}({kqw_XAwu;loc1};lyut;locqz;BvAxiH)}/locana{napuM;1;xvi{kqxanwa}({kqw_XAwu;loc2};lyut;locqz;curAxiH)}/locana{napuM;2;xvi{kqxanwa}({kqw_XAwu;loc2};lyut;locqz;curAxiH)}/locana{napuM;7;eka{kqxanwa}({kqw_XAwu;loc2};lyut;locqz;curAxiH)}/locana{napuM;8;xvi{kqxanwa}({kqw_XAwu;loc2};lyut;locqz;curAxiH)}	locana{napuM;1;xvi}	karma,3	AMKoM ko	-	-	-	-	-
3	pramqjya	3	pramqjya	pra_mqj1{avya;lyap;mqjUzR;axAxiH{kqxanwa}}/pra_mqj2{avya;lyap;mqjUz;curAxiH{kqxanwa}}	pra_mqj1{avya;lyap;mqjUzR;axAxiH{kqxanwa}}	pUrvakAlaH,11	poMCakara	-	-	-	-	-
4	puNyena	4	puNyena	puNya{puM;3;eka}/puNya{napuM;3;eka}	puNya{napuM;3;eka}	karaNam,5	puNya se	-	-	-	-	-
5	puraskqwaH	5	puraskqwaH	puraskqwa{puM;1;eka}	puraskqwa{puM;1;eka}	viSeRaNam,11	puraskqwa	-	-	-	-	-
6	sawAm	6	sawAm	saw{puM;6;bahu}/saw{puM;6;bahu{kqxanwa}({kqw_XAwu;as2};Sawq_lat;asaz;axAxiH)}/saw{napuM;6;bahu{kqxanwa}({kqw_XAwu;as2};Sawq_lat;asaz;axAxiH)}	saw{puM;6;bahu}	RaRTIsambanXaH,7	sawpuruRoM se	-	-	-	-	-
7	awInxriyeRu	7	awInxriyeRvapyupapannaxarSano	inxriya{puM;7;bahu}/inxriya{napuM;7;bahu}	inxriya{napuM;7;bahu}	aXikaraNam,9	inxriyAwIwa	-	-	-	-	-
8	api	-	-	api{avya}	api{avya}	sambanXaH,9	paxArWoM	-	-	-	-	-
9	upapanna-xarSanaH	-	-	upapanna-xarSana{puM;1;eka}	upapanna-xarSana{puM;1;eka}	viSeRaNam,12	xeKane kI	-	-	-	-	-
10	BAveRu	8	BAveRu	BAva{puM;7;bahu}/BAva{puM;7;bahu{kqxanwa}({kqw_XAwu;BU1};GaF;BU;BvAxiH)}/BAva{puM;7;bahu{kqxanwa}({kqw_XAwu;BU2};GaF;BU;curAxiH)}/BAva{puM;7;bahu{kqxanwa}({kqw_XAwu;Buv1};GaF;Buvoz;curAxiH)}	BAva{puM;7;bahu}	aXikaraNam,11	prApwa kI	-	-	-	-	-
11	baBUva	9	baBUva	BU{karwari;lit;u;eka;parasmEpaxI;BU;BvAxiH}/BU{karwari;lit;ma;bahu;parasmEpaxI;BU;BvAxiH}/BU{karwari;lit;pra;eka;parasmEpaxI;BU;BvAxiH}	BU{karwari;lit;pra;eka;parasmEpaxI;BU;BvAxiH}	aBihiwa_karwA,12;akarmakaH	Sakwi	-	-	-	-	-
12	xilIpa-nanxanaH	10	xilIpananxanaH	xilIpa-nanxana{puM;1;eka}	xilIpa-nanxana{puM;1;eka}	karwA,11	puwra	-	-	-	-	-
