@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	rAma-avarajaH	2	rAmAvarajaH	rAma-avaraja{puM;1;eka}	rAma-avaraja{puM;1;eka}	karwA,14	rAma-avaraja	-	rAmAw avarajaH	-	-	-
2	sawIm	3	sawIm	sawI{swrI;2;eka}	sawI{swrI;2;eka}	viSeRaNam,3	sawI	-	-	-	-	-
3	wAm	4	wAmAKyAwavAlmIkinikewamArgaH	wax{sarvanAma;swrI;2;eka}	wax{sarvanAma;swrI;2;eka}	karma,6	usako	-	-	-	sIwAm	-
4	AKyAwa-vAlmIki-nikewa-mArgaH	-	-	mArgaH{puM;1;eka}	mArgaH{puM;1;eka}	karwqsamAnAXikaraNam,5	-	-	vAlmIkeH nikewasya mArgaH,AKyAwaH vAlmIkinikewamArgaH yena saH	-	-	-
5	(san)	12	(san)	saw{puM;1;eka(as2;Sawq_lat;asaz;:axAxiH)}	saw{puM;1;eka(as2;Sawq_lat;asaz;:axAxiH)}	varwamAnasamAnakAlaH,14	-	-	-	-	-	-
6	ASvAsya	1	ASvAsya	Af_Svas1{avya;Nijanwa;lyap;Svasaz;:axAxiH}	Af_Svas1{avya;Nijanwa;lyap;Svasaz;:axAxiH}	pUrvakAlaH,14	samAXAna_karA_kara	-	-	-	-	-
7	niGnasya	5	niGnasya	niGna{puM;6;eka}	niGna{puM;6;eka}	RaRTIsambanXaH,8	niGna_kI	-	-	-	-	-
8	me	6	me	asmax{sarvanAma;6;eka}/asmax{sarvanAma;4;eka}	asmax{sarvanAma;6;eka}	RaRTIsambanXaH,9	merI	-	-	-	lakRmaNasya	-
9	Barwq-nixeSa-rOkRyam	7	BarwqnixeSarOkRyam	Barwq-nixeSa-rOkRya{napuM;2;eka}/rOkRya{napuM;1;eka}	Barwq-nixeSa-rOkRya{napuM;1;eka}	karma,13	svAmI-AjFA-kaTorawA_ne	-	BarwuH nixeSaH = BarwunixeSaH,BarwunixeSena yaw rOkRyaM waw 	-	-	-
10	xevi	8	xevi	xevI{swrI;8;eka}/xevI{swrI;8;eka}	xevI{swrI;8;eka}	samboXyaH,11	xevI	-	-	-	-	-
11	kRamasva	9	kRamasvewi	kRama{karwari;lota;ma; eka; AwmanepaxI;;kRamUzRa ;BvAxiH;	kRama{karwari;lota;ma; eka; AwmanepaxI;;kRamUzRa ;BvAxiH;	sambanXaH,12	yogya-apanA	-	-	-	-	-
12	iwi	-	-	iwi{avya}	iwi{avya}	sambanXaH,13	EsA	-	-	-	-	-
13	namraH	10	namraH	namra{puM;1;eka}	namra{puM;1;eka}	kriyAviSeRaNam,14	-	-	-	-	-	-
14	baBUva	11	baBUva	BU1{karwari;lit;ma;bahu;parasmEpaxI;BU;:BvAxiH}/BU1{karwari;lit;pra;eka;parasmEpaxI;BU;:BvAxiH}/BU1{karwari;lit;u;eka;parasmEpaxI;BU;:BvAxiH}	BU1{karwari;lit;pra;eka;parasmEpaxI;BU;:BvAxiH}	aBihiwa_karwA,1;sakarmaka	X_BU1_pp_skyA	-	-	-	-	-
