@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	kara-aBiGAwa-uwWiwa-kanxukA	1	karABiGAwowWiwakanxukeyamAlokya	kara-aBiGAwa-RWA1{kwa;RWA;:BvAxiH-kanxukA}	kara-aBiGAwa-uw_RWA1{kwa;RWA;:BvAxiH-kanxukA;swrI;1;eka}	viSeRaNam,2	-	-	-	-	-	-
2	iyaM	-	-	ixam{sarvanAma;swrI;1;eka}	ixam{sarvanAma;swrI;1;eka}	karwA,12	yaha	-	-	-	-	-
3	bAla-awi-kuwUhalena	2	bAlAwikuwUhalena	bal1{GaF;balaz;:BvAxiH}/bal2{GaF;balaz;:curAxiH-awi-kuwUhala;puM;3;eka}/kuwUhala{napuM;3;eka}	bal2{GaF;balaz;:curAxiH-awi-kuwUhala;puM;3;eka}	hewuH,11	-	-	-	-	-	-
4	anwarikRAw	-	-	anwarikRa{napuM;5;eka}	anwarikRa{napuM;5;eka}	apAxAnam,13	aMwarikRa_se	-	-	-	-	-
5	jyowiH	-	-	jyowis{napuM;1;eka}/jyowis{napuM;2;eka}/jyowis{napuM;8;eka}	jyowis{napuM;2;eka}	karma,13	jyowi	-	-	-	-	-
6	iva	-	-	iva{avya}	iva{avya}	upamAnaxyowakaH,8	jEse	-	-	-	-	-
7	hraxAw	3	hraxAwpawajjyowirivAnwarikRAxAxawwa	hraxa{puM;5;eka}	hraxa{puM;5;eka}	apAxAnam,8	wAlAba_se	-	-	-	-	-
8	pawaw	-	-	pawaw{puM;1;eka}/pawaw{napuM;8;eka}/pawaw{napuM;1;eka(paw1;Sawq_lat;pawLz;:BvAxiH)}/pawaw{napuM;2;eka(paw1;Sawq_lat;pawLz;:BvAxiH)}	pawaw{napuM;2;eka(paw1;Sawq_lat;pawLz;:BvAxiH)}	viSeRaNam,10	girawe_hue	-	-	-	-	-
9	wvaxIyaM	5	wvaxIyaM	wvaxIya{puM;2;eka}	wvaxIya{puM;2;eka}	viSeRaNam,10	wumhAr	-	-	-	-	-
10	jEwra-ABaraNaM	4	jEwrABaraNaM	jEwra-ABaraNa{napuM;1;eka}/ABaraNa{napuM;2;eka}	jEwra-ABaraNa{napuM;2;eka}	karma,12	jEwra-ABaraNa_ko	-	-	-	-	-
11	Alokya	-	-	lok1{avya;lyap;lokqz;:BvAxiH}/lok2{avya;lyap;lokqz;:curAxiH}	Af_lok2{avya;lyap;lokqz;:curAxiH}	pUrvakAlaH,12	Af_lok2_kara	-	-	-	-	-
12	Axawwa	-	-	Af_xA3{karwari;laf;ma;bahu;parasmEpaxI;duxAF;:juhowyAxiH}/Af_xA3{karwari;laf;pra;eka;AwmanepaxI;duxAF;:juhowyAxiH}/Af_xA3{karwari;lot;ma;bahu;parasmEpaxI;duxAF;:juhowyAxiH}	Af_xA3{karwari;laf;pra;eka;AwmanepaxI;duxAF;:juhowyAxiH}	aBihiwa_karwA,2;sakarmaka	ugA	-	-	-	-	-
13	(pawaw)	-	(-)	pawaw{puM;1;eka}/pawaw{napuM;8;eka}/pawaw{napuM;1;eka(paw1;Sawq_lat;pawLz;:BvAxiH)}/pawaw{napuM;2;eka(paw1;Sawq_lat;pawLz;:BvAxiH)}	pawaw{napuM;2;eka(paw1;Sawq_lat;pawLz;:BvAxiH)}	upamAnam,6	girawe_hue	-	-	-	-	-
