@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	rakRaH-kapi-inxrEH	3	rakRaHkapInxrErupapAxiwAni	rakRaH-kapi-inxra{puM;3;bahu}/inxra{napuM;3;bahu}	rakRaH-kapi-inxra{puM;3;bahu}	karaNam,5	rakRaH-baMxara-inxroM_se	-	-	-	-	-
2	sariw-samuxrAn	1	sariwsamuxrAnsarasISca	sariw-samuxra{puM;2;bahu}	sariw-samuxra{puM;2;bahu}	sup_samucciwaH,3	naxI-samuxra_ko	-	-	-	-	-
3	sarasIH	-	-	sarasI{swrI;2;bahu}	sarasI{swrI;2;bahu}	karma,5	sarasiyAz	-	-	-	-	-
4	ca	-	-	ca{avya}	ca{avya}	sup_samuccayaxyowakaH,3	Ora	-	-	-	-	-
5	gawvA	2	gawvA	gam1{avya;kwvA;gamLz;:BvAxiH}	gam1{avya;kwvA;gamLz;:BvAxiH}	pUrvakAlaH,11	jA_kara	-	-	-	-	-
6	upapAxiwAni	-	-	upapAxiwa{napuM;1;bahu(upa_pax1;kwa;:xivAxiH)}/upapAxiwa{napuM;2;bahu(upa_pax1;kwa;:xivAxiH)}	upapAxiwa{napuM;1;bahu(upa_pax1;kwa;:xivAxiH)}	viSeRaNam,7	upapAxiwa	-	-	-	-	-
7	jalAni	5	jalAni	jala{napuM;1;bahu}/jala{napuM;2;bahu}/jal1{karwari;lot;u;eka;parasmEpaxI;jalaz;:BvAxiH}/jala{napuM;8;bahu}	jala{napuM;1;bahu}	karwA,11	jala_ne	-	-	-	-	-
8	jiRNoH	6	jiRNorvinXyasya	jiRNu{puM;5;eka}/jiRNu{puM;6;eka}	jiRNu{puM;6;eka}	viSeRaNam,9	sUrya_ke	-	-	-	-	-
9	wasya	4	wasyApawanmUrXni	wax{sarvanAma;napuM;6;eka}/wax{sarvanAma;puM;6;eka}	wax{sarvanAma;puM;6;eka}	RaRTIsambanXaH,10	usake	-	-	-	-	-
10	(mUrXni)	-	(-)	mUrXna{napuM;7;eka}	mUrXna{napuM;7;eka}	aXikaraNam,11	mUrXna_meM	-	-	-	-	-
11	(apawan)	-	(-)	paw1{karwari;laf;pra;bahu;parasmEpaxI;pawLz;:BvAxiH}	paw1{karwari;laf;pra;bahu;parasmEpaxI;pawLz;:BvAxiH}	aBihiwa_karwA,7	paw1_pp_skyA	-	-	-	-	-
12	vinXyasya	-	-	vinXya{puM;6;eka}	vinXya{puM;6;eka}	RaRTIsambanXaH,13	vinXya_ke	-	-	-	-	-
13	mUrXni	-	-	mUrXna{napuM;7;eka}	mUrXna{napuM;7;eka}	aXikaraNam,17	mUrXna_meM	-	-	-	-	-
14	meGa-praBavAH	7	meGapraBavAH	meGa-praBava{puM;8;bahu}/praBava{puM;1;bahu}/praBavA{swrI;8;bahu}/praBavA{swrI;1;bahu}/praBavA{swrI;2;bahu}	meGa-praBavA{swrI;1;bahu}	viSeRaNam,15	meGa-praBave	-	-	-	-	-
15	ApaH	-	-	ap{swrI;1;bahu}/Apas{napuM;1;eka}/Apas{napuM;2;eka}/Ap1{karwari;luf;ma;eka;parasmEpaxI;ApLz;:svAxiH}/Apas{napuM;8;eka}	ap{swrI;1;bahu}	karwA,17	pAnI	-	-	-	-	-
16	iva	8	ivApaH	iva{avya}	iva{avya}	upamAnaxyowakaH,11	jEse	-	-	-	-	-
17	apawan	-	-	paw1{karwari;laf;pra;bahu;parasmEpaxI;pawLz;:BvAxiH}	paw1{karwari;laf;pra;bahu;parasmEpaxI;pawLz;:BvAxiH}	upamAnam,16	paw1_pp_skyA	-	-	-	-	-
