@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	yoRiw-prawi-yAwanAnAM	2	yoRiwprawiyAwanAnAmuwkrAnwavarNakraXUsarANAm	yoRiw-prawi-yAwanA{swrI;6;bahu}/yoRiw-prawi-yAwana{napuM;6;bahu(yaw2;lyut;yawaz;:curAxiH)}/yAwana{puM;6;bahu}/yAwana{napuM;6;bahu}	yoRiw-prawi-yAwanA{swrI;6;bahu}	RaRTIsambanXaH,3	swrI-prawi-prawiSoXa_ke	-	-	-	-	-
2	uwkrAnwa-varNa-krama-XUsarANAM	-	-	kram1{kwa;kramuz;:BvAxiH-varNa-krama-XUsara;puM;6;bahu}/XUsara{napuM;6;bahu}/XUsarA{swrI;6;bahu}	kram1{kwa;kramuz;:BvAxiH-varNa-krama-XUsara;puM;6;bahu}	RaRTIsambanXaH,3	-	-	-	-	-	-
3	swamBeRu	1	swamBeRu	swamBa{puM;7;bahu}/swamBa{puM;7;bahu(RwaB1;GaF;RwaBiz;:BvAxiH)}	swamBa{puM;7;bahu}	aXikaraNam,5	xabAnoM_meM	-	-	-	-	-
4	PaNiBiH	6	PaNiBirvimukwAH	PaNin{puM;3;bahu}	PaNin{puM;3;bahu}	karwA,5	PaNinoM_se	-	-	-	-	-
5	vimukwAH	-	-	vimukwa{puM;1;bahu}/vimukwa{puM;8;bahu}	vimukwa{puM;1;bahu(muc1;kwa;mucLz;:wuxAxiH)}	viSeRaNam,6	AjAxa	-	-	-	-	-
6	nirmoka-pattAH	-	-	nirmoka-pattA{swrI;8;bahu}/pattA{swrI;1;bahu}/pattA{swrI;2;bahu}	nirmoka-pattA{puM;1;bahu}	karwA,9	nirmoka-	-	-	-	-	-
7	safgAw	5	safgAnnirmokapattAH	safga{puM;5;eka}	safga{puM;5;eka}	hewuH,9	sAWa_se	-	-	-	-	-
8	swana-uwwarIyANi	3	swanowwarIyANi	swana-uwwarIya{napuM;1;bahu}/uwwarIya{napuM;2;bahu}/uwwarIya{napuM;8;bahu}	swana-uwwarIya{napuM;1;bahu}	karwqsamAnAXikaraNam,9	swana-uwwarIya	-	-	-	-	-
9	Bavanwi	4	Bavanwi	BU1{karwari;lat;pra;bahu;parasmEpaxI;BU;:BvAxiH}/BavanwI{swrI;8;eka}/Bavaw{napuM;1;bahu}/Bavaw{napuM;2;bahu}	BU1{karwari;lat;pra;bahu;parasmEpaxI;BU;:BvAxiH}	aBihiwa_karwA,6	howe_hEM	-	-	-	-	-
