@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	qRi-praBAvAw	-	qRipraBAvAw	qRi-praBAvAw;{puM;5;eka}/praBAva{puM;5;eka(BU1;GaF;BU;:BvAxiH)}	qRi_praBAvAw;{puM;5;eka(BU1;GaF;BU;:BvAxiH)}	hewuH,7	praBAva_se	-	-	-	-	-
2	mayi	-	mayi	asmax{sarvanAma;7;eka}	asmax{sarvanAma;7;eka}	aXikaraNam,7	muJameM	-	-	-	-	-
3	na	-	nAnwakopi	na{avya}	na{avya}	prawiReXaH,11	nahIM	-	-	-	-	-
4	anwakaH	-	-	anwaka{puM;1;eka}	anwaka{puM;1;eka}	viSeRaNam,6	GAwaka	-	-	-	-	-
5	api	-	-	api{avya}	api{avya}	sambanXaH,6	BI	-	-	-	-	-
6	praBuH	-	praBuH	praBu{puM;1;eka}	praBu{puM;1;eka}	karwA,11	praBu	-	-	-	-	-
7	praharwum	-	praharwum	pra_hq1{avya;wumun;hqF;:BvAxiH}/pra_hq2{avya;wumun;hq;:juhowyAxiH}	pra_hq1{avya;wumun;hqF;:BvAxiH}	prayojanam,11	prahAra_karane~ke_liye	-	-	-	-	-
8	kim	-	kim	kim{avya}/kim{sarvanAma;napuM;1;eka}/kim{sarvanAma;napuM;2;eka}	kim{avya}	sambanXaH,9	kyA	-	-	-	-	-
9	uwa	-	uwa	uwa{avya}	uwa{avya}	sambanXaH,10	aWavA	-	-	-	-	-
10	anyahiMsrAH	-	anyahiMsrAH	anya-hiMsra{puM;8;bahu}/hiMsra{puM;1;bahu}/hiMsrA{swrI;8;bahu}/hiMsrA{swrI;1;bahu}/hiMsrA{swrI;2;bahu}	anya-hiMsra{puM;1;bahu}	karwqsamAnAXikaraNam,11	anya-	-	-	-	-	-
11	(Sakyawi)	-	(-)	Sakyaw{puM;7;eka{kqxanwa}({kqw_XAwu;Sak2};Sawq_lat;Sakaz;xivAxiH)}/Sakyaw{napuM;7;eka{kqxanwa}({kqw_XAwu;Sak2};Sawq_lat;Sakaz;xivAxiH)}/Sak{karwari;lat;pra;eka;parasmEpaxI;Sakaz;xivAxiH}	Sak{karwari;lat;pra;eka;parasmEpaxI;Sakaz;xivAxiH}	aBihiwa_karwA,6	hE	-	-	-	-	-
