@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	wapasi	1	wapasyanaXikAriwvAwprajAnAM	wap1{karwari;lat;ma;eka;parasmEpaxI;wapaz;:BvAxiH}/wap3{karwari;lat;ma;eka;parasmEpaxI;wapaz;:curAxiH}/wapas{puM;7;eka}/wapas{napuM;7;eka}	wap1{karwari;lat;ma;eka;parasmEpaxI;wapaz;:BvAxiH}wapaspuM;7;eka}	viRayAXikaraNam,2	saMwapwa_howe_ho	-	-	-	-	-
2	anaXikAriwvAw	-	-	anaXikAriwvAw}	anaXikAriwvAw}	hewuH,8	-	-	-	-	-	-
3	prajAnAm	-	-	prajA{swrI;6;bahu}/pra-ja{napuM;6;bahu}	prajA{swrI;6;bahu}	RaRTIsambanXaH,9	prajA_kA	-	-	-	-	-
4	aGAvaham	2	wamaGAvaham	aGAvaham}	aGAvaha{puM;2;eka}	viSeRaNam,5	-	-	-	-	-	-
5	wam	-	-	wax{sarvanAma;puM;2;eka}	wax{sarvanAma;puM;2;eka}	karma,11	usako	-	-	-	-	-
6	(SUxram)	-	(SUxram)	SUxra{puM;2;eka}	SUxra{puM;2;eka}	viSeRaNam,5	SUxra_ko	-	-	-	-	-
7	SIrSa-Cexyam	3	SIrSacCexyam	SIrRacCexya{puM;2;eka}	SIrSacCexya{puM;2;eka}	viSeRaNam,5	jisakA_sira_kAta_dAlanA_cAhie_ko	-	-	-	-	-
8	paricCixya	4	paricCixya	paricCixya}	"paricCixya{{kqw_XAwu Cix1} avya lyap{XAwuH Cixizr} BvAxiH{kqxanwa}
 "	pUrvakAlaH,11	-	-	-	-	-	-
9	niyanwA	5	niyanwA	niyanwq{puM;1;eka}	niyanwq{puM;1;eka}	karwA,11	niyanwA	-	-	-	-	-
10	Saswram	6	SaswramAxaxe	Saswra{puM;2;eka}/Saswra{napuM;1;eka}/Saswra{napuM;2;eka}	Saswra{napuM;1;eka}	karma,11	Saswra_ko	-	-	-	-	-
11	Axaxe	-	-	Af_xA3{karwari;lit;pra;eka;AwmanepaxI;duxAF;:juhowyAxiH}/Af_xA3{karwari;lit;u;eka;AwmanepaxI;duxAF;:juhowyAxiH}/Af_xA3{karwari;lat;u;eka;AwmanepaxI;duxAF;:juhowyAxiH}	Af_xA3{karwari;lit;pra;eka;AwmanepaxI;duxAF;:juhowyAxiH}	aBihiwa_karwA,9;sakarmaka	ugA	-	-	-	-	-
