@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	kRawajena	3	kRawajena	kRawa-ja{napuM;3;eka}	kRawa-ja{napuM;3;eka}	hewuH,2	kRIna se	-	-	-	-	-
2	CinnamUlaH	2	cCinnamUlaH	CinnamUla{puM;1;eka}	CinnamUla{puM;1;eka}	viSeRaNam,7	CinnamUla ne	-	-	-	-	-
3	wasya	-	-	wax{sarvanAma;napuM;6;eka}/wax{sarvanAma;puM;6;eka}	wax{sarvanAma;puM;6;eka}	sanxarBa_binxuH,4	usakA	-	-	-	-	-
4	upariRtAw	-	-	upariRtAw{avya}	upariRtAw{avya}	apAxAnam,5	upariRtAw	-	-	-	-	-
5	pavana-avaXUwaH	-	-	pU1{lyut;pUf;:BvAxiH}/avaXUwa{puM;1;eka(pU2;lyut;pUF;:kryAxiH-XU1;kwa;XUF;:svAxiH)}/avaXUwa{puM;1;eka(XU2;kwa;XU;:wuxAxiH)}	avaXUwa-avaXUwa{puM;1;eka(avaXUwa-pU2;lyut;pUF;:kryAxiH-XU1;kwa;XUF;:svAxiH)}	viSeRaNam,7	avaXUwa-ava_pU2yA_huA	-	-	-	-	-
6	saH	1	sa	wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	viSeRaNam,7	vaha	-	-	-	-	-
7	reNuH	4	reNuswasyopariRtAwpavanAvaXUwaH	reNu{puM;1;eka}/raN1{karwari;lit;pra;bahu;parasmEpaxI;raNaz;:BvAxiH}	reNu{puM;1;eka}	karwA,13	parAga	-	-	-	-	-
8	afgAra-SeRasya	5	afgAraSeRasya	afgAra-SeRa{napuM;6;eka}/SeRa{puM;6;eka}	afgAra-SeRa{puM;6;eka}	viSeRaNam,9	aMgAra-SeRa	-	-	-	-	-
9	huwASanasya	6	huwASanasya	huwASana{puM;6;eka}	huwASana{puM;6;eka}	RaRTIsambanXaH,11	Aga_kA	-	-	-	-	-
10	pUrva-uwWiwaH	7	pUrvowWiwaH	pUrva-uwWiwa{puM;1;eka(pUrva-RWA1;kwa;RWA;:BvAxiH)}	pUrva-uwWiwa{puM;1;eka(pUrva-RWA1;kwa;RWA;:BvAxiH)}	viSeRaNam,11	pUrva-uTA_huvA	-	-	-	-	-
11	XUmaH	8	XUma	XUma{puM;1;eka}	XUma{puM;1;eka}	upamAnam,12	XuAz	-	-	-	-	-
12	iva	9	ivAbaBAse	iva{avya}	iva{avya}	upamAnaxyowakaH,7	jEse	-	-	-	-	-
13	AbaBAse	-	-	Af_BAs1{karwari;lit;pra;eka;AwmanepaxI;BAsqz;:BvAxiH}/Af_BAs1{karwari;lit;u;eka;AwmanepaxI;BAsqz;:BvAxiH}	Af_BAs1{karwari;lit;pra;eka;AwmanepaxI;BAsqz;:BvAxiH}	aBihiwa_karwA,7	BAsa ho rahA WA	-	-	-	-	-
