@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	prApya	1	prApya	Ap1{avya;lyap;ApLz;:svAxiH}/Ap1{avya;lyap;ApLz;:svAxiH}/Ap2{avya;lyap;ApLz;:curAxiH}/Ap2{avya;lyap;ApLz;:curAxiH}	pra_Ap2{avya;lyap;ApLz;:curAxiH}	pUrvakAlaH,8	pra_Ap2_kara	-	-	-	-	-
2	ca	-	-	-	ca{avya}	sambanXaH,1	-	-	-	-	-	-
3	ASu	2	cASu	ca-ASu{napuM;1;eka}/ASu{napuM;2;eka}/ASu{napuM;8;eka}	ca-ASu{puM;1;eka}	kAlAXikaraNam,1	ca-wuranwa	-	-	-	-	-
4	jana-sWAnaM	3	janasWAnaM	jana-sWAna{napuM;1;eka}/sWAna{napuM;2;eka}	jana-sWAna{napuM;2;eka}	karma,1	jana-sWAna	-	-	-	-	-
5	Kara-AxiByaH	4	KarAxiByaswaWAviXam	Kara-Axi{swrI;4;bahu}/Axi{swrI;5;bahu}/Axi{napuM;4;bahu}/Axi{napuM;5;bahu}/Axi{puM;4;bahu}/Axi{puM;5;bahu}	Kara-Axi{puM;4;bahu}	sampraxAnam,8	Kala-paheloM_ko	-	-	-	-	-
6	waWAviXam	-	-	waWAviXa{puM;2;eka}/waWAviXa{napuM;1;eka}/waWAviXa{napuM;2;eka}	waWAviXa{napuM;1;eka}	kriyAviSeRaNam,8	usI_prakAra_ne	-	-	-	-	-
7	rAma-upakramaM	5	rAmopakramamAcaKyO	rAma-upakrama{puM;2;eka}/rAma-upakrama{puM;2;eka(kram1;GaF;kramuz;:BvAxiH)}	rAma-upakrama{puM;2;eka(rAma-kram1;GaF;kramuz;:BvAxiH)}	karma,8	rAma-upakrama_ko	-	-	-	-	-
8	AcaKyO	-	-	Af_KyA1{karwari;lit;pra;eka;parasmEpaxI;KyA;:axAxiH}/Af_KyA1{karwari;lit;u;eka;parasmEpaxI;KyA;:axAxiH}/Af_cakR1{karwari;lit;pra;eka;AwmanepaxI;cakRizf;:axAxiH}/Af_cakR1{karwari;lit;u;eka;AwmanepaxI;cakRizf;:axAxiH}	Af_cakR1{karwari;lit;pra;eka;AwmanepaxI;cakRizf;:axAxiH}	aBihiwa_karwA,11;sakarmaka	Af_cakR1_ap_skyA	-	-	-	-	-
9	rakRaH-pariBavaM	6	rakRaHpariBavaM	-	-	viSeRaNam,7	-	-	-	-	-	-
10	navam	7	navam	-	-	viSeRaNam,9	-	-	-	-	0	-
11	(sA)	-	(-)	-	sA{sarvanAma{swrI;1;eka}	karwA,8	-	-	-	-	-	-
