@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	kusuma-anusAriBiH	-	kusuma-anusAriBiH	kusuma-anusArin{puM;3;bahu}/anusArin{napuM;3;bahu}	kusuma-anusArin{puM;3;bahu}	viSeRaNam,2	PUla-anusArin	-	-	-	-	-
2	BramarEH	-	BramarEH	Bramara{puM;3;bahu}	Bramara{puM;3;bahu}	karwA,3	BramaroM_se	-	-	-	-	-
3	parikIrNA	-	parikIrNA	parikIrNA{swrI;1;eka(kQ1;kwa;kQ;:wuxAxiH)}	parikIrNA{swrI;1;eka(kQ1;kwa;kQ;:wuxAxiH)}	viSeRaNam,4	NWyA_huI	-	-	-	-	-
4	parivAxinI	-	parivAxinI	parivAxinI{swrI;1;eka}	parivAxinI{swrI;1;eka}	karwA,11	parivAxinI	-	-	-	-	-
5	muneH	-	muneH	muni{puM;5;eka}/muni{puM;6;eka}	muni{puM;6;eka}	RaRTIsambanXaH,4	muni_kA	-	-	-	-	-
6	pavana-avalepam	-	pavana-avalepam	pavana{napuM(pU1;lyut;pUf;:BvAxiH)}/pavana{napuM-avalepa;puM;2;eka(pU2;lyut;pUF;:kryAxiH)}/avalepa{puM;2;eka(lip1;GaF;lipaz;:wuxAxiH)}	pavana-pavana{napuM-avalepa;puM;2;eka(pavana-pU2;lyut;pUF;:kryAxiH)}	viSeRaNam,8	pavana-pavana	-	-	-	-	-
7	aFjana-avilam	-	aFjana-avilam	aFjana{napuM(anj1;lyut;anjUz;:ruXAxiH)}/aFjana{napuM-vil1;karwari;laf;u;eka;parasmEpaxI;vilaz;:wuxAxiH(aj2;lyut;ajiz;:curAxiH)}/avila{puM;2;eka}/avila{napuM;1;eka}/avila{napuM;2;eka}	aFjana-aFjana{napuM-vil1;karwari;laf;u;eka;parasmEpaxI;vilaz;:wuxAxiH(aFjana-aj2;lyut;ajiz;:curAxiH)}	viSeRaNam,8	-	-	-	-	-	-
8	bARpaM	-	bARpaM	bARpa{puM;2;eka}	bARpa{puM;2;eka}	karma,9	bARpa	-	-	-	-	-
9	sqjawI	-	sqjawI	sqjawI{swrI;1;eka(sqj2;Sawq_lat;sqjaz;:wuxAxiH)}	sqjawI{swrI;1;eka(sqj2;Sawq_lat;sqjaz;:wuxAxiH)}	varwamAnasamAnakAlaH,11	racanA_karawI_huI	-	-	-	-	-
10	iva	-	iva	iva{avya}	iva{avya}	sambanXaH,9	jEse	-	-	-	-	-
11	xaxqSe	-	xaxqSe	xqS1{karmaNi;lit;pra;eka;AwmanepaxI;xqSizr;:BvAxiH}/xqS1{karmaNi;lit;u;eka;AwmanepaxI;xqSizr;:BvAxiH}	xqS1{karmaNi;lit;pra;eka;AwmanepaxI;xqSizr;:BvAxiH}	aBihiwa_karma,8;sakarmaka	-	-	-	-	-	-
