@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	wvawwaH	-	wvawwaH	wvawwa{avya}	wvawwa{avya}	viSeRaNam,11	wumase	-	-	-	-	-
2	cawuH-varga-Palam	1	cawurvargaPalaM 	cawuH-varga-Pala{napuM;2;eka}/Pala{napuM;1;eka}	cawuH-varga-Pala{napuM;1;eka}	viSeRaNam,3	cawuH-varga-Pala	-	-	-	-	-
3	jFAnam	2	jFAnaM 	jFAna{napuM;2;eka}/jFAna{napuM;1;eka}	jFAna{napuM;1;eka}	sup_samucciwaH,9	jFAna	-	-	-	-	-
4	kAla-avasWAH	3	kAlAvasWAScawuryugAH	kAla-kAla#2-avasWA{swrI;2;bahu}/avasWA{swrI;1;bahu}	kAla-kAla#2-avasWA{swrI;1;bahu}	viSeRaNam,5	samaya-kAla2-	-	-	-	-	-
5	cawuH-yugAH	-	-	cawuH-yuga{puM;1;bahu}/yuga{swrI;2;bahu}/yuga{swrI;1;bahu}	cawuH-yuga{swrI;1;bahu}	sup_samucciwaH,9	cawuH-yugeM	-	-	-	-	-
6	cawuH-varNa-mayaH	4	cawurvarNamayo 	cawuH-varNa-maya{puM;1;eka}	cawuH-varNa-maya{puM;1;eka}	viSeRaNam,7	cawuH-varNa-maya	-	-	-	-	-
7	lokaH	5	lokaswvawwaH 	loka{puM;1;eka}	loka{puM;1;eka}	sup_samucciwaH,9	loka	-	-	-	-	-
8	ca	-	-	ca{avya}	ca{avya}	sup_samuccayaxyowakaH,7	Ora	-	-	-	-	-
9	sarvam	6	sarvaM 	sarva{sarvanAma;puM;2;eka}/sarva{sarvanAma;napuM;2;eka}/sarva{sarvanAma;napuM;1;eka}	sarva{sarvanAma;napuM;2;eka}	karwA,11	saba_ko	-	-	-	-	-
10	cawuH-muKAw	7	cawurmuKAw	cawuH-muKa{napuM;5;eka}	cawuH-muKa{napuM;5;eka}	hewuH,11	cawuH-muKa_se	-	-	-	-	-
11	(pravahawi)	-	(-)	pra_vah1{karwari;lat;pra;eka;parasmEpaxI;vahaz;:BvAxiH}	pra_vah1{karwari;lat;pra;eka;parasmEpaxI;vahaz;:BvAxiH}	aBihiwa_karwA,9;sakarmaka	pra_vah1_pp_skwe_hEM	-	-	-	-	-
