@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	(ahaM)	-	(-)	asmax{sarvanAma;1;eka}	asmax{sarvanAma;1;eka}	karwA,3	mEM	-	-	-	-	-
2	manxaH	1	manxaH	manxa{puM;1;eka}	manxa{puM;1;eka}	karwqsamAnAXikaraNam,3	manxa	-	-	-	-	-
3	(asmi)	-	(-)	as2{karwari;lat;u;eka;parasmEpaxI;asaz;:axAxiH}	as2{karwari;lat;u;eka;parasmEpaxI;asaz;:axAxiH}	prawiyogI,4	hUz	-	-	-	-	-
4	(waWApi)	-	(-)	waWApi{avya}	waWApi{avya}	anuyogI,14	Pira_BI	-	-	-	-	-
5	kavi-yaSaH-prArWI	2	kaviyaSaHprArWI	kavi-yaSaH-prArWin{puM;1;eka}	kavi-yaSaH-prArWin{puM;1;eka}	viSeRaNam,6	kavISvaroM_kA_yaSa_cAhanevAlA 	-	-	-	-	-
6	(ahaM)	-	(-)	asmax{sarvanAma;1;eka}	asmax{sarvanAma;1;eka}	karwA,14	mEM	-	-	-	-	-
7	prAMSu-laBye	4	prAMSulaBye	prAMSu-laB1{karmaNi;lat;u;eka;AwmanepaxI;dulaBazR;:BvAxiH}/prAMSu-laBya{puM;7;eka(laB1;yaw;dulaBazR;:BvAxiH)}/prAMSu-laBya{napuM;1;xvi(laB1;yaw;dulaBazR;:BvAxiH)}/prAMSu-laBya{napuM;2;xvi(laB1;yaw;dulaBazR;:BvAxiH)}/prAMSu-laBya{napuM;7;eka(laB1;yaw;dulaBazR;:BvAxiH)}/prAMSu-laByA{swrI;1;xvi(laB1;yaw;dulaBazR;:BvAxiH)}/prAMSu-laByA{swrI;2;xvi(laB1;yaw;dulaBazR;:BvAxiH)}	prAMSu-laBya{napuM;7;eka(laB1;yaw;dulaBazR;:BvAxiH)}	viSeRaNam,8	laMbe_(purURa)_ke_hAWa_lagane_yogya	-	-	-	-	-
8	Pale	5	Pale	Pala{napuM;1;xvi}/Pala{napuM;2;xvi}/Pala{napuM;8;xvi}/Pala{napuM;7;eka}	Pala{napuM;7;eka}	aXikaraNam,14	Pala_kI_ora	-	-	-	-	-
9	loBAw	6	loBAxuxbAhuriva	loBa{puM;5;eka}	loBa{puM;5;eka}	hewuH,14	loBa_se	-	-	-	-	-
10	uxbAhuH	-	-	uxbAhu{puM;1;eka}	uxbAhu{puM;1;eka}	viSeRaNam,11	bone	-	-	-	-	-
11	vAmanaH	7	vAmanaH	vAmana{puM;1;eka}	vAmana{puM;1;eka}	upamAnam,12	vAmana	-	-	-	-	-
12	iva	-	-	iva{avya}	iva{avya}	upamAnaxyowakaH,13	jEse	-	-	-	-	-
13	upahAsyawAm	-	-	upahAsya{wal;swrI;2;eka}	upahAsya{wal;swrI;2;eka}	karma,14	upahAsyawA_ko	-	-	-	-	-
14	gamiRyAmi	3	gamiRyAmyupahAsyawAm	gam1{karwari;lqt;u;eka;parasmEpaxI;gamLz;:BvAxiH}	gam1{karwari;lqt;u;eka;parasmEpaxI;gamLz;:BvAxiH}	aBihiwa_karwA,6;sakarmaka	prApwa_hoUzgA	-	-	-	-	-
