@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	waxIye	2	waxIye	waxIya{napuM;1;xvi}/waxIya{napuM;2;xvi}/waxIyA{swrI;1;xvi}/waxIyA{swrI;2;xvi}/waxIya{napuM;8;xvi}/waxIya{puM;7;eka}/waxIya{napuM;7;eka}	waxIya{napuM;7;eka}	viSeRaNam,2	usakI_meM	-	-	-	-	-
2	wIrWe	1	wIrWe	wIrWa{napuM;1;xvi}/wIrWa{napuM;2;xvi}/wIrWa{napuM;8;xvi}/wIrWa{napuM;7;eka}	wIrWa{napuM;7;eka}	aXikaraNam,3	wIrWa_meM	-	-	-	-	-
3	gaja-sewu-banXAw	3	gajasewubanXAwprawIpagAmuwwarawosya	gaja-sewu-banXa{puM;5;eka}/banXa{napuM;5;eka}	gaja-sewu-banXa{napuM;5;eka}	hewuH,4	hAWI-sewu-banXa_se	-	-	-	-	-
4	prawIpa-gAm	-	-	prawIpa-go{puM;2;eka}/go{swrI;2;eka}/gA{swrI;2;eka}	prawIpa-gA{swrI;2;eka}	viSeRaNam,5	prawIpa-gAnA	-	-	-	-	-
5	gafgAm	4	gafgAm	gafgA{swrI;2;eka}	gafgA{swrI;2;eka}	karma,7	gafgA_kA	-	-	-	-	-
6	asya	-	-	ixam{sarvanAma;puM;6;eka}/ixam{sarvanAma;napuM;6;eka}/as3{karwari;lot;ma;eka;parasmEpaxI;asuz;:xivAxiH}	ixam{sarvanAma;napuM;6;eka}	viSeRaNam,7	isakA	-	-	-	-	-
7	uwwarawaH	-	-	uwwara{avya;wasil}/uwwarawaH{avya}/uw_wQ1{karwari;lat;pra;xvi;parasmEpaxI;wQ;:BvAxiH}/uwwaraw{puM;2;bahu(wQ1;Sawq_lat;wQ;:BvAxiH)}/uwwaraw{puM;5;eka(wQ1;Sawq_lat;wQ;:BvAxiH)}/uwwaraw{puM;6;eka(wQ1;Sawq_lat;wQ;:BvAxiH)}/uwwaraw{napuM;5;eka(wQ1;Sawq_lat;wQ;:BvAxiH)}/uwwaraw{napuM;6;eka(wQ1;Sawq_lat;wQ;:BvAxiH)}	uwwaraw{puM;6;eka(wQ1;Sawq_lat;wQ;:BvAxiH)}	RaRTIsambanXaH,9	uwwara_xewA_huA	-	-	-	-	-
8	naBas-lafGana-lola-pakRAH	6	naBolafGanalolapakRAH	naBas-laG3{lyut;laGiz;:curAxiH}/laG1{lyut;laGiz;:BvAxiH}/laG2{lyut;laGiz;:BvAxiH-lola-pakRa;puM;8;bahu}/pakRa{puM;1;bahu}/pakRA{swrI;8;bahu}/pakRA{swrI;1;bahu}/pakRA{swrI;2;bahu}	naBas-pakRa{puM;1;bahu}	karwqsamAnAXikaraNam,10	AkASa-pakRa	-	-	-	-	-
9	haMsAH	-	-	haMsa{puM;1;bahu}/haMsa{puM;8;bahu}	haMsa{puM;1;bahu}	karwA,10	-	-	-	-	-	-
10	a-yawna-bAla-vyajanI-baBUvuH	5	ayawnabAlavyajanIbaBUvurhaMsA	a-yawna-bal1{GaF;balaz;:BvAxiH}/bal2{GaF;balaz;:curAxiH-vyajanI-BU1;karwari;lit;pra;bahu;parasmEpaxI;BU;:BvAxiH}	bal2{GaF;balaz;:curAxiH-vyajanI-BU1;karwari;lit;pra;bahu;parasmEpaxI;BU;:BvAxiH}	aBihiwa_karwA,9	-	-	-	-	-	-
