@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	waw-anvaye	1	waxanvaye	wax-anvaya{puM;7;eka}	wax-anvaya{puM;7;eka}	aXikaraNam,3	vaha-anvaya_meM	-	-	karwari	-	xilIpaH- nAmapaxam
2	SuxXi-mawi	2	SuxXimawi	SuxXi-mawi{napuM;2;eka}/mawi{napuM;1;eka}	SuxXi {mawup waxXiwa puM;7;eka}	viSeRaNam,1	SuxXi-mawi	-	-	-	-	-
3	prasUwaH	3	prasUwaH	pra_RU3{kwa;RU;:wuxAxiHpra_sUwa;puM;1;eka}/pra_RU1{kwa;RUf;:axAxiHpra_sUwa;puM;1;eka}	pra_RU1{kwa;RUf;:axAxiHpra_sUwa;puM;1;eka}	karwqsamAnAXikaraNam,11	pra_RU1yA_hue	-	-	-	-	-
4	SuxXi-maw-waraH	4	SuxXimawwaraH	SuxXi-asmax-waraH{napuM;2;eka}/waraH{napuM;1;eka}/wara{puM;1;eka}	SuxXimaw{warap waxXiwa puM;7;eka}	viSeRaNam,6	SuxXi-mEM-waraH	-	-	-	-	-
5	iva	-	-	iva{avya}	iva{avya}	upamAnaxyowakaH,3	jEse	-	-	-	-	-
6	xilIpaH	5	xilIpa	xilIpa{puM;1;eka}	xilIpa{puM;1;eka}	karwA,11	xilIpa_ne	-	-	-	-	-
7	iwi	6	iwi	iwi{avya}	iwi{avya}	sambanXaH,6	iwi-rAjA-canxramA	-	-	-	-	-
8	rAjA-inxuH	-	-	rAjA-inxu{puM;1;eka}	rAjA-inxu{puM;1;eka}	aBexaH,6	-	-	-	-	-	-
9	inxuH	7	rAjenxurinxuH	inxu{puM;1;eka}	inxu{puM;1;eka}	upamAnam,5	canxramA	-	-	-	-	-
10	kRIra-niXO	8	kRIraniXAviva	kRIra-niXi{puM;7;eka}	kRIra-niXi{puM;7;eka}	aXikaraNam,3	jala-niXi_meM	-	-	-	-	-
11	(aBavaw)	-	(aBavaw)	BU1{karwari;laf;pra;eka;parasmEpaxI;BU;:BvAxiH}	BU1{karwari;laf;pra;eka;parasmEpaxI;BU;:BvAxiH}	aBihiwa_karwA,6	X_BU1_pp_skyA	-	-	-	-	-
