@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	suKa-SravAH	1	suKaSravA	suKa-Srava{puM;8;bahu}/Srava{puM;1;bahu}/SravA{swrI;8;bahu}/SravA{swrI;1;bahu}/SravA{swrI;2;bahu}/Sravas{puM;1;eka}	suKa-SravA{swrI;1;bahu}	viSeRaNam,2	suKa-SravA	-	-	-	-	-
2	mafgala-wUrya-nisvanAH	2	mafgalawUryanisvanAH 	mafgala-wUr1{Nyaw;wUrIz;:xivAxiH-nisvanA;swrI;8;bahu}/nisvanA{swrI;1;bahu}/nisvanA{swrI;2;bahu}	mafgala-nisvanA{swrI;1;bahu}	karwA,8	mafgala-nisvanAoM_ne	-	-	-	-	-
3	vAra-yoRiwAm	5	vArayoRiwAm	vAra-yoRiw{swrI;6;bahu}	vAra-yoRiw{swrI;6;bahu}	RaRTIsambanXaH,4	AvaraNa-swriyoM_ke	-	-	-	-	-
4	pramoxa-nqwyEH	3	pramoxanqwyEH	mux1{GaF;muxaz;:BvAxiH-nqwya;napuM;3;bahu}/nqwya{puM;3;bahu(nqw1;yaw;nqwIz;:xivAxiH)}/nqwya{napuM;3;bahu(nqw1;yaw;nqwIz;:xivAxiH)}/nqwya{puM;3;bahu(nqw1;Nyaw;nqwIz;:xivAxiH)}/nqwya{napuM;3;bahu(nqw1;Nyaw;nqwIz;:xivAxiH)}	nqwya-nqwya{napuM;3;bahu(nqwya-nqw1;Nyaw;nqwIz;:xivAxiH)}	sahArWaH,2	nqwya-nqwya_se	-	-	-	-	-
5	saha	4	saha	saha{avya}	saha{avya}	sahArWa_xyowakaH,4	sAWa	-	-	-	-	-
6	kevalam	7	kevalam	kevala{puM;2;eka}/kevala{napuM;1;eka}/kevala{napuM;2;eka}	kevala{napuM;2;eka}	kriyAviSeRaNam,8	kevala	-	-	-	-	-
7	na	6	na	na{avya}	na{avya}	prawiReXaH,8	nahIM	-	-	-	-	-
8	vyajqmBanwa	11	vyajqmBanwa	vi_jqB1{karwari;laf;pra;bahu;AwmanepaxI;jqBiz;:BvAxiH}	vi_jqB1{karwari;laf;pra;bahu;AwmanepaxI;jqBiz;:BvAxiH}	aBihiwa_karwA,2	vi_jqB1_ap_skyA	-	-	-	-	-
9	xivOkasAm	12	xivOkasAmapi	xivOkas{puM;6;bahu}	xivOkas{puM;6;bahu}	RaRTIsambanXaH,10	AkASa-oka-sa-Ama	-	-	-	-	-
10	paWi	10	paWi	paWin{puM;7;eka}	paWin{puM;7;eka}	aXikaraNam,11	rAswe_meM	-	-	-	-	-
11	api	-	-	api{avya}	api{avya}	sambanXaH,8	BI	-	-	-	-	-
12	mAgaXI-paweH	9	mAgaXIpaweH	pawi{swrI;5;eka}/pawi{swrI;6;eka}/paw{karwari;viXilif;ma;eka;parasmEpaxI;pawLz;BvAxiH}	pawi{swrI;6;eka}	RaRTIsambanXaH,13	-	-	-	-	-	-
13	saxmani	8	saxmani	saxman{puM;7;eka}/saxman{napuM;7;eka}	saxman{napuM;7;eka}	aXikaraNam,8	-	-	-	-	-	-
