@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	papO	-	papO	pA1{karwari;lit;pra;eka;parasmEpaxI;pA;:BvAxiH}/pA1{karwari;lit;u;eka;parasmEpaxI;pA;:BvAxiH}/pA2{karwari;lit;pra;eka;parasmEpaxI;pA;:axAxiH}/pA2{karwari;lit;u;eka;parasmEpaxI;pA;:axAxiH}/pE1{karwari;lit;pra;eka;parasmEpaxI;pE;:BvAxiH}/pE1{karwari;lit;u;eka;parasmEpaxI;pE;:BvAxiH}/papi{puM;7;eka}	pA1{karwari;lit;pra;eka;parasmEpaxI;pA;:BvAxiH}	aBihiwa_karwA,9;sakarmakaH	piyA	@drank	-	pA pA pAne, lit., pra.pu., e.va. . lati. pibawi .	-	-
2	vasiRTena	-	vasiRTena	vasiRTa{puM;3;eka}	vasiRTa{puM;3;eka}	karwA,3	vasiRTa_se	@by @Vasishta	-	-	-	-
3	kqwa-aBi-anujFaH	-	kqwAByanujFaH	kqwAByanujFa{puM,1,eka}	kqwAByanujFa{puM,1,eka}	viSeRaNam,9	AjFA lene ke paScAw	@having @been @permitted	kqwA aByanujFA yasya saH	-	-	-
4	SuBraM	-	SuBraM	SuBra{napuM;1;eka}/SuBra{napuM;2;eka}	SuBra{napuM;1;eka}	viSeRaNam,5	bexAga	@spotless	-	-	-	-
5	yaSaH	-	yaSo	yaSas{puM;8;eka}/yaSas{napuM;1;eka}/yaSas{napuM;2;eka}/yaSas{napuM;8;eka}	yaSas{napuM;1;eka}	upamAnam,10	kIrwi/KyAwi	@fame	-	yaSasi XavalawA varNyawe hAsakIrwyoH	-	yaSo mUrwam.yaSaH mUrwam . visargasanXiH ukArAxeSaH, guNasanXiH .
6	awiwqRNaH	-	mUrwamivAwiwqRNaH	awi-wqRNa{puM,1,eka}	awi-wqRNa{puM,1,eka}	viSeRaNam,9	mAno pyAsa mUrwimAn hokara	@being @one @who @is @extremely @thirsty @as @though @it @was @embodied	-	-	-	ivAwiwqRNaH.iva awiwqRNaH . savarNaxIrGasanXiH .
7	mUrwam	-	-	mUrwa{napuM;1;eka}/mUrwa{napuM;2;eka}	mUrwa{napuM;1;eka}	viSeRaNam,4	-	-	-	-	-	-
8	iva	-	-	iva{avya}	iva{avya}	upamAnaxyowakaH,5	-	-	-	-	-	-
9	saH	-	sa	wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	karwA,1	vaha	@He (@Dilipa)	-	-	saH nanxinIswanyam . visargasanXiH lopaH .	-
10	nanxinI-swanyam	-	nanxinIswanyamaninxiwAwmA 	nanxinI-swanya{puM;2;eka{kqxanwa}({kqw_XAwu;swana1};yaw;swana;curAxiH)}/swanya{napuM;1;eka{kqxanwa}({kqw_XAwu;swana1};yaw;swana;curAxiH)}/swanya{napuM;2;eka{kqxanwa}({kqw_XAwu;swana1};yaw;swana;curAxiH)}	nanxinI-swanya{puM;2;eka{kqxanwa}({kqw_XAwu;swana1};yaw;swana;curAxiH)}	karma,1	nanxinI kA xUXa	@the @milk @of @Nandini	swane BavaM swanyam .nanxinyAH swanyam	-	-	-
11	aninxiwa-AwmA	-	-	aninxiwa-Awman{1;eka}/Awman{sarvanAma;puM;1;eka}	aninxiwa-Awman{1;eka}	viSeRaNam,9	jisa para koI kalafka na ho EsA vyakwi	@one @of @unblemished @character	na ninxiwaH|naF wawpuruRaH samAsaH.aninxiwaH AwmA (svaBAvaH) yasya saH	-	-	-
12	sax-vawsalaH	-	saxvawsalaH	sax-vawsala{puM;1;eka}	sax-vawsala{puM;1;eka}	viSeRaNam,9	ko kalyANa kArI vyakwi hE	@one @who @is @kind	sawsu vawsalaH	vawsAMsAByAM kAmabale 5/2/98 iwi sUwreNa lac prawyayaH.	-	-
14	vawsa-huwa-avaSeRam	-	vawsahuwAvaSeRam	vawsa-huwa-avaSeRa{puM;2;eka}/avaSeRa{napuM;2;eka}/avaSeRa{napuM;1;eka}	vawsa-huwa-avaSeRa{puM;2;eka}	viSeRaNam,10	bacAne ke paScAw	@that @which @was @remaining @after	vawsahuwayoH avaSeRaM vawsahuwAvaSeRaM, waw .	-	-	-
