@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	aWa	1	aWeware	aWa{avya}	aWa{avya}	sambanXaH,10	Ora	-	-	-	-	-
2	iware	-	-	iwara{napuM;1;xvi}/iwara{napuM;2;xvi}/iwara{sarvanAma;puM;1;bahu}/iwara{sarvanAma;napuM;1;xvi}/iwara{sarvanAma;napuM;2;xvi}/iwarA{swrI;1;xvi}/iwarA{swrI;2;xvi}/iwarA{sarvanAma;swrI;1;xvi}/iwarA{sarvanAma;swrI;2;xvi}/iwara{napuM;8;xvi}/iwara{puM;7;eka}/iwara{napuM;7;eka}	iwara{napuM;2;xvi}	viSeRaNam,3	iwara	-	-	-	-	-
3	sapwa-raGu-pravIrAH	2	sapwaraGupravIrA	sapwa-raGu-pravIra{puM;1;bahu}	sapwa-raGu-pravIra{puM;1;bahu}	karwA,10	raGukula meM SreRTa SUra vIra	-	-	-	-	-
4	puro-janmawayA	4	purojanmawayA	puro-janma{wal;swrI;3;eka}/janman{wal;swrI;3;eka}	puro-janman{wal;swrI;3;eka}	sup_samucciwaH,5	puro-janman_se	-	-	-	-	-
5	guNEH	5	guNESca	guNa{puM;3;bahu}	guNa{puM;3;bahu}	hewuH,7	guNoM_se	-	-	-	-	-
6	ca	-	-	ca{avya}	ca{avya}	sup_samuccayaxyowakaH,5	Ora	-	-	-	-	-
7	jyeRTaM	3	jyeRTaM	jyeRTa{puM;2;eka}/jyeRTa{napuM;1;eka}/jyeRTa{napuM;2;eka}	jyeRTa{puM;2;eka}	viSeRaNam,8	jyeRTa	-	-	-	-	-
8	kuSaM	7	kuSaM	kuSa{puM;2;eka}	kuSa{puM;2;eka}	karma,10	kuSa_ko	-	-	-	-	-
9	rawnaviSeRa-BAjaM	8	rawnaviSeRaBAjaM	rawnaviSeRa-BA-ja{puM;2;eka}/rawnaviSeRa-BAja{puM;2;eka(Baj1;GaF;Bajaz;:BvAxiH)}/rawnaviSeRa-BAja{puM;2;eka(BAja1;GaF;BAja;:curAxiH)}/rawnaviSeRa-BAja{puM;2;eka(Baj2;GaF;Bajaz;:curAxiH)}/BAja{puM;2;eka}/BAja{napuM;1;eka}/BAja{napuM;2;eka}	rawnaviSeRa-BAja{puM;2;eka}	karmasamAnAXikaraNam,10	rawnaviSeRa-BAja	-	-	-	-	-
10	cakruH	6	cakruH	kq1{karwari;lit;pra;bahu;parasmEpaxI;kqF;:BvAxiH}/kq2{karwari;lit;pra;bahu;parasmEpaxI;kqF;:svAxiH}/kq3{karwari;lit;pra;bahu;parasmEpaxI;dukqF;:wanAxiH}	kq3{karwari;lit;pra;bahu;parasmEpaxI;dukqF;:wanAxiH}	aBihiwa_karwA,3	kiye	-	-	-	-	-
