@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	prIwamanasaH	2	prIwamanasaH	prI1{kwa;prIf;:xivAxiH}/prI2{kwa;prIF;:kryAxiH-manas;napuM;5;eka}/manas{napuM;6;eka}/manas{puM;8;bahu}/manas{puM;1;bahu}/manas{puM;2;bahu}/manas{puM;5;eka}/manas{puM;6;eka}/manasa{puM;1;eka}	prIwamanas{puM;1;bahu}	viSeRaNam,2	prasanna_mana_hokara	@having_@become_@happy-@minded	karmaXAraya 	-	-	-
2	we	1	we	wax{sarvanAma;puM;1;bahu}/wax{sarvanAma;napuM;1;xvi}/wax{sarvanAma;napuM;2;xvi}/wax{sarvanAma;swrI;1;xvi}/wax{sarvanAma;swrI;2;xvi}/yuRmax{sarvanAma;4;eka}/yuRmax{sarvanAma;6;eka}	wax{sarvanAma;puM;1;bahu}	karwA,6	unhoMne	@they	-	-	snAwakAH	-
3	wasmE	3	wasmE	wax{sarvanAma;puM;4;eka}/wax{sarvanAma;napuM;4;eka}	wax{sarvanAma;napuM;4;eka}	prayojanam,6	usake_liye	@for_@him	-	-	rAjA_awiWaye	-
4	yAM	4	yAM	yax{sarvanAma;swrI;2;eka}	yax{sarvanAma;swrI;2;eka}	viSeRaNam,5	jisa	@which	-	-	niwya_sambanXaH,7	-
5	ASiRaM	5	ASiRaM	ASis{swrI;2;eka}/aS2{karwari;luf;u;eka;parasmEpaxI;aSaz;:kryAxiH}/Af_SAs1{karwari;luf;u;eka;parasmEpaxI;SAsuz;:axAxiH}/Af_SAs1{karwari;luf;u;eka;AwmanepaxI;SAsuz;:axAxiH}	ASis{swrI;2;eka}	karma,6	ASIrvAxa_ko	@blessing	-	-	-	-
6	uxErayan	6	uxErayan	uw_Ir2{karwari;laf;pra;bahu;parasmEpaxI;Iraz;:curAxiH}	uw_Ir2{karwari;laf;pra;bahu;parasmEpaxI;Iraz;:curAxiH}	-	sunAyA	@pronounced	-	karwari	-	-
7	sA	7	sA	wax{sarvanAma;swrI;1;eka}	wax{sarvanAma;swrI;1;eka}	karwA,13	vaha	@that	-	-	ASIH	-
8	wasya	8	wasya	wax{sarvanAma;napuM;6;eka}/wax{sarvanAma;puM;6;eka}	wax{sarvanAma;puM;6;eka}	RaRTIsambanXaH,10	usake	@his	-	-	rAjA_awiWeH	-
9	karmanirvqwwEH	9	karmanirvqwwEH	karma-nirvqwwa{puM;3;bahu}/nirvqwwa{napuM;3;bahu}	karma-nirvqwwa{napuM;3;bahu}	viSeRaNam,10	karmoM_xvArA_uwpanna_hue	@born-@of_@actions	paFcamI_wawpuruRaH	-	-	-
10	PalEH	12	PalEH	Pala{napuM;3;bahu}	Pala{napuM;3;bahu}	karaNam,13	PaloM_ke_kAraNa	@due_@to_@the_@fruits	-	-	-	-
11	xUraM	10	xUraM	xUra{puM;2;eka}/xUra{napuM;1;eka}/xUra{napuM;2;eka}	xUra{napuM;2;eka}	kriyAviSeRaNam,13	xUra	@far	-	-	-	-
12	paScAw	11	paScAwkqwA	paScAw{avya}	paScAw{avya}	sambanXaH,13	piCadZI	@left_@behind	-	-	-	-
13	kqwA	-	-	kq3{kwa;swrI;1;eka;dukqF;BvAxiH}	kq3{kwa;swrI;1;eka;dukqF;BvAxiH}	-	ho gaI	@was	-	karwari	-	-
