@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	rAmaH	1	rAmaswvAsannaxeSawvAxBarawAgamanaM	rAma{puM;1;eka}	rAma{puM;1;eka}	karwA,9	rAma	-	-	-	-	-
2	wu	-	-	wu{avya}	wu{avya}	sambanXaH,1	wo	-	-	-	-	-
3	Asanna-xeSawvAw	-	-	xeSawvAw}	xeSawvAw}	apAxAnam,9	-	-	-	-	-	-
4	Barawa-Agamanam	-	-	Agamana{napuM;2;eka}/Agamana{napuM;1;eka}	Barawa-Agamana{napuM;2;eka}	karma,6	Agamana_ko	-	-	-	-	-
5	punaH	2	punaH	punaH{avya}/punaH{avya}	punaH{avya}	sambanXaH,4	-	-	-	-	-	-
6	ASafkya	3	ASafkyowsukasArafgAM	}/afkya{puM{1;eka(anc1;yaw;ancuz;:BvAxiH)}	"ASafkya{kqw_XAwu Sak1} avya lyap{XAwuH Sakiz} BvAxiH{kqxanwa}
"	pUrvakAlaH,9	-	-	-	-	-	-
7	uwsuka-sArafgAm	-	-	uwsuka{puM;8;eka}/uwsuka{napuM;8;eka}	uwsuka-sArafga{puM;2;eka}	viSeRaNam,8	uwsuka	-	-	-	-	-
8	ciwrakUta-sWalIm	4	ciwrakUtasWalIm	sWala{swrI;2;eka}	ciwrakUta-sWala{swrI;2;eka}	karma,9	sWala_ko	-	-	-	-	-
9	jahO	5	jahO	jaha{puM;8;xvi}	hA{karwari lit pra eka parasmEpaxI{XAwuH ozhAk} juhowyAxiH }	aBihiwa_karwA,1;sakarmaka	jaha	-	-	-	-	-
