@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	saH	-	saH	wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	karwA,7	vaha	-	-	-	-	-
2	varAha-yUWAni	-	varAha-yUWAni	varAha-yUWa{napuM;8;bahu}/yUWa{napuM;1;bahu}/yUWa{napuM;2;bahu}	varAha-yUWa{napuM;2;bahu}	karma,3	suara-samUha	-	-	-	-	-
3	palvala-uwwIrNa	-	palvala-uwwIrNa	uwwIrNa{puM;8;eka(palvala-wQ1;kwa;wQ;:BvAxiH)}/uwwIrNa{napuM;8;eka(wQ1;kwa;wQ;:BvAxiH)}	palvala-uwwIrNa{puM;8;eka(palvala-wQ1;kwa;wQ;:BvAxiH)}	viSeRaNam,4	CotAwAlAba-uwwIrNa	-	-	-	-	-
4	AvAsa	-	AvAsa	AvAsa{puM;8;eka}	AvAsa{puM;8;eka}	samboXyaH,7	AvAsa	-	-	-	-	-
5	vqkRa-unmuKa	-	vqkRa-unmuKa	vqkRa-unmuKa{puM;8;eka}/unmuKa{napuM;8;eka}	vqkRa-unmuKa{puM;8;eka}	viSeRaNam,4	vqkRa-unmuKa	-	-	-	-	-
6	barhiNAni	-	barhiNAni	barhiNa{napuM;1;bahu}/barhiNa{napuM;2;bahu}/barhiNa{napuM;8;bahu}	barhiNa{napuM;2;bahu}	karma,7	barhiNoM_ko	-	-	-	-	-
7	yayO	-	yayO	yA1{karwari;lit;pra;eka;parasmEpaxI;yA;:axAxiH}/yA1{karwari;lit;u;eka;parasmEpaxI;yA;:axAxiH}/yayi{puM;7;eka}	yA1{karwari;lit;pra;eka;parasmEpaxI;yA;:axAxiH}	aBihiwa_karwA,1;sakarmaka	gayA	-	-	-	-	-
8	mqga-aXyAsiwa-SAxvalAni	-	mqga-aXyAsiwa-SAxvalAni	mqga-aXyAsiwa{puM(mqga-as3;kwa;asuz;:xivAxiH)}/mqga-aXyAsiwa{napuM-SAxvala;napuM;8;bahu(as3;kwa;asuz;:xivAxiH)}/SAxvala{napuM;1;bahu}/SAxvala{napuM;2;bahu}	mqga-SAxvala{napuM;1;bahu}	karma,10	hirana-harA_Bare	-	-	-	-	-
9	SyAma	-	SyAma	So1{karwari;lot;u;bahu;parasmEpaxI;So;:xivAxiH}/SyAma{puM;8;eka}	SyAma{puM;8;eka}	viSeRaNam,4	SyAma	-	-	-	-	-
10	ayamAnAni	-	ayamAnAni	ayamAna{napuM;1;bahu(ay1;SAnac_lat;karwari;ayaz;:BvAxiH)}/ayamAna{napuM;2;bahu(ay1;SAnac_lat;karwari;ayaz;:BvAxiH)}	ayamAna{napuM;2;bahu(ay1;SAnac_lat;karwari;ayaz;:BvAxiH)}	viSeRaNam,11	-	-	-	-	-	-
11	vanAni	-	vanAni	vana{napuM;1;bahu}/vana{napuM;2;bahu}/van1{karwari;lot;u;eka;parasmEpaxI;vanaz;:BvAxiH}/van2{karwari;lot;u;eka;parasmEpaxI;vanuz;:BvAxiH}/vana{napuM;8;bahu}	vana{napuM;2;bahu}	karma,12	vana	-	-	-	-	-
12	paSyan	-	paSyan	paSyaw{puM;1;eka(xqS1;Sawq_lat;xqSizr;:BvAxiH)}	paSyaw{puM;1;eka(xqS1;Sawq_lat;xqSizr;:BvAxiH)}	varwamAnasamAnakAlaH,7	xeKawA_huA	-	-	-	-	-
