@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	gAM	8	gAM	go{puM;2;eka}/go{swrI;2;eka}	go{puM;2;eka}	karma,2	gAya_ko	-	-	-	-	-
2	gawasya	9	gawasya	gawa{puM;6;eka(gam1;kwa;gamLz;:BvAxiH)}/gawa{napuM;6;eka(gam1;kwa;gamLz;:BvAxiH)}	gawa{puM;6;eka(gam1;kwa;gamLz;:BvAxiH)}	viSeRaNam,3	-	-	-	-	-	-
3	wava	10	wava	yuRmax{sarvanAma;6;eka}	yuRmax{sarvanAma;6;eka}	RaRTIsambanXaH,5	wumhArA	-	-	-	-	-
4	vERNavaM	12	vERNavaM	vERNava{puM;2;eka}/vERNava{napuM;1;eka}/vERNava{napuM;2;eka}	vERNava{napuM;1;eka}	viSeRaNam,5	vERNava_ko	-	-	-	-	-
5	XAma	11	XAma	XAman{napuM;1;eka}/XAman{napuM;2;eka}/XAman{napuM;8;eka}	XAman{napuM;1;eka}	karma,8	XAman	-	-	-	-	-
6	xixqkRuNA	16	xixqkRuNA	xixqkRu{puM;3;eka}	xixqkRu{puM;3;eka}	viSeRaNam,7	icCuka_se	-	-	-	-	-
7	mayA	15	mayA	asmax{sarvanAma;3;eka}	asmax{sarvanAma;3;eka}	karwA,8	muJase	-	-	-	-	-
8	kopiwaH	13	kopiwo	kopin{avya;wasil}	kopiwq{puM;1;eka(wqc;kupaz;xivAxiH)}	karwA,10	-	-	-	-	-	-
9	hi	14	hyasi	hi{avya}	hi{avya}	sambanXaH,10	hi	-	-	-	-	-
10	asi	-	-	as2{karwari;lat;ma;eka;parasmEpaxI;asaz;:axAxiH}	as2{karwari;lat;ma;eka;parasmEpaxI;asaz;:axAxiH}	aBihiwa_karwA,8	ho	-	-	-	-	-
