@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	xvi-raxa-praXAnEH	-	xvi-raxa-praXAnEH	praXAna{puM;3;bahu}/praXAna{napuM;3;bahu}	praXAna{puM;3;bahu}	karaNam,15	praXAnoM_se	-	-	-	-	-
2	sarveH	-	sarveH	sarva{sarvanAma;puM;1;bahu}/sarva{sarvanAma;puM;7;eka}/sarva{sarvanAma;napuM;2;xvi}/sarva{sarvanAma;napuM;1;xvi}/sarva{sarvanAma;napuM;7;eka}	sarva{sarvanAma;napuM;2;xvi}	viSeRaNam,4	saba_para	-	-	-	-	-
4	bala-afgEH	-	bala-afgEH	bala-afga{napuM;3;bahu}/afga{puM;3;bahu}	bala-afga{puM;3;bahu}	samucciwaH,1	bala-afga	-	-	-	-	-
5	kafkata-BexiBiH	-	kafkata-BexiBiH	kafkata-Bexi{napuM;3;eka}	kafkata-Bexi{napuM;3;eka}	samucciwaH,1	kavaca	-	-	-	-	-
6	sarva-AyuXEH	-	sarva-AyuXEH	AyuXa{napuM;3;bahu}	AyuXa{napuM;3;bahu}	samucciwaH,1	haWiyAroM_se	-	-	-	-	-
7	ca	-	ca	ca{avyaya}	ca{avyaya}	samuccayaxyowakaH,6	-	-	-	-	-	-
8	prayawnena	-	prayawnena	prayawna{puM;3;eka}	prayawna{puM;3;eka}	samucciwaH,1	prayawna_se	-	-	-	-	-
9	ca	-	ca	ca{avyaya}	ca{avyaya}	samuccayaxyowakaH,8	-	-	-	-	-	-
10	sarve	-	sarve	sarva{sarvanAma;puM;1;bahu}/sarva{sarvanAma;puM;7;eka}/sarva{sarvanAma;napuM;2;xvi}/sarva{sarvanAma;napuM;1;xvi}/sarva{sarvanAma;napuM;7;eka}	sarva{sarvanAma;puM;7;eka}	viSeRaNam,12	saba_	-	-	-	-	-
11	eva	-	eva	eva{avya}	eva{avya}	sambanXaH,10	hI	-	-	-	-	-
12	BUmi-pAlAH	-	BUmi-pAlAH	BUmi-pAla{puM;1;bahu}	BUmi-pAla{puM;1;bahu}	karwA,15	BUmi-pAloM_ne	-	-	-	-	-
13	yuXi	-	yuXi	yuX{puM;7;eka}/yuX{swrI;7;eka}	yuX{puM;7;eka}	aXikaraNam,15	saMgrAma_meM	-	-	-	-	-
14	wasmin	-	-	waw{puM;7;eka}	waw{puM;7;eka}	aXikaraNam,15	-	-	-	-	-	-
15	prajahruH	-	prajahruH	pra_hq1{karwari;lit;pra;bahu;parasmEpaxI;hqF;:BvAxiH}/pra_hq2{karwari;lit;pra;bahu;parasmEpaxI;hq;:juhowyAxiH}	pra_hq1{karwari;lit;pra;bahu;parasmEpaxI;hqF;:BvAxiH}	aBihiwa_karwA,12;sakarmaka	prahAra_kiyA	-	-	-	-	-
