@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	xuRtaH	6	xuRtaH	xuRta{puM;1;eka(xuR1;kwa;xuRaz;:xivAxiH)}	xuRta{puM;1;eka(xuR1;kwa;xuRaz;:xivAxiH)}	viSeRaNam,2	xuHKiwa_honA_yA_kiyA_huA	-	-	-	-	-
2	(naraH)	-	(-)	nq{puM;1;bahu}/nara{puM;1;eka}/nq{puM;8;bahu}	nara{puM;1;eka}	karwA,9	nara	-	-	-	-	-
3	priyaH	7	priyoZpyAsIxafgulIvoragakRawA	prI{napuM;6;eka}/prI{napuM;5;eka}/priya{puM;1;eka}	priya{puM;1;eka}	viSeRaNam,2	priya	-	-	-	-	-
4	api	-	-	api{avya}	api{avya}	sambanXaH,3	BI	-	-	-	-	-
5	uraga-kRawA	-	-	uraga-kRa{wal;swrI;1;eka}/kRawA{swrI;1;eka}	uraga-kRawA{swrI;1;eka}	viSeRaNam,6	uraga-kRawA	-	-	-	-	-
6	afgulI	-	-	afgulI{swrI;1;eka}/afguli{swrI;1;xvi}/afguli{swrI;2;xvi}/afguli{swrI;8;xvi}	afgulI{swrI;1;eka}	upamAnam,7	afgulI	-	-	-	-	-
7	iva	-	-	iva{avya}	iva{avya}	upamAnaxyowakaH,8	jEse	-	-	-	-	-
8	wyAjyaH	5	wyAjyo	wyAjya{puM;1;eka(wyaj1;Nyaw;wyajaz;:BvAxiH)}	wyAjya{puM;1;eka(wyaj1;Nyaw;wyajaz;:BvAxiH)}	karwqsamAnAXikaraNam,9	-	-	-	-	-	-
9	AsIw	-	-	as2{karwari;laf;pra;eka;parasmEpaxI;asaz;:axAxiH}	as2{karwari;laf;pra;eka;parasmEpaxI;asaz;:axAxiH}	aBihiwa_karwA,2	WA	-	-	-	-	-
