@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	yaWA-kAlaM	6	yaWAkAlaM	yaWA-kAla{puM;2;eka}/kAla{napuM;1;eka}/kAla{napuM;2;eka}	yaWA-kAla{napuM;2;eka}	kriyAviSeRaNam,2	yaWA-samaya	-	-	-	-	-
2	svapan	7	svapannapi	svapaw{puM;1;eka(Rvap1;Sawq_lat;FiRvapaz;:axAxiH)}	svapaw{puM;1;eka(Rvap1;Sawq_lat;FiRvapaz;:axAxiH)}	varwamAnasamAnakAlaH,11	sowA_huA	-	-	-	-	-
3	api	-	-	api{avya}	api{avya}	sambanXaH,2	BI	-	-	-	-	-
4	saH	5	soZpasarpErjajAgAra	wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	karwA,11	vaha	-	-	-	King Axiwi	-
5	sveRu	2	sveRu	sva{puM;7;bahu}/sva{napuM;7;bahu}/sva{sarvanAma;puM;7;bahu}/sva{sarvanAma;napuM;7;bahu}	sva{puM;7;bahu}	samucciwaH,7	apanoM_meM	-	-	-	-	-
6	pareRu	1	pareRu	para{puM;7;bahu}/para{napuM;7;bahu}/para{sarvanAma;puM;7;bahu}/para{sarvanAma;napuM;7;bahu}	para{puM;7;bahu}	samucciwaH,7	paroM_meM	-	-	-	-	-
7	ca	3	ca	ca{avya}	ca{avya}	samuccayaxyowakaH,8	BI	-	-	-	-	-
8	kRipwEH	4	kRipwEravijFAwaparasparEH	kRipwa{puM;3;bahu(kRip1;kwa;kRipaz;:xivAxiH)}/kRipwa{napuM;3;bahu(kRip1;kwa;kRipaz;:xivAxiH)}/kRipwa{puM;3;bahu(kRip2;kwa;kRipaz;:wuxAxiH)}/kRipwa{napuM;3;bahu(kRip2;kwa;kRipaz;:wuxAxiH)}	kRipwa{puM;3;bahu(kRip2;kwa;kRipaz;:wuxAxiH)}	viSeRaNam,10	PeMkA_hue	-	-	-	-	-
9	avijFAwa-parasparEH	-	-	avijFAwa-paraspara{puM;3;bahu}/paraspara{napuM;3;bahu}	avijFAwa-paraspara{puM;3;bahu}	viSeRaNam,10	avijFAwa-paraspara	-	-	-	-	-
10	apasarpEH	-	-	apasarpa{puM;3;bahu}	apasarpa{puM;3;bahu}	hewuH,11	apasarpoM_se	-	-	-	-	-
11	jajAgAra	-	-	jAgq1{karwari;lit;u;eka;parasmEpaxI;jAgq;:axAxiH}/jAgq1{karwari;lit;pra;eka;parasmEpaxI;jAgq;:axAxiH}	jAgq1{karwari;lit;pra;eka;parasmEpaxI;jAgq;:axAxiH}	aBihiwa_karwA,4	jAgA	-	-	-	-	-
