@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	saH	1	sa	wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	karwA,8	usane	-	-	-	maharRiH varawanwuH	-
2	cirAya	3	cirAyAsKaliwopacArAM	cirAya{avya}/cira{napuM;4;eka}	cirAya{avya}	kriyAviSeRaNam,3	xIrGa_ko	-	-	-	-	-
3	asKaliwa-upacArAM	4	-	asKaliwa-upacArA{swrI;2;eka}	asKaliwa-upacArA{swrI;2;eka}	viSeRaNam,6	asKaliwa-upacArA	-	-	-	-	-
4	me	2	me	asmax{sarvanAma;6;eka}/asmax{sarvanAma;4;eka}	asmax{sarvanAma;6;eka}	RaRTIsambanXaH,6	merI	-	-	-	kOwsaH muniH	maharRiH varawanwoH SiRyaH
5	wAM	5	wAM	wax{sarvanAma;swrI;2;eka}/wA{swrI;2;eka}	wA{swrI;2;eka}	viSeRaNam,6	wA_ko	-	-	-	-	-
6	Bakwim	6	BakwimevAgaNayawpuraswAw	Bakwi{swrI;2;eka}	Bakwi{swrI;2;eka}	karma,8	Bakwi	-	-	-	-	-
7	eva	7	-	eva{avya}	eva{avya}	sambanXaH,6	hI	-	-	-	-	-
8	agaNayaw	8	-	gaNa1{karwari;laf;pra;eka;parasmEpaxI;gaNa;:curAxiH}/gaNa1{Nijanwa;karwari;laf;pra;eka;parasmEpaxI;gaNa;:curAxiH}	gaNa1{karwari;laf;pra;eka;parasmEpaxI;gaNa;:curAxiH}	aBihiwa_karwA,1;sakarmaka	ginA	-	-	-	-	-
9	puraswAw	9	-	praWama{puM;2;eka}/praWama{napuM;1;eka}/praWama{napuM;2;eka}/praWama{puM;2;eka}/praWama{napuM;1;eka}/praWama{napuM;2;eka}	praWama{napuM;2;eka}	kriyAviSeRaNam,8	praWama_ko	-	-	-	-	-
