@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	(he)	-	(he)	he{avya}	he{avya}	samboXanasUcakam,2	he	-	-	-	-	-
2	Bagavan	2	BagavanmawafgajEryaxbqhaxBirapi	Baga{mawup;puM;8;eka}	Baga{mawup;puM;8;eka}	samboXyaH,9	Baga	-	-	-	-	-
3	bqhaxBiH	-	-	bqhaw{napuM;3;bahu}/bqhaw{swrI;3;bahu}/bqhaw{puM;3;bahu}	bqhaw{puM;3;bahu}	viSeRaNam,4	bqhawoM_se	-	-	-	-	-
4	mawafgajEH	-	-	mawafgaja{puM;3;bahu}/mawafga-ja{puM;3;bahu}	mawafga-ja{puM;3;bahu}	karaNam,9	wAre	-	-	-	-	-
5	api	-	-	api{avya}	api{avya}	sambanXaH,4	BI	-	-	-	-	-
6	yaw	-	-	yaw{avya}/yax{sarvanAma;napuM;1;eka}/yax{sarvanAma;napuM;2;eka}	yax{sarvanAma;napuM;1;eka}	viSeRaNam,7	jo	-	-	-	-	-
7	karma	3	karma	karman{napuM;1;eka}/karman{napuM;2;eka}	karman{napuM;1;eka}	karwA,9	karma	-	-	-	-	-
8	xuRkaram	4	xuRkaram	xuRkara{puM;2;eka}/xuRkara{napuM;1;eka}/xuRkara{napuM;2;eka}	xuRkara{napuM;1;eka}	karwqsamAnAXikaraNam,9	-	-	-	-	-	-
9	(aswi)	-	(-)	as2{karwari;lat;pra;eka;parasmEpaxI;asaz;:axAxiH}	as2{karwari;lat;pra;eka;parasmEpaxI;asaz;:axAxiH}	aBihiwa_karwA,7	hE	-	-	-	-	-
