@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	param-ISvareNa	5	parameSvareNa 	parama-ISvara{puM;3;eka}/ISvara{napuM;3;eka}	param-ISvara{napuM;3;eka}	hewuH,2	parama-ISvara_se	-	-	-	-	-
2	praxiRta-kAlA	4	praxiRtakAlA	praxiRta-kAlA;{swra;;1;;eka}	praxiRta-kAlA;{swra;;1;;eka}	viSeRaNam,3	-	-	-	-	-	-
3	upasWiwA	6	upasWiwA	upasWiwA{swrI;1;eka(RWA1;kwa;RWA;:BvAxiH)}	upasWiwA{swrI;1;eka(RWA1;kwa;RWA;:BvAxiH)}	viSeRaNam,4	upasWiwa	-	-	-	-	-
4	eRA	-	-	ewax{swrI;1;eka}	ewax{swrI;1;eka}	karwA,13	isa	-	-	-	-	-
5	SoNiwa-pAraNA	7	SoNiwapAraNA	SoNiwa-pAraNA{swrI;;1;;eka}	SoNiwa-pAraNA{swrI;;1;;eka}	viSeRaNam,4	-	-	-	-	-	-
6	suXA	10	suXeva 	suXA{swrI;1;eka}	suXA{swrI;1;eka}	upamAnam,4	suXA	-	-	-	-	-
7	iva	-	-	iva{avya}	iva{avya}	upamAnaxyowakaH,5	jEse	-	-	-	-	-
8	kRuXiwasya	2	kRuXiwasya	kRuXiwa{puM;6;eka}/kRuXiwa{napuM;6;eka}	kRuXiwa{napuM;6;eka}	RaRTIsambanXaH,10	kRuXiwa_kA	-	-	-	-	-
9	wasya	-	-	wax{puM;6;eka}/wax{napuM;6;eka}	wax{napuM;6;eka}	RaRTIsambanXaH,8	-	-	-	-	-	-
10	me	8	me	asmax{sarvanAma;6;eka}/asmax{sarvanAma;4;eka}	asmax{sarvanAma;6;eka}	RaRTIsambanXaH,11	merI	-	-	-	-	-
11	wqpwyE	3	wqpwyE	wqpwi{swrI;4;eka}	wqpwi{swrI;4;eka}	sanxarBa_binxuH,12	saMwoRa_ko	-	-	-	-	-
12	alam	1	wasyAlameRA 	alam{avya}	alam{avya}	karwqsamAnAXikaraNam,13	basa	-	-	-	-	-
13	(aswi)	-	(-)	as2{karwari;lat;pra;eka;parasmEpaxI;asaz;:axAxiH}	as2{karwari;lat;pra;eka;parasmEpaxI;asaz;:axAxiH}	aBihiwa_karwA,4	-	-	-	-	-	-
14	suraxviRaH	9	suraxviRaScAnxramasI	suraxviRa{puM;;6;;eka}	suraxviRa{puM;;6;;eka}	RaRTIsambanXaH,15	-	-	-	-	-	-
15	cAnxramasI	-	-	cAnxramasI;{swrI;;1;;eka}	cAnxramasI;{swrI;;1;;eka}	viSeRaNam,6	-	-	-	-	-	-
