@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	yaH	-	-	yax{sarvanAma;puM;1;eka}	yax{sarvanAma;puM;1;eka}	karwA,7	jo	-	-	-	niwya_sambanXaH,8	-
2	wapasvi-veRa-kriyayA	1	wapasviveRakriyayApi	wapasvi-veRa-kriyA{swrI;3;eka}	wapasvi-veRa-kriyA{swrI;3;eka}	hewuH,5	wapasvi-veRa-kriyA_se	-	-	-	-	-
3	api	-	-	api{avya}	api{avya}	sambanXaH,2	BI	-	-	-	-	-
4	suwarAM	4	suwarAM	suwarAM{avya}	suwarAM{avya}	kriyAviSeRaNam,5	awyanwa	-	-	-	-	-
5	prekRaNIyaH	3	prekRaNIyaH	prekRaNIya{puM;1;eka(IkR1;anIyar;IkRaz;:BvAxiH)}	prekRaNIya{puM;1;eka(IkR1;anIyar;IkRaz;:BvAxiH)}	karwqsamAnAXikaraNam,7	pra_IkR1nA	-	-	-	-	-
6	wAvaw	2	wAvaxyaH	wAvaw{avya}/wAvaw{napuM;1;eka}/wAvaw{napuM;2;eka}/wAvaw{napuM;8;eka}	wAvaw{avya}	kriyAviSeRaNam,7	waba_waka	-	-	-	-	-
7	baBUva	5	baBUva	BU1{karwari;lit;u;eka;parasmEpaxI;BU;:BvAxiH}/BU1{karwari;lit;ma;bahu;parasmEpaxI;BU;:BvAxiH}/BU1{karwari;lit;pra;eka;parasmEpaxI;BU;:BvAxiH}	BU1{karwari;lit;pra;eka;parasmEpaxI;BU;:BvAxiH}	aBihiwa_karwA,1	huA	-	-	-	-	-
8	wasya	7	wasyoxiwAsIwpunarukwaxoRA	wax{sarvanAma;napuM;6;eka}/wax{sarvanAma;puM;6;eka}	wax{sarvanAma;puM;6;eka}	RaRTIsambanXaH,10	usakA	-	-	-	niwya_sambanXaH,1	-
9	uxiwA	-	-	uxiwA{swrI;1;eka(vax1;kwa;vaxaz;:BvAxiH)}/uxiwA{swrI;1;eka(i1;kwa;iN;:axAxiH)}	uxiwA{swrI;1;eka(i1;kwa;iN;:axAxiH)}	viSeRaNam,10	ugA_huA	-	-	-	-	-
10	rAja-inxra-nepaWya-viXAna-SoBA	6	rAjenxranepaWyaviXAnaSoBA	rAja-inxra-nepaWya-XA1{lyut;duXAF;:juhowyAxiH}/Xe1{lyut;Xet;:BvAxiH-SoBA;swrI;1;eka}	rAja-inxra-nepaWya-vi_XA1{lyut;duXAF;:juhowyAxiH}	karwA,12	-	-	-	-	-	-
11	punaH-ukwa-xoRA	-	-	punaH-vac1{kwa;vacaz;:axAxiH-xoRA;avya}/xos{puM;3;eka}/xoRA{swrI;1;eka}	punaH-xoRA{swrI;1;eka}	karwqsamAnAXikaraNam,12	punaH-rAwa	-	-	-	-	-
12	AsIw	-	-	as2{karwari;laf;pra;eka;parasmEpaxI;asaz;:axAxiH}	as2{karwari;laf;pra;eka;parasmEpaxI;asaz;:axAxiH}	aBihiwa_karwA,10	We	-	-	-	-	-
