@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	wO	1	wO	wax{sarvanAma;puM;1;xvi}/wax{sarvanAma;puM;2;xvi}	wax{sarvanAma;puM;1;xvi}	karwA,5	unhoMne	-	-	-	rAmalakRaNO	-
2	sIwA-anveRiNO	2	sIwAnveRiNO	sIwA-anveRin{puM;1;xvi}/anveRin{puM;2;xvi}/anveRin{puM;8;xvi}	sIwA-anveRin{puM;1;xvi}	viSeRaNam,1	sIwA-anveRI	-	-	-	-	-
3	gqXraM	3	gqXraM	gqXra{puM;2;eka}/gqXra{napuM;1;eka}/gqXra{napuM;2;eka}	gqXra{puM;2;eka}	karma,5	loBI	-	-	-	-	-
4	lUna-pakRam	4	lUnapakRam	lUna-pakRa{puM;2;eka}/pakRa{napuM;1;eka}/pakRa{napuM;2;eka}	lUna-pakRa{puM;2;eka}	viSeRaNam,3	lUna-pakRa	-	-	-	-	-
5	apaSyawAm	5	apaSyawAm	xqS1{karwari;laf;pra;xvi;parasmEpaxI;xqSizr;:BvAxiH}	xqS1{karwari;laf;pra;xvi;parasmEpaxI;xqSizr;:BvAxiH}	aBihiwa_karwA,1;sakarmaka	xeKA	-	-	-	-	-
6	prANEH	6	prANErxaSaraWaprIweranqNaM	prANa{puM;3;bahu}	prANa{puM;3;bahu}	karaNam,8	prANoM_se	-	-	-	-	-
7	xaSaraWa-prIweH	-	-	xaSaraWa-prIwi{swrI;5;eka}/prIwi{swrI;6;eka}/prIwi{puM;5;eka}/prIwi{puM;6;eka}	xaSaraWa-prIwi{swrI;6;eka}	RaRTIsambanXaH,8	xaSaraWa-prasannawA_se	-	-	-	-	-
8	a-nqNaM	-	-	anqNa{puM;2;eka}/anqNa{napuM;1;eka}/anqNa{napuM;2;eka}	anqNa{puM;2;eka}	viSeRaNam,3	anqNa_ko	-	-	-	-	-
9	kaNTavarwiBiH	7	kaNTavarwiBiH	kaNTavarwin{puM;3;bahu}/kaNTavarwin{napuM;3;bahu}	kaNTavarwin{puM;3;bahu}	viSeRaNam,6	gale_meM_hone_vAlA_oM_se	-	-	-	-	-
