@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	baBO	1	baBO	BA1{karwari;lit;pra;eka;parasmEpaxI;BA;:axAxiH}/BA1{karwari;lit;u;eka;parasmEpaxI;BA;:axAxiH}	BA1{karwari;lit;pra;eka;parasmEpaxI;BA;:axAxiH}	aBihiwa_karwA,5;sakarmaka	BA1_pp_skyA	-	-	-	-	-
2	wam	2	wamanugacCanwI	wax{sarvanAma;puM;2;eka}	wax{sarvanAma;puM;2;eka}	karma,3	usakA	-	-	-	-	-
3	anugacCanwI	-	-	anu_gam1{karwari;lat;pra;bahu;parasmEpaxI;gamLz;:BvAxiH}/anugacCaw{napuM;1;bahu(gam1;Sawq_lat;gamLz;:BvAxiH)}/anugacCaw{napuM;2;bahu(gam1;Sawq_lat;gamLz;:BvAxiH)}	anugacCaw{swrI;1;eku(gam1;Sawq_lat;gamLz;:BvAxiH)} 	varwamAnasamAnakAlaH,1	anusaraNa_karawe_hue	-	-	-	-	-
4	vixeha-aXipaweH	3	vixehAXipaweH	vixeha-aXipawi{puM;5;eka}/aXipawi{puM;6;eka}	vixeha-aXipawi{puM;6;eka}	RaRTIsambanXaH,5	vixeha_kA_jilA-aXipawi_se	-	-	-	-	-
5	suwA	4	suwA	suwA{swrI;1;eka}/suwA{swrI;1;eka(Ru3;kwa;RuF;:svAxiH)}/suwA{swrI;1;eka(Su1;kwa;Su;:BvAxiH)}/suwA{swrI;1;eka(Ru2;kwa;Ru;:axAxiH)}	suwA{swrI;1;eka(Ru2;kwa;Ru;:axAxiH)}	karwA,1	puwrI	-	-	-	-	-
6	prawiRixXA	5	prawiRixXApi	prawiRixXA{swrI;1;eka}	prawiRixXA{swrI;1;eka}	viSeRaNam,9	prawiRixXA_ne	-	-	-	-	-
7	api	-	-	api{avya}	api{avya}	sambanXaH,6	BI	-	-	-	-	-
8	kEkeyyA	6	kEkeyyA	kEkeyI{swrI;3;eka}	kEkeyI{swrI;3;eka}	hewuH,6	kEkeyI_se	-	-	-	-	-
9	lakRmIH	7	lakRmIriva	lakRmI{swrI;1;eka}/lakRmI{swrI;2;bahu}	lakRmI{swrI;1;eka}	upamAnam,10	lakRmiyoM_ko	-	-	-	-	-
10	iva	-	-	iva{avya}	iva{avya}	upamAnaxyowakaH,1	jEse	-	-	-	-	-
11	guNa-unmuKI	8	guNonmuKI	guNonmuKI}	guNonmuKI{swrI;1;eka}	viSeRaNam,9	-	-	-	-	-	-
