@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	sAravawwayA	2	sAravawwayA	sAravawwA{swrI;3;eka}	sAravawwA{swrI;3;eka}	upamAnam,4	-	-	-	-	-	-
2	axriRu	-	-	axri{puM;7;bahu}	axri{puM;7;bahu}	aXikaraNam,4	axriyoM_meM	@mountain	-	-	-	-
3	api	-	-	api{avya}	api{avya}	sambanXaH,4	BI	@also	-	-	-	-
4	asafgam	1	asafgamaxriRvapi	asafga{puM;2;eka}	asafga{puM;2;eka}	karmasamAnAXikaraNam,9	asafga_ko	@not @attached	-	-	-	-
5	me	4	me	asmax{sarvanAma;6;eka}/asmax{sarvanAma;4;eka}	asmax{sarvanAma;6;eka}	RaRTIsambanXaH,6	merA	-	-	-	-	-
6	AyuXaM	-	-	AyuXa{napuM;1;eka}/AyuXa{napuM;2;eka}/AyuXa{puM;2;eka(yuX1;GaF;yuXaz;:xivAxiH)}	AyuXa{napuM;2;eka}	karma,9	haWiyAra	-	-	-	-	-
7	wvax-anyena	5	wvaxanyena	wvax-anya{sarvanAma;puM;3;eka}/anya{sarvanAma;napuM;3;eka}	wvax-anya{sarvanAma;puM;3;eka}	karwA,9	-	-	-	-	-	-
8	na	3	na	na{avya}	na{avya}	prawiReXaH,9	nahIM	-	-	-	-	-
9	visoDam	6	visoDamAyuXam	visoDa{puM;2;eka(Rah1;kwa;Rahaz;:BvAxiH)}/visoDa{napuM;1;eka(Rah1;kwa;Rahaz;:BvAxiH)}/visoDa{napuM;2;eka(Rah1;kwa;Rahaz;:BvAxiH)}	visoDa{napuM;2;eka(Rah1;kwa;Rahaz;:BvAxiH)}	prawiyogI,13	-	-	-	-	-	-
10	mAM	8	-	asmax{sarvanAma;2;eka}	asmax{sarvanAma;2;eka}	karma,12	muJase	-	-	-	-	-
11	prIwaM	9	prIwamqwe	prIwa{puM;2;eka(prI1;kwa;prIf;:xivAxiH)}/prIwa{napuM;1;eka(prI1;kwa;prIf;:xivAxiH)}/prIwa{napuM;2;eka(prI1;kwa;prIf;:xivAxiH)}/prIwa{puM;2;eka(prI2;kwa;prIF;:kryAxiH)}/prIwa{napuM;1;eka(prI2;kwa;prIF;:kryAxiH)}/prIwa{napuM;2;eka(prI2;kwa;prIF;:kryAxiH)}	prIwa{napuM;2;eka(prI2;kwa;prIF;:kryAxiH)}	karmasamAnAXikaraNam,12	prIwi_kI_huI	@beloved	-	-	-	-
12	avehi	7	avehi	ava_i1{karwari;lot;ma;eka;parasmEpaxI;iN;:axAxiH}/veh1{BAve;luf;pra;eka;AwmanepaxI;vehqz;:BvAxiH}	ava_i1{karwari;lot;ma;eka;parasmEpaxI;iN;:axAxiH}	aBihiwa_karwA,14;sakarmakaH	jAno	-	-	-	-	-
13	(awaH)	-	(-)	awaH{avya}	awaH{avya}	anuyogI,12	-	-	-	-	-	-
14	(wvam)	-	(-)	yuRmax{sarvanAma;1;eka}	yuRmax{sarvanAma;1;eka}	karwA,12	-	-	-	-	-	-
