@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	BojyA	7	BojyA	BojyA{swrI;1;eka(Buj2;Nyaw;Bujaz;:ruXAxiH)}/BojyA{swrI;1;eka(Buj1;yaw;Bujoz;:wuxAxiH)}/BojyA{swrI;1;eka(Buj1;Nyaw;Bujoz;:wuxAxiH)}	BojyA{swrI;1;eka(Buj2;Nyaw;Bujaz;:ruXAxiH)}	karwA,8	-	-	-	-	-	-
2	parokREH	4	parokREH	parokRa{puM;3;bahu}/parokRa{napuM;3;bahu}	parokRa{puM;3;bahu}	viSeRaNam,3	parokRoM_se	-	-	-	-	-
3	BU-pawiBiH	3	BUpawiBiH	BU-pawi{napuM;3;bahu}/pawi{puM;3;bahu}	BU-pawi{puM;3;bahu}	karaNam,4	BU-pawiyoM_se	-	-	-	-	-
4	vqwA	2	vqwA	vqw{puM;3;eka}/vqw{napuM;3;eka}/vqwA{swrI;1;eka(vq2;kwa;vqf;:kryAxiH)}	vqw{swrI;1;eka(vq2;kwa;vqf;:kryAxiH)}	viSeRaNam,1	CipAyA_gaye_se	-	-	-	-	-
5	svayamvaram	5	svayamvaram	svayamvaram}	svayamvaram{{avya}	karwA,20	-	-	-	-	-	-
6	eva	-	-	eva{avya}	eva{avya}	sambanXaH,5	hI	-	-	-	-	-
7	sAXum	6	sAXumamaMswa	sAXu{puM;2;eka}	sAXu{puM;2;eka}	varwamAnasamAnakAlaH,20	sAXu_ko	-	-	-	-	-
8	amaMswa	-	-	amaMswa}	amaMswa{luf pra bahu AwmanepaxI{XAwuH manaz} xivAxiH}	karwA,9	-	-	-	-	-	-
9	sWAne	1	sWAne	sWAne{avya}/sWAna{napuM;1;xvi}/sWAna{napuM;2;xvi}/sWAna{napuM;7;eka}	sWAna{napuM;1;eka}	aBihiwa_karwA,8;sakarmaka	-	-	-	-	-	-
10	anyaWA	-	-	anyaWA{avya}	anyaWA{avya}	sambanXaH,18	anyaWA	-	-	-	-	-
11	asO	-	-	axas{sarvanAma;puM;1;eka}/axas{sarvanAma;swrI;1;eka}/asi{puM;7;eka}/asi{swrI;7;eka}/asu{puM;7;eka}	axas{sarvanAma;swrI;1;eka}	viSeRaNam,12	axas	-	-	-	-	-
12	paxmA	8	paxmeva	paxmA{swrI;1;eka}	paxmA{swrI;1;eka}	karwA,18	paxmA	-	-	-	-	-
13	nArAyaNam	9	nArAyaNamanyaWAsO 	nArAyaNa{puM;2;eka}	nArAyaNa{puM;2;eka}	upamAnam,14	nArAyaNa_ko	-	-	-	-	-
14	iva	-	-	iva{avya}	iva{avya}	upamAnaxyowakaH,16	jEse	-	-	-	-	-
15	Awma-wulyam	-	-	Awma-wulya{puM;2;eka}/wulya{napuM;1;eka}/wulya{napuM;2;eka}	Awma-wulya{puM;2;eka}	wulanA_binxuH,16	Awma-wulya_ko	-	-	-	-	-
16	kAnwam	11	kAnwam	kAnwa{puM;2;eka(kam1;kwa;kamuz;:BvAxiH)}/kAnwa{napuM;1;eka(kam1;kwa;kamuz;:BvAxiH)}/kAnwa{napuM;2;eka(kam1;kwa;kamuz;:BvAxiH)}	kAnwa{puM;2;eka(kam1;kwa;kamuz;:BvAxiH)}	karma,18	-	-	-	-	-	-
17	kaWam	12	kaWamAwmawulyam	kaWam{avya}	kaWam{avya}	kriyAviSeRaNam,18	kEse	-	-	-	-	-
18	laBewa	10	laBewa	laB1{karwari;viXilif;pra;eka;AwmanepaxI;dulaBazR;:BvAxiH}	laB1{karwari;viXilif;pra;eka;AwmanepaxI;dulaBazR;:BvAxiH}	aBihiwa_karwA,12;sakarmaka	prApwa_ho	-	-	-	-	-
19	(iwi)	-	(-)	-	iwi{avya}	vAkyakarmaxyowakaH,8	-	-	-	-	-	-
20	(aswi)	-	(-)	-	as{karwari lat pra eka parasmEpaxI{XAwuH asaz} axAxiH}	vAkyakarma,19	-	-	-	-	-	-
