@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	saH	1	sa	wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	karwA,7	usane	-	-	-	-	BarawaH
2	visqRtaH	2	visqRtaswaWewyukwvA	visqRta{puM;1;eka(sqj1;kwa;sqjaz;:xivAxiH)}/visqRta{puM;1;eka(sqj2;kwa;sqjaz;:wuxAxiH)}	visqRta{puM;1;eka(sqj1;kwa;sqjaz;:xivAxiH)}	viSeRaNam,1	uxgIrNa	-	-	-	-	-
3	ukwvA	-	-	vac1{avya;kwvA;vacaz;:axAxiH}	vac1{avya;kwvA;vacaz;:axAxiH}	pUrvakAlaH,2	bola_kara	-	-	-	-	-
4	waWA	-	-	-	waWA{avya}	vAkyakarma,5	-	-	-	-	-	-
5	iwi	-	-	-	iwi{avya}	vAkyakarmaxyowakaH,3	-	-	-	-	-	-
6	BrAwrA	3	BrAwrA	BrAwq{puM;3;eka}	BrAwq{puM;3;eka}	karwA,2	BAI_se	-	-	-	-	rAmeNa
7	aviSaw	4	nEva	viS1{karwari;laf;pra;eka;parasmEpaxI;viSaz;:wuxAxiH}	viS1{karwari;laf;pra;eka;parasmEpaxI;viSaz;:wuxAxiH}	aBihiwa_karwA,1;sakarmaka	anxara_nahI-praveSa_kiyA	-	-	-	-	-
8	na	-	-	na{avya}	na{avya}	prawiReXaH,7	-	-	-	-	-	-
9	eva	-	-	eva{avya}	eva{avya}	sambanXaH,7	-	-	-	-	-	-
10	purIm	5	viSawpurIm	purI{swrI;2;eka}	purI{swrI;2;eka}	karma,7	purI	-	-	-	-	ayoXyApurIm
