@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	hari-praBAvaH	-	hari-praBAvaH	hari-praBAva{puM;1;eka}/pra_BA1{karwari;lat;u;xvi;parasmEpaxI;BA;:axAxiH}/hari-praBAva{puM;1;eka(BU1;GaF;BU;:BvAxiH)}	hari-praBAva{puM;1;eka(hari-BU1;GaF;BU;:BvAxiH)}	viSeRaNam,3	hari-praBAva	-	-	-	-	-
2	saH	-	saH	wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	viSeRaNam,3	vaha	-	-	-	-	-
3	XanvI	-	XanvI	Xanvin{puM;1;eka}	Xanvin{puM;1;eka}	karwA,16	Xanvin	-	-	-	-	-
4	lakRyIkqwasya	-	lakRyIkqwasya	lakRyIkqwa{puM;6;eka(kqxanwa)}	lakRyIkqwa{puM;6;eka(kqxanwa)}	viSeRaNam,5	lakRya	-	-	-	-	-
5	hariNasya	-	hariNasya	hariNa{puM;6;eka}	hariNa{puM;6;eka}	RaRTIsambanXaH,6	mqga_kA	-	-	-	-	-
6	xeham	-	xeham	xeha{puM;2;eka}/xeha{napuM;1;eka}/xeha{napuM;2;eka}	xeha{puM;2;eka}	karma,7	SarIra	-	-	-	-	-
7	vyavaXAya	-	vyavaXAya	vi_ava_XA1{avya;lyap;duXAF;:juhowyAxiH}	vi_ava_XA1{avya;lyap;duXAF;:juhowyAxiH}	pUrvakAlaH,8	NW_kara	-	-	-	-	-
8	sWiwAm	-	sWiwAm	sWiwA{swrI;2;eka(RWA1;kwa;RWA;:BvAxiH)}	sWiwA{swrI;2;eka(RWA1;kwa;RWA;:BvAxiH)}	viSeRaNam,9	sWiwa	-	-	-	-	-
9	sahacarIm	-	sahacarIm	sahacarI{swrI;2;eka}	sahacarI{swrI;2;eka}	karma,10	sahelI	-	-	-	-	-
10	prekRya	-	prekRya	pra_IkR1{avya;lyap;IkRaz;:BvAxiH}	pra_IkR1{avya;lyap;IkRaz;:BvAxiH}	pUrvakAlaH,16	pra_IkR1_kara	-	-	-	-	-
11	kAmiwayA	-	kAmiwayA	kAmi{wal;swrI;3;eka}/kAmin{wal;swrI;3;eka}/kAmiwA{swrI;3;eka(kam1;kwa;kamuz;:BvAxiH)}	kAmiwA{swrI;3;eka(kam1;kwa;kamuz;:BvAxiH)}	hewuH,16	cAhI	-	-	-	-	-
12	manAH	-	manAH	kqpA_mqxu_manas{puM;1;eka}	kqpA_mqxu_manas{puM;1;eka}	viSeRaNam,2	manAoM_ko	-	-	-	-	-
13	AkarNa-kqRtam	-	AkarNa-kqRtam	AkarNa-kqRta{puM;2;eka(AkarNa-kqR2;kwa;kqRaz;:wuxAxiH)}/AkarNa-kqRta{napuM;1;eka(kqR2;kwa;kqRaz;:wuxAxiH)}/AkarNa-kqRta{napuM;2;eka(kqR2;kwa;kqRaz;:wuxAxiH)}/AkarNa-kqRta{puM;2;eka(kqR1;kwa;kqRaz;:BvAxiH)}/AkarNa-kqRta{napuM;1;eka(kqR1;kwa;kqRaz;:BvAxiH)}/AkarNa-kqRta{napuM;2;eka(kqR1;kwa;kqRaz;:BvAxiH)}	AkarNa-kqRta{puM;2;eka(AkarNa-kqR1;kwa;kqRaz;:BvAxiH)}	viSeRaNam,15	AkarNa-kqRikarma_kiye_hue	-	-	-	-	-
14	api	-	api	api{avya}	api{avya}	sambanXaH,13	BI	-	-	-	-	-
15	bANam	-	bANam	bANa{puM;2;eka}	bANa{puM;2;eka}	karma,16	bANa_ko	-	-	-	-	-
16	prawisaMjahAra	-	prawisaMjahAra	prawi_sam_hq1{karwari;lit;u;eka;parasmEpaxI;hqF;:BvAxiH}/prawi_sam_hq1{karwari;lit;pra;eka;parasmEpaxI;hqF;:BvAxiH}/prawi_sam_hq2{karwari;lit;u;eka;parasmEpaxI;hq;:juhowyAxiH}/prawi_sam_hq2{karwari;lit;pra;eka;parasmEpaxI;hq;:juhowyAxiH}	prawi_sam_hq1{karwari;lit;pra;eka;parasmEpaxI;hqF;:BvAxiH}	aBihiwa_karwA,3;sakarmaka	uwAra liyA	-	-	-	-	-
