@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	anye	-	anye	anya{sarvanAma;puM;1;bahu}/anya{sarvanAma;napuM;1;xvi}/anya{sarvanAma;napuM;2;xvi}/anyA{swrI;1;xvi}/anyA{swrI;2;xvi}/anyA{sarvanAma;swrI;1;xvi}/anyA{sarvanAma;swrI;2;xvi}/an1{BAve;lat;u;eka;AwmanepaxI;anaz;:axAxiH}/anya{napuM;8;xvi}	anya{sarvanAma;puM;1;bahu}	viSeRaNam,2	anya	-	-	-	-	-
2	nqpAH	-	nqpAH	nqpa{puM;1;bahu}/nqpa{puM;8;bahu}	nqpa{puM;1;bahu}	karwA,5	rAjA	-	-	-	-	-
3	kAmaM	-	kAmaM	kAmam{avya}/kAma{puM;2;eka}	kAmam{avya}	kriyAviSeRaNam,5	-	-	-	-	-	-
4	sahasraSaH	-	sahasraSaH	sahasra{avya;Sas}	sahasra{avya;Sas}	kriyAviSeRaNam,5	-	-	-	-	-	-
5	sanwu	-	sanwu	as2{karwari;lot;pra;bahu;parasmEpaxI;asaz;:axAxiH}	as2{karwari;lot;pra;bahu;parasmEpaxI;asaz;:axAxiH}	prawiyogI,17	hoyeM	-	-	-	-	-
6	BUmim	-	BUmim	BUmi{swrI;2;eka}	BUmi{swrI;2;eka}	karma,9	BUmi_ko	-	-	-	-	-
7	anena	-	anena	ixam{sarvanAma;puM;3;eka}/ixam{sarvanAma;napuM;3;eka}/ana{puM;3;eka}	ixam{sarvanAma;puM;3;eka}	karaNam,9	isase	-	-	-	-	-
8	rAjanvawIm	-	rAjanvawIm	rAjanvawI{swrI;2;eka}	rAjanvawI{swrI;2;eka}	karmasamAnAXikaraNam,9	rAjanvawI_ko	-	-	-	-	-
9	AhuH	-	AhuH	ah2{karwari;lit;pra;bahu;parasmEpaxI;ahaz;:svAxiH}/brU1{karwari;lat;pra;bahu;parasmEpaxI;brUF;:axAxiH}	brU1{karwari;lat;pra;bahu;parasmEpaxI;brUF;:axAxiH}	prawiyogI,18	ah2_pp_skyA	-	-	-	-	-
10	nakRawra-wArA-graha-saMkulA	-	nakRawrawArAgrahasaMkulA	nakRawra-wArA-graha-safkulA{swrI;1;eka}	nakRawra-wArA-graha-safkulA{swrI;1;eka}	viSeRaNam,12	nakRawra-wArA-graha-safkulA	-	-	-	-	-
11	api	-	api	api{avya}	api{avya}	sambanXaH,10	BI	-	-	-	-	-
12	rAwriH	-	rAwriH	rAwri{swrI;1;eka}	rAwri{swrI;1;eka}	karwA,16	rAwa	-	-	-	-	-
13	canxramasA	-	canxramasA	canxramas{puM;3;eka}	canxramas{puM;3;eka}	karaNam,16	canxramA_se	-	-	-	-	-
14	eva	-	eva	eva{avya}	eva{avya}	sambanXaH,13	hI	-	-	-	-	-
15	jyowiRmawI	-	jyowiRmawI	jyowiRmawI{swrI;1;eka}/jyowiR{mawup;swrI;1;eka}	jyowiRmawI{swrI;1;eka}	karwqsamAnAXikaraNam,16	jyowiRmawI	-	-	-	-	-
16	(Bavawi)	-	(Bavawi)	BU1{karwari;lat;pra;eka;parasmEpaxI;BU;:BvAxiH}/BavawI{swrI;8;eka}/Bavaw{sarvanAma;puM;7;eka}/Bavaw{puM;7;eka}	BU1{karwari;lat;pra;eka;parasmEpaxI;BU;:BvAxiH}	aBihiwa_karwA,12	howA_hE	-	-	-	-	-
17	(kinwu)	-	(-)	kinwu{avya}	kinwu{avya}	anuyogI,7	-	-	-	-	-	-
18	(yawaH)	-	(-)	yawaH{avya}	yawaH{avya}	anuyogI,10	-	-	-	-	-	-
