@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	kLpwa-vivAha-veRA	8	kLpwavivAhaveRA	kLpwa-vivAha{puM-veRA;swrI;1;eka}	kLpwa-vivAha{puM-veRA;swrI;1;eka}	viSeRaNam,3	vivAha kI veRA meM sazvArI huI	(@and @was @therefore) @decked @in @wedding @dress	yayA klqpwaH vivAhasya veRA	-	-	-
2	pawiM-varA	7	pawiMvarA	pawiM-varA{swrI;1;eka}	pawiM-varA{swrI;1;eka}	viSeRaNam,3	jo pawi ko cunawI hE	@who @was @about @to @choose @a @husband	yA pawiM vqNowi sA pawiMvarA	-	-	-
3	kanyA	3	kanyA	kanyA{swrI;1;eka}	kanyA{swrI;1;eka}	karwA,9	kanyA_ne	@the @maiden @princess	kumArI inxumawI	-	-	-
4	parivAra-SoBi	4	parivAraSoBi	parivAra{puM-Sas;puM;3;bahu(vq1;GaF;vqF;:svAxiH)}	parivAra{puM-Sas;puM;3;bahu(vq1;GaF;vqF;:svAxiH)}	viSeRaNam,6	parivAra se suSoBiwa	@beautified @by @a @train/@retinue @of  @attendants @or @followers @collectively	parivAreNa SoBiH	-	-	-
5	manuRya-vAhyaM	1	manuRyavAhyaM	manuRya-vAhya{puM;2;eka(manuRya-vAh1;Nyaw;vAhqz;:BvAxiH)}/manuRya-vAhya{napuM;1;eka(vAh1;Nyaw;vAhqz;:BvAxiH)}/manuRya-vAhya{napuM;2;eka(vAh1;Nyaw;vAhqz;:BvAxiH)}	manuRya-vAhya{napuM;2;eka(manuRya-vAh1;Nyaw;vAhqz;:BvAxiH)}	viSeRaNam,6	manuRya se uTAyA gayA	@borne @by @men	manuRyEH voDuM vAhyam 	-	-	-
6	cawurasra-yAnam	2	cawuranwayAnaM	cawuranwa-yAna{napuM;1;eka}/yAna{napuM;2;eka}	cawuranwa-yAna{napuM;2;eka}	karma,7	cawuranwa-vAhana	(@in @the) @palanquin	cawurasraFca waw yAnam iwi	-	-	-
7	aXyAsya	2	aXyAsya	as3{avya;lyap;asuz;:xivAxiH}/As1{avya;lyap;Asaz;:axAxiH}	aXi_As1{avya;lyap;Asaz;:axAxiH}	pUrvakAlaH,9	raha_kara	@took (@her) @seat	-	-	-	-
8	maFca-anwara-rAjamArgam	6	maFcAnwararAjamArgam	rAjamArga{puM;2;eka}	rAjamArga{puM;2;eka}	karma,9	maFca ke maXya rAjAoM ke mArga	@the @royal @road @between @the @rows @of @the @dias	maFcAnAM anwaram rAjFAM mArgaH iwi rAjamArgaH	-	-	-
9	viveSa	5	viveSa	viS1{karwari;lit;pra;eka;parasmEpaxI;viSaz;:wuxAxiH}/viS1{karwari;lit;u;eka;parasmEpaxI;viSaz;:wuxAxiH}	viS1{karwari;lit;pra;eka;parasmEpaxI;viSaz;:wuxAxiH}	aBihiwa_karwA,3;sakarmaka	anxara_praveSa_kiyA	@entered	-	-	-	-
