@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	vaSI	-	vaSI	vaSi{puM;1;xvi}/vaSi{puM;2;xvi}/vaSin{puM;1;eka}/vaSi{puM;8;xvi}	vaSin{puM;1;eka}	viSeRaNam,2	jisane_vaSa_kara_liyA_hE_vaha	-	-	-	-	-
2	suwaH	-	suwaH	suwa{puM;1;eka}/Ru2{karwari;lat;pra;xvi;parasmEpaxI;Ru;:axAxiH}/suwa{puM;1;eka(Ru3;kwa;RuF;:svAxiH)}/suwa{puM;1;eka(Su1;kwa;Su;:BvAxiH)}/suwa{puM;1;eka(Ru2;kwa;Ru;:axAxiH)}	suwa{puM;1;eka(Ru2;kwa;Ru;:axAxiH)}	karwA,6	puwra_ne	-	-	-	-	-
3	wasya	-	wasya	wax{sarvanAma;napuM;6;eka}/wax{sarvanAma;puM;6;eka}	wax{sarvanAma;puM;6;eka}	RaRTIsambanXaH,2	usake	-	-	-	-	-
4	sveRAm	-	sveRAm	sva{sarvanAma;puM;6;bahu}/sva{sarvanAma;napuM;6;bahu}	sva{sarvanAma;napuM;6;bahu}	upamAnam,5	svakA	-	-	-	-	-
5	iva	-	iva	iva{avya}	iva{avya}	upamAnaxyowakaH,7	jEse	-	-	-	-	-
6	AsIw	-	AsIw	as2{karwari;laf;pra;eka;parasmEpaxI;asaz;:axAxiH}	as2{karwari;laf;pra;eka;parasmEpaxI;asaz;:axAxiH}	aBihiwa_karwA,2;sakarmaka	as2_pp_skyA	-	-	-	-	-
7	xviRawAm	-	xviRawAm	xviRaw{puM;6;bahu}/xviR1{karwari;lot;pra;bahu;AwmanepaxI;xviRaz;:axAxiH}/xviRaw{puM;6;bahu(xviR1;Sawq_lat;xviRaz;:axAxiH)}/xviRaw{napuM;6;bahu(xviR1;Sawq_lat;xviRaz;:axAxiH)}	xviRaw{napuM;6;bahu(xviR1;Sawq_lat;xviRaz;:axAxiH)}	RaRTIsambanXaH,9	xveRa_karawe_hue	-	-	-	-	-
8	api	-	api	api{avya}	api{avya}	sambanXaH,7	BI	-	-	-	-	-
9	iRtaH	-	iRtaH	iRta{puM;1;eka(iR2;kwa;iRuz;:wuxAxiH)}/iRta{puM;1;eka(yaj1;kwa;yajaz;:BvAxiH)}	iRta{puM;1;eka(yaj1;kwa;yajaz;:BvAxiH)}	karwqsamAnAXikaraNam,6	-	-	-	-	-	-
