@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	Awma-nirvAxa-kaWAm	-	-	Awma-nirvAxa-kaWA{swrI;2;eka}	Awma-nirvAxa-kaWA{swrI;2;eka}	karma,3	Awma-nirvAxa-kaWA_ko	-	-	-	-	-
2	kim	1	kimAwmanirvAxakaWAmupekRe	kim{avya}/kim{sarvanAma;napuM;1;eka}/kim{sarvanAma;napuM;2;eka}	kim{sarvanAma;napuM;2;eka}	sambanXaH,3	-	-	-	-	-	-
3	upekRe	-	-	upekRA{swrI;1;xvi}/upekRA{swrI;2;xvi}/upa_IkR1{karwari;lat;u;eka;AwmanepaxI;IkRaz;:BvAxiH}/upekRA{swrI;8;eka}/upekRA{swrI;8;xvi}/upekRa{puM;7;eka(IkR1;GaF;IkRaz;:BvAxiH)}	upa_IkR1karwari;lat;u;eka;AwmanepaxI;IkRaz;:BvAxiH}	anyawaraH,7	avahelanAyeM	-	-	-	-	-
4	uwa	-	-	uwa{avya}	uwa{avya}	anyawaraxyowakaH,7	aWavA	-	-	-	-	-
5	a-xoRAm	-	-	a-xos{puM;6;bahu}/xoRA{swrI;2;eka}	a-xoRA{swrI;2;eka}	viSeRaNam,6	a-BujA_kA	-	-	-	-	-
6	jAyAm	2	jAyAmaxoRAmuwa	jAyA{swrI;2;eka}	jAyA{swrI;2;eka}	karma,7	pawnI_ko	-	-	-	-	-
7	saM-wyajAmi	3	saMwyajAmi	saM-wyaj1{karwari;lat;u;eka;parasmEpaxI;wyajaz;:BvAxiH}	saM-wyaj1{karwari;lat;u;eka;parasmEpaxI;wyajaz;:BvAxiH}	sambanXaH,12	CodawA_hUz	-	-	-	-	-
8	iwi	4	iwyekapakRASrayaviklavawvAxAsIwsa xolAcalaciwwavqwwiH	iwi{avya}	iwi{avya}	sambanXaH,7	EsA	-	-	-	-	-
9	eka-pakRa-ASraya-viklavawvAw	-	-	eka-pakRa-ASraya-viklava{wva;napuM;5;eka}	eka-pakRa-ASraya-viklava{wva;napuM;5;eka}	hewuH,12	eka-pakRa-ASraya-viklava_se	-	-	-	-	-
10	saH	-	-	wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	karwA,12	vaha	-	-	-	-	-
11	xolA-cala-ciwwa-vqwwiH	-	-	xolA-cala-ciw1{kwa;ciwIz;:BvAxiH-vqwwi;swrI;1;eka}/vqwwi{puM;1;eka}	xolA-cala-ciw1{kwa;ciwIz;:BvAxiH-vqwwi;swrI;1;eka;vqwwipuM;1;eka}	karwqsamAnAXikaraNam,12	-	-	-	-	-	-
12	AsIw	-	-	as2{karwari;laf;pra;eka;parasmEpaxI;asaz;:axAxiH}	as2{karwari;laf;pra;eka;parasmEpaxI;asaz;:axAxiH}	aBihiwa_karwA,10	WA	-	-	-	-	-
