@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	wAByaH	1	wAByaswaWAviXAnsvapnAFCruwvA	wax{sarvanAma;swrI;5;bahu}/wax{sarvanAma;swrI;4;bahu}	wax{sarvanAma;swrI;5;bahu}	apAxAnam,4	unase	-	-	-	-	-
2	waWA-viXAn	-	-	waWA-viXa{puM;2;bahu}	waWA-viXa{puM;2;bahu}	viSeRaNam,3	prakAroM_ko	-	-	-	-	-
3	svapnAn	-	-	svapna{puM;2;bahu}	svapna{puM;2;bahu}	karma,4	svapna	-	-	-	-	-
4	SruwvA	-	-	Sru1{avya;kwvA;Sru;:BvAxiH}	Sru1{avya;kwvA;Sru;:BvAxiH}	pUrvakAlaH,11	suna_kara	-	-	-	-	-
5	prIwaH	2	prIwo	prI{avya;wasil}/prIwa{puM;1;eka(prI1;kwa;prIf;:xivAxiH)}/prIwa{puM;1;eka(prI2;kwa;prIF;:kryAxiH)}	prIwa{puM;1;eka(prI1;kwa;prIf;:xivAxiH)}	viSeRaNam,6	prasanna	-	-	-	-	-
6	pArWivaH	4	pArWivaH	pArWiva{puM;1;eka}	pArWiva{puM;1;eka}	karwA,11	pArWiva_ne	-	-	-	-	-
7	AwmAnam	-	AwmAnam	Awman{puM;2;eka}	Awman{puM;2;eka}	karma,11	AwmA_ko	-	-	-	-	-
8	jagax-guroH	8	jagaxaguroH	jagax-guru{puM;5;eka}/guru{puM;6;eka}	jagax-guru{puM;6;eka}	RaRTIsambanXaH,9	jagax-guru_ke	-	-	-	-	-
9	guruwvena	7	guruwvena	guru_wva{napuM;3;eka}	guru_wva{napuM;3;eka}	hewuH,11	-	@with @fatherhood	-	-	-	-
10	parArXyam	6	parArXyamAwmAnam	parArXya{puM;2;eka}/parArXya{napuM;1;eka}/parArXya{napuM;2;eka}	parArXya{puM;2;eka}	karmasamAnAXikaraNam,11	parArXya_ko	-	-	-	-	-
11	mene	5	mene	menA{swrI;1;xvi}/menA{swrI;2;xvi}/man1{karwari;lit;pra;eka;AwmanepaxI;manaz;:xivAxiH}/man1{karwari;lit;u;eka;AwmanepaxI;manaz;:xivAxiH}/man1{karmaNi;lit;pra;eka;AwmanepaxI;manaz;:xivAxiH}/man1{karmaNi;lit;u;eka;AwmanepaxI;manaz;:xivAxiH}/menA{swrI;8;eka}/menA{swrI;8;xvi}	man1{karwari;lit;pra;eka;AwmanepaxI;manaz;:xivAxiH}	aBihiwa_karwA,6;sakarmaka	jAnA	-	-	-	-	-
12	hi	3	hi	hi{avya}	hi{avya}	sambanXaH,11	-	-	-	-	-	-
