@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	sawvaram	2	sawvaramuwWiwAyAH	sawvara{puM;2;eka}/sawvara{napuM;1;eka}/sawvara{napuM;2;eka}	sawvara{puM;2;eka}	kriyAviSeRaNam,2	cuswa_ko	-	-	-	-	-
2	uwWiwAyAH	-	-	uwWiwA{swrI;6;eka(RWA1;kwa;RWA;:BvAxiH)}/uwWiwA{swrI;5;eka(RWA1;kwa;RWA;:BvAxiH)}	uwWiwA{swrI;6;eka(RWA1;kwa;RWA;:BvAxiH)}	viSeRaNam,3	-	-	-	-	-	-
3	kasyASciw	7	kasyAScixAsIxraSanA	kiFciw{sarvanAma;swrI;5;eka}/kiFciw{sarvanAma;swrI;6;eka}	kiFciw{sarvanAma;swrI;6;eka}	RaRTIsambanXaH,9	kisIse	-	-	-	-	-
4	arXAFciwA	1	arXAFciwA	arXAFciwA}	arXAFciwA{swrI;1;eka}	viSeRaNam,9	-	-	-	-	-	-
5	xurnimiwe	5	xurnimiwe	xurnimiwa{puM;7;eka(mi1;kwa;dumiF;:svAxiH)}/xurnimiwa{napuM;1;xvi(mi1;kwa;dumiF;:svAxiH)}/xurnimiwa{napuM;2;xvi(mi1;kwa;dumiF;:svAxiH)}/xurnimiwa{napuM;7;eka(mi1;kwa;dumiF;:svAxiH)}/xurnimiwA{swrI;1;xvi(mi1;kwa;dumiF;:svAxiH)}/xurnimiwA{swrI;2;xvi(mi1;kwa;dumiF;:svAxiH)}	xurnimiwa{puM;7;eka(mi1;kwa;dumiF;:svAxiH)}	viSeRaNam,7	-	-	-	-	-	-
6	paxe	3	paxe	pax{puM;4;eka}/paxa{napuM;1;xvi}/paxa{napuM;2;xvi}/pAxa{puM;4;eka}/paxa{napuM;8;xvi}/paxa{napuM;7;eka}	pax{puM;7;eka}	vIpsA,7	pEra_ko	-	-	-	-	-
7	paxe	4	paxe	pax{puM;4;eka}/paxa{napuM;1;xvi}/paxa{napuM;2;xvi}/pAxa{puM;4;eka}/paxa{napuM;8;xvi}/paxa{napuM;7;eka}	pax{puM;7;eka}	aXikaraNam,8	pEra_ko	-	-	-	-	-
8	galanwI	6	galanwI	galaw{napuM;1;xvi(gal1;Sawq_lat;galaz;:BvAxiH)}/galaw{napuM;2;xvi(gal1;Sawq_lat;galaz;:BvAxiH)}/galanwI{swrI;1;eka(gal1;Sawq_lat;galaz;:BvAxiH)}	galaw{swrI;1;xvi(gal1;Sawq_lat;galaz;:BvAxiH)}	viSeRaNam,9	-	-	-	-	-	-
9	raSanA	-	-	raSanA{swrI;1;eka}	raSanA{swrI;1;eka}	karwA,12	raSanA	-	-	-	-	-
10	waxAnIm	8	waxAnImafguRTamUlArpiwasUwraSeRA	waxAnIm{avya}	waxAnIm{avya}	aXikaraNam,12	waba	-	-	-	-	-
11	afguRta-mUlArpiwa-sUwra-SeRA	-	-	afguRta-mUlArpiwa-sUwra-SeRA{swrI;1;eka}	afguRta-mUlArpiwa-sUwra-SeRA{swrI;1;eka}	viSeRaNam,9	afguRta-mUlArpiwa-sUwra-SeRa	-	-	-	-	-
12	AsIw	-	-	as2{karwari;laf;pra;eka;parasmEpaxI;asaz;:axAxiH}	as2{karwari;laf;pra;eka;parasmEpaxI;asaz;:axAxiH}	aBihiwa_karwA,9;sakarmaka	WA	-	-	-	-	-
