@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	awaH	-	awoZBilARe	awaH{avya}	awaH{avya}	sambanXaH,9	awaH	-	-	-	-	-
2	praWamam	-	praWamam	praWama{puM;2;eka}/praWama{napuM;2;eka}/praWama{napuM;1;eka}	praWama{napuM;1;eka}	kriyAviSeRaNam,7	praWama_ko	-	-	-	-	-
3	sA	-	sA	wax{sarvanAma;swrI;1;eka}	wax{sarvanAma;swrI;1;eka}	karwA,7	usane	-	-	-	-	-
4	waWA-viXeH	-	waWAviXe	viXA{napuM;6;eka}/viXi{puM;6;eka}	waWA-viXi{puM;6;eka}	RaRTIsambanXaH,5	waWA-viXi	-	-	-	-	-
5	aBilARe	-	-	aBilARa{puM;7;eka}	aBilARa{puM;7;eka}	viRayAXikaraNam,7	aBilARA_meM	-	-	-	-	-
6	anya-rasAn	-	-	anya-rasA{puM;2;bahu}	anya-rasA{puM;2;bahu}	karma,7	anya-rasoM_ko	-	-	-	-	-
7	vilafGya	-	-	vi_laG3{avya;lyap;laGiz;curAxiH{kqxanwa}}/vi_laG1{avya;lyap;laGiz;BvAxiH{kqxanwa}/vi_laG2{avya;lyap;laGiz;BvAxiH{kqxanwa}}	vi_laG3{avya;lyap;laGiz;curAxiH{kqxanwa}	pUrvakAlaH,9	-	-	-	-	-	-
8	manaH	-	manaH	manaH{napuM;2;eka}/manaH{napuM;1;eka}	manaH{napuM;2;eka}	karma,9	manaH_ko	-	-	-	-	-
9	babanXa	-	babanXAnyarasAnvilafGya	banX1{karwari;lit;ma;bahu;parasmEpaxI;banXaz;:kryAxiH}/banX1{karwari;lit;pra;eka;parasmEpaxI;banXaz;:kryAxiH}/banX1{karwari;lit;u;eka;parasmEpaxI;banXaz;:kryAxiH}	banX1{karwari;lit;pra;eka;parasmEpaxI;banXaz;:kryAxiH}	aBihiwa_karwA,3;sakarmaka	X_banX1_pp_skyA	-	-	-	-	-
