@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	saH	5	saH	wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	karwA,12	vaha	-	-	-	-	-
2	waWA	1	waWewi	waWA{avya}	waWA{avya}	sambanXaH,3	vEse	-	-	-	-	-
3	iwi	-	-	iwi{avya}	iwi{avya}	sambanXaH,4	EsA	-	-	-	-	-
4	prawipannAya	2	prawipannAya	prawipanna{puM;4;eka(pax1;kwa;paxaz;:xivAxiH)}/prawipanna{napuM;4;eka(pax1;kwa;paxaz;:xivAxiH)}/prawipanna{puM;4;eka(paw1;kwa;pawLz;:BvAxiH)}/prawipanna{napuM;4;eka(paw1;kwa;pawLz;:BvAxiH)}	prawipanna{puM;4;eka(pax1;kwa;paxaz;:xivAxiH)}	viSeRaNam,5	-	-	-	-	-	-
5	nqpAya	4	nqpAya	nqpa{puM;4;eka}	nqpa{puM;4;eka}	sampraxAnam,12	rAjA_ko	-	-	-	-	-
6	vivqwa-AwmA	3	vivqwAwmA	vivqwAwmA}	vivqwAwmA{puM;1;eka}	viSeRaNam,1	-	-	-	-	-	-
7	parameRTinaH	10	parameRTinaH	parameRTin{puM;1;bahu}/parameRTin{puM;2;bahu}/parameRTin{puM;5;eka}/parameRTin{puM;6;eka}/parameRTin{napuM;5;eka}/parameRTin{napuM;6;eka}/parameRTin{puM;8;bahu}	parameRTin{puM;6;eka}	RaRTIsambanXaH,8	parameRTin	-	-	-	-	-
8	SAsanAw	9	SAsanAw	SAsana{napuM;5;eka}/SAsana{napuM;5;eka(SAs1;lyut;SAsuz;:axAxiH)}	SAsana{napuM;5;eka}	apAxAnam,10	SAsana_se	-	-	-	-	-
9	xivam	7	xivam	xiv{swrI;2;eka}/xiva{napuM;1;eka}/xiva{napuM;2;eka}	xiv{napuM;2;eka}	karma,10	svarga_ko	-	-	-	-	-
10	aXyAsva	8	aXyAsva	aXyAsva}	aXyAsva{karwari lot pra eka parasmEpaxI{XAwuH }	vAkyakarma,11	-	-	-	-	-	-
11	iwi	-	-	iwi{avya}	iwi{avya}	vAkyakarmaxyowakaH,12	EsA	-	-	-	-	-
12	AcaKyO	6	AcaKyO	Af_KyA1{karwari;lit;pra;eka;parasmEpaxI;KyA;:axAxiH}/Af_KyA1{karwari;lit;u;eka;parasmEpaxI;KyA;:axAxiH}/Af_cakR1{karwari;lit;pra;eka;AwmanepaxI;cakRizf;:axAxiH}/Af_cakR1{karwari;lit;u;eka;AwmanepaxI;cakRizf;:axAxiH}	Af_KyA1{karwari;lit;pra;eka;parasmEpaxI;KyA;:axAxiH}	aBihiwa_karwA,1;sakarmaka	kahA	-	-	-	-	-
