@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	wawra	1	wawra	wawra{avya}	wawra{avya}	xeSAXikaraNam,2	vahAz	@There	-	-	-	-
2	sOXa-gawaH	2	sOXagawaH	sOXa-gawa{puM;1;eka(sOXa-gam1;kwa;gamLz;:BvAxiH)}	sOXa-gawa{puM;1;eka(sOXa-gam1;kwa;gamLz;:BvAxiH)}	karwA,9	amqwamaya-gayA_huA	@One @who @climbed @to @the @palace	-	-	-	-
3	paSyan	3	paSyanyamunAM	paSyaw{puM;1;eka(xqS1;Sawq_lat;xqSizr;:BvAxiH)}	paSyaw{puM;1;eka(xqS1;Sawq_lat;xqSizr;:BvAxiH)}	varwamAnasamAnakAlaH,9	xeKawA_huA	@seeing	-	-	-	-
4	yamunAM	-		yamunA{swrI;2;eka}	yamunA{swrI;2;eka}	karma,3	yamunA_ko	@Yamun	-	-	-	-
5	hema-BakwimawIM	5	hemaBakwimawIM	hema-Bakwi{mawup;swrI;2;eka}	hema-Bakwi{mawup;swrI;2;eka}	viSeRaNam,7	sonA-Bakwi	@embellished @with @golden @strands	-	-	-	-
6	BUmeH	6	BUmeH	BUmi{swrI;5;eka}/BUmi{swrI;6;eka}	BUmi{swrI;6;eka}	RaRTIsambanXaH,7	BUmi_kI	@of @the @earth	-	-	-	-
7	pra-veNIm	7	praveNImiva	praveNI{swrI;2;eka}	pra-veNI{swrI;2;eka}	upamAnam,8	praveNI_ko	@braid @of @hair	-	-	-	-
8	iva	-		iva{avya}	iva{avya}	upamAnaxyowakaH,4	jEse	@as @if	-	-	-	-
9	pipriye	8	pipriye	prI1{karwari;lit;pra;eka;AwmanepaxI;prIf;:xivAxiH}/prI1{karwari;lit;u;eka;AwmanepaxI;prIf;:xivAxiH}/prI1{BAve;lit;pra;eka;AwmanepaxI;prIf;:xivAxiH}/prI1{BAve;lit;u;eka;AwmanepaxI;prIf;:xivAxiH}/prI2{karwari;lit;pra;eka;AwmanepaxI;prIF;:kryAxiH}/prI2{karwari;lit;u;eka;AwmanepaxI;prIF;:kryAxiH}	prI2{karwari;lit;pra;eka;AwmanepaxI;prIF;:kryAxiH}	aBihiwa_karwA,2;sakarmaka	prIwi_kI	@pleased	-	-	-	-
10	cakravAkinIm	4	cakravAkinIm	cakravAkinI{srI;2;eka}	cakravAkinI{srI;2;eka}	viSeRaNam,4	-	@embellished @with @Cakravkas	-	-	-	-
