@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	wawaH	1	wawo	wawaH{avya}	wawaH{avya}	sambanXaH,12	vahAz_se	-	-	-	-	-
2	yaWAvaw	2	yaWAvaxvihiwAXvarAya	yaWAvaw{avya}	yaWAvaw{avya}	kriyAviSeRaNam,12	TIka_TIka_jyoM_kA_wyoM	-	-	-	-	-
3	vihiwa-aXvarAya	3	-	XA1{kwa;duXAF;:juhowyAxiH-aXvara;puM;4;eka}/aXvara{napuM;4;eka}	vi_XA1{kwa;duXAF;:juhowyAxiH-aXvara;puM;4;eka}	viSeRaNam,6	-	-	-	-	-	-
4	smaya-AveSa-vivarjiwAya	5	smayAveSavivarjiwAya	smaya-viS1{GaF;viSaz;:wuxAxiH-vivarjiwa;puM;4;eka}/vivarjiwa{napuM;4;eka}	smaya-Af_viS1{GaF;viSaz;:wuxAxiH-vivarjiwa;puM;4;eka}	viSeRaNam,6	-	-	-	-	-	-
5	varNa-ASramANAM	6	varNASramANAM	varNa-ASrama{puM;6;bahu}/ASrama{napuM;6;bahu}/ASramA{swrI;6;bahu}	varNa-ASramA{swrI;6;bahu}	RaRTIsambanXaH,6	varNa-ASramAoM_ke	-	-	-	-	-
6	gurave	7	gurave	guru{puM;4;eka}	guru{puM;4;eka}	aBexaH,7	BArI	-	-	-	-	-
7	wasmE	4	wasmE	wax{sarvanAma;puM;4;eka}/wax{sarvanAma;napuM;4;eka}	wax{sarvanAma;puM;4;eka}	sampraxAnam,12	usako	-	-	-	mahA rAjA raGaH	-
8	saH	8	sa	wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	viSeRaNam,9	usa	-	-	-	kOwsaH muniH	varawanwoHSiRyaH
9	varNI	9	varNI	varNin{puM;1;eka}	varNin{puM;1;eka}	karwA,12	ciwrakara_ne	-	-	-	-	-
10	vicakRaNaH	10	vicakRaNaH	vicakRaNa{puM;1;eka}	vicakRaNa{puM;1;eka}	viSeRaNam,9	spaRtaxarSI	-	-	-	-	-
11	praswuwam	11	praswuwamAcacakRe	pra_Rwu1{karwari;lot;ma;xvi;parasmEpaxI;RwuF;:axAxiH}/praswuwa{puM;2;eka(Rwu1;kwa;RwuF;:axAxiH)}/praswuwa{napuM;1;eka(Rwu1;kwa;RwuF;:axAxiH)}/praswuwa{napuM;2;eka(Rwu1;kwa;RwuF;:axAxiH)}	praswuwa{napuM;2;eka(Rwu1;kwa;RwuF;:axAxiH)}	karma,12	pra_Rwu1yA_huA	-	-	-	-	-
12	AcacakRe	12	-	Af_cakR1{karwari;lit;pra;eka;AwmanepaxI;cakRizf;:axAxiH}/Af_cakR1{karwari;lit;u;eka;AwmanepaxI;cakRizf;:axAxiH}	Af_cakR1{karwari;lit;pra;eka;AwmanepaxI;cakRizf;:axAxiH}	aBihiwa_karwA,9;sakarmaka	Af_cakR1_ap_skyA	-	-	-	-	-
