@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	Xvaja-patam	1	XvajapataM	Xvaja-pata{puM;2;eka}	Xvaja-pata{puM;2;eka}	viSeRaNam,7	Xvaja-kapade	-	-	-	-	-
2	maxanasya	2	maxanasya	maxana{puM;6;eka}/maxana{napuM;6;eka}	maxana{napuM;6;eka}	RaRTIsambanXaH,1	kAmoxxIpaka_kI	-	-	-	-	-
3	XanuH-BqwaH	3	XanurBqwaSCavikaraM 	XanuH-Bqw{puM;2;bahu}/Bqw{puM;1;bahu}/Bqw{puM;6;eka}/Bqw{puM;5;eka}/Bqw{napuM;6;eka}/Bqw{napuM;5;eka}/Bqw{swrI;2;bahu}/Bqw{swrI;1;bahu}/Bqw{swrI;6;eka}/Bqw{swrI;5;eka}	XanuH-Bqw{swrI;6;eka}	viSeRaNam,2	XanuH-Bqw_ke	-	-	-	-	-
4	Cavi-karam	-	-	Cavi-kara{puM;2;eka}/kara{napuM;2;eka}/kara{napuM;1;eka}/kara{puM;2;eka}	Cavi-kara{puM;2;eka}	viSeRaNam,5	Cavi-hAWa	-	-	-	-	-
5	muKa-cUrNam	5	muKacUrNamqwuSriyaH 	muKa-cUrNa{puM;2;eka}/cUrNa{napuM;2;eka}/cUrNa{napuM;1;eka}	muKa-cUrNa{puM;2;eka}	viSeRaNam,7	muKa-cUrNa_ko	-	-	-	-	-
6	qwu-SriyaH	-	-	qwu-SrI{swrI;2;bahu}/SrI{swrI;1;bahu}/SrI{swrI;6;eka}/SrI{swrI;5;eka}	qwu-SrI{swrI;6;eka}	RaRTIsambanXaH,5	qwu-SrI_ke	-	-	-	-	-
7	kusuma-kesara-reNum	7	kusumakesarareNumalivrajAH 	kusuma-kesara-reNu{puM;2;eka}/reNu{swrI;2;eka}	kusuma-kesara-reNu{puM;2;eka}	karma,10	PUla-kesara-parAga	-	-	-	-	-
8	ali-vrajAH	-	-	ali-alin-vraja{puM;1;bahu}	ali-alin-vraja{puM;1;bahu}	karwA,10	BOrA-alin-vrajoM_ne	-	-	-	-	-
9	sa-pavana-upavana-uwWiwam	9	sapavanopavanowWiwamanvayuH 	sa-pavana-upavana-uw_RWA1{kwa;RWA;:BvAxiHuw_sWiwa;napuM;2;eka}/uw_RWA1{kwa;RWA;:BvAxiHuw_sWiwa;napuM;1;eka}/uw_RWA1{kwa;RWA;:BvAxiHuw_sWiwa;puM;2;eka}	sa-pavana-upavana-uw_RWA1{kwa;RWA;:BvAxiHuw_sWiwa;puM;2;eka}	viSeRaNam,7	sa-pavana-bagIcA-uTe_hue	-	-	-	-	-
10	anvayuH	-	-	anu_yA1{karwari;laf;pra;bahu;parasmEpaxI;yA;:axAxiH}	anu_yA1{karwari;laf;pra;bahu;parasmEpaxI;yA;:axAxiH}	aBihiwa_karwA,8	anu_yA1_pp_skyA	-	-	-	-	-
