@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	waM	-	waM	wax{sarvanAma;puM;2;eka}	wax{sarvanAma;puM;2;eka}	karma,10	vaha	-	-	-	-	-
2	sAmya-yogawaH	-	sAmyayogawaH	sAma1{yaw;sAma;:curAxiH}/sAma1{Nyaw;sAma;:curAxiH-yoga;avya;wasil}	sAma1{Nyaw;sAma;:curAxiH-yoga;avya;wasil}	hewuH,10	-	-	-	-	-	-
3	loka-pAlAnAM	-	lokapAlAnAM	loka-pAla{puM;6;bahu}/pAla{napuM;6;bahu}/pAlA{swrI;6;bahu}	loka-pAla{puM;6;bahu}	RaRTIsambanXaH,4	loka-pAloM_ke	-	-	-	-	-
4	paFcamam	-	paFcamam	paFcama{puM;2;eka}/paFcama{napuM;1;eka}/paFcama{napuM;2;eka}/paFcama{puM;2;eka}/paFcama{napuM;1;eka}/paFcama{napuM;2;eka}	paFcama{puM;2;eka}	karmasamAnAXikaraNam,10	pAzcavez_ko	-	-	-	-	-
5	mahawAM	-	mahawAM	mahaw{puM;6;bahu}/mahaw{napuM;6;bahu}/}/mah1{karwari;lot;pra;xvi;parasmEpaxI;mahaz;:BvAxiH}	mahaw{napuM;6;bahu}	viSeRaNam,6	mahAnoM_kA	-	-	-	-	-
6	BUwAnAM	-	BUwAnAM	BUwa{napuM;6;bahu}/BUwa{puM;6;bahu(as2;kwa;asaz;:axAxiH)}/BUwa{napuM;6;bahu(as2;kwa;asaz;:axAxiH)}/BUwA{swrI;6;bahu(as2;kwa;asaz;:axAxiH)}/BUwa{puM;6;bahu(BU1;kwa;BU;:BvAxiH)}/BUwa{napuM;6;bahu(BU1;kwa;BU;:BvAxiH)}	BUwa{napuM;6;bahu(BU1;kwa;BU;:BvAxiH)}	RaRTIsambanXaH,7	prANiyoM_kA	-	-	-	-	-
7	RaRTam	-	RaRTam	RaRTa{puM;2;eka}/RaRTa{napuM;1;eka}/RaRTa{napuM;2;eka}/RaRTa{puM;2;eka}/RaRTa{napuM;1;eka}/RaRTa{napuM;2;eka}	RaRTa{puM;2;eka}	karmasamAnAXikaraNam,10	CaTAz	-	-	-	-	-
8	kula-BU-BqwAm	-	kulaBUBqwAm	kula-BU-BqwA{swrI;2;eka(kula-BU-Bq2;kwa;duBqF;:juhowyAxiH)}	kula-BU-Bqw{puM;6;bahu;duBqF;:juhowyAxiH}	RaRTIsambanXaH,9	kula-BU-BaraNa_karane_vAlI	-	-	-	-	-
9	aRtamam	-	aRtamam	aRtama{puM;2;eka}/aRtama{napuM;1;eka}/aRtama{napuM;2;eka}/aRtama{puM;2;eka}/aRtama{napuM;1;eka}/aRtama{napuM;2;eka}	aRtama{puM;2;eka}	karmasamAnAXikaraNam,10	ATavez_ko	-	-	-	-	-
10	UcuH	-	UcuH	uc1{karwari;lit;pra;bahu;parasmEpaxI;ucaz;:xivAxiH}/vac1{karwari;lit;pra;bahu;parasmEpaxI;vacaz;:axAxiH}	vac1{karwari;lit;pra;bahu;parasmEpaxI;vacaz;:axAxiH}	bole	-	-	-	-	-
