@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	prajAH	1	prajAswaxguruNA	prajA{swrI;2;bahu}/prajA{swrI;1;bahu}	prajA{swrI;1;bahu}	karwA,6	prajA	-	-	-	-	-
2	waw-guruNA	-	-	wax-guru{puM;3;eka}/guru{napuM;3;eka}	wax-guru{napuM;3;eka}	hewuH,6	vaha-guru_se	-	-	-	-	-
3	naxyaH	2	naxyo	naxI{swrI;2;bahu}/naxI{swrI;6;eka}/naxI{swrI;5;eka}/naxI{swrI;1;bahu}	naxI{swrI;1;bahu}	upamAnam,5	naxI_ke	-	-	-	-	-
4	naBasA	3	naBaseva	naBas{napuM;3;eka}/naBas{puM;3;eka}	naBas{puM;3;eka}	karaNam,3	naBas	-	-	-	-	-
5	iva	-	-	iva{avya}	iva{avya}	upamAnaxyowakaH,1	jEse	-	-	-	-	-
6	vivarXiwAH	4	vivarXiwAH	vi_vqX1{Nijanwa;kwa;vqXuz;:BvAxiHvi_varXiwa;swrI;2;bahu}/vi_vqX1{Nijanwa;kwa;vqXuz;:BvAxiHvi_varXiwa;swrI;1;bahu}/vi_vqX1{Nijanwa;kwa;vqXuz;:BvAxiHvi_varXiwa;puM;1;bahu}	vi_vqX1{Nijanwa;kwa;vqXuz;:BvAxiHvi_varXiwa;swrI;1;bahu}	BAvalakRaNasapwamI_samAnakAlaH,14	NWyA_huIM	-	-	-	-	-
7	wasmin	5	wasmiMswu	wax{sarvanAma;napuM;7;eka}/wax{sarvanAma;puM;7;eka}	wax{sarvanAma;puM;7;eka}	kAlAXikaraNam,14	usameM	-	-	-	awiWiH	-
8	wu	-	-	wu{avya}	wu{avya}	sambanXaH,7	wo	-	-	-	-	-
9	BUyasIm	6	BUyasIM	BUyas{swrI;2;eka}	BUyas{swrI;2;eka}	viSeRaNam,10	BUyas	-	-	-	-	-
10	vqxXim	7	vqxXiM	vqxXi{swrI;2;eka}	vqxXi{swrI;2;eka}	karma,14	vqxXi	-	-	-	-	-
11	naBasye	8	naBasye	naBasya{puM;7;eka}/naBasya{napuM;2;xvi}/naBasya{napuM;1;xvi}/naBasya{napuM;7;eka}/naBasya{swrI;2;xvi}/naBasya{swrI;1;xvi}	naBasya{napuM;7;eka}	kAlAXikaraNam,12	naBasya_meM	-	-	-	-	-
12	wAH	9	wA	wax{sarvanAma;swrI;2;bahu}/wax{sarvanAma;swrI;1;bahu}	wax{sarvanAma;swrI;2;bahu}	upamAnam,13	ve	-	-	-	naxyaH	-
13	iva	10	ivAyayuH	iva{avya}	iva{avya}	upamAnaxyowakaH,15	jEse	-	-	-	-	-
14	AyayuH	-	-	A_yA1{karwari;lit;pra;bahu;parasmEpaxI;yA;:axAxiH}	A_yA1{karwari;lit;pra;bahu;parasmEpaxI;yA;:axAxiH}	aBihiwa_karwA,1;sakarmaka	AIM	-	-	-	-	-
15	(prajAH)	-	(-)	prajA{swrI;2;bahu}/prajA{swrI;1;bahu}	prajA{swrI;1;bahu}	karwA,14	prajA	-	-	-	-	-
