@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	aWa	1	aWa	aWa{avya}	aWa{avya}	sambanXaH,12	Ora	-	-	-	-	-
2	yama-kubera-jaleSvara-vajriNAm	5	yamakuberajaleSvaravajriNAM 	yama-kubera-jaleSvara-vajriNAm{puM;6;bahu}	yama-kubera-jaleSvara-vajriNAm{puM;6;bahu}	RaRTIsambanXaH,3	yamarAja-kubera-varuNa-inxra_ke	-	-	-	-	yama-kubera-jaleSvara-vajri - @Yama,@Kubera,@Varuna,@Indra
3	samaXuram	6	samaXuraM 	samaXura{puM;2;eka}/Xur{swrI;2;eka}	samaXura{puM;2;eka}	viSeRaNam,6	samAna-Xura_ko	-	-	-	-	-
4	aFciwa-vikramam	-	-	aFciwa-vikrama{puM;2;eka}	aFc-vikrama{puM;2;eka}	viSeRaNam,6	pUjiwa-vikrama_ko	-	-	-	-	-
5	eka-nara-aXipam	-	-	eka-nara-aXipa{puM;2;eka}	eka-nara-aXipa{puM;2;eka}	viSeRaNam,6	eka-nara-aXipa_ko	-	-	-	-	-
6	wam	-	-	wax{sarvanAma;puM;2;eka}	wax{sarvanAma;puM;2;eka}	karma,12	usako	-	-	-	xaSaraWaM	-
7	seviwum	4	seviwumekanarAXipam.	sev1{avya;wumun;sevqz;:BvAxiH}	sev1{avya;wumun;sevqz;:BvAxiH}	prayojanam,12	sevA_ke_lie	-	-	-	-	-
8	iva	-	-	iva{avya}	iva{avya}	sambanXaH,12	jEse	-	-	-	-	-
9	navEH	-	-	nava{puM;3;bahu}/nava{napuM;3;bahu}	nava{napuM;3;bahu}	viSeRaNam,10	navoM_se	-	-	-	-	-
10	kusumEH	3	kusumErnavEswamiva 	kusuma{napuM;3;bahu}	kusuma{napuM;3;bahu}	sahArWaH,12	PUloM_se	-	-	-	-	-
11	maXuH	7	maXu	maXu{puM;1;eka}	maXu{puM;1;eka}	karwA,12	vasanwa_Qwu	-	-	-	-	-
12	samAvavqwe	2	samAvavqwe 	sam_A_vqw1{karwari;lit;pra;eka;AwmanepaxI;vqwuz;:BvAxiH}/sam_A_vqw1{karwari;lit;u;eka;AwmanepaxI;vqwuz;:BvAxiH}/}	sam_A_vqw1{karwari;lit;pra;eka;AwmanepaxI;vqwuz;:BvAxiH}	aBihiwa_karwA,11	sam_A_vqw1_ap_skyA	-	-	-	-	-
