@anvaya_@no	@word	@poem	@sandhied_@word	@morph_@analysis	@morph_@in_@context	@kaaraka_@sambandha	@hindi_@meaning	@english_@meaning	@samAsa	@prayoga	@sarvanAma	@name_@classification

1	saH	1	saH	wax{sarvanAma;puM;1;eka}	wax{sarvanAma;puM;1;eka}	viSeRaNam,2	vaha	-	-	-	-	-
2	wvaM	2	wvaM	yuRmax{sarvanAma;1;eka}	yuRmax{sarvanAma;1;eka}	karwA,14	wuma	-	-	-	kOsika muniH SiRyaH	-
3	praSaswe	3	praSaswe	praSaswa{napuM;1;xvi}/praSaswa{napuM;2;xvi}/praSaswA{swrI;1;xvi}/praSaswA{swrI;2;xvi}/praSaswa{napuM;8;xvi}/praSaswi{swrI;8;eka}/praSaswa{napuM;7;eka}	praSaswa{napuM;7;eka}	viSeRaNam,6	prasixXa_meM	-	-	-	-	-
4	mahiwe	4	mahiwe	mahi{wal;swrI;1;xvi}/mahi{wal;swrI;2;xvi}/mahiwa{puM;7;eka(maha1;kwa;maha;:curAxiH)}/mahiwa{napuM;1;xvi(maha1;kwa;maha;:curAxiH)}/mahiwa{napuM;2;xvi(maha1;kwa;maha;:curAxiH)}/mahiwa{napuM;7;eka(maha1;kwa;maha;:curAxiH)}/mahiwA{swrI;1;xvi(maha1;kwa;maha;:curAxiH)}/mahiwA{swrI;2;xvi(maha1;kwa;maha;:curAxiH)}/mahiwa{puM;7;eka(mah1;kwa;mahaz;:BvAxiH)}/mahiwa{napuM;1;xvi(mah1;kwa;mahaz;:BvAxiH)}/mahiwa{napuM;2;xvi(mah1;kwa;mahaz;:BvAxiH)}/mahiwa{napuM;7;eka(mah1;kwa;mahaz;:BvAxiH)}/mahiwA{swrI;1;xvi(mah1;kwa;mahaz;:BvAxiH)}/mahiwA{swrI;2;xvi(mah1;kwa;mahaz;:BvAxiH)}	mahiwa{puM;7;eka(mah1;kwa;mahaz;:BvAxiH)}	viSeRaNam,6	sammAniwa	-	-	-	-	-
5	maxIye	5	maxIye	maxIya{napuM;1;xvi}/maxIya{napuM;2;xvi}/maxIyA{swrI;1;xvi}/maxIyA{swrI;2;xvi}/maxIya{napuM;8;xvi}/maxIya{puM;7;eka}/maxIya{napuM;7;eka}	maxIya{puM;7;eka}	viSeRaNam,6	mere	-	-	-	mahA rAjA raGaH	-
6	agnyagAre	10	-	agnyagAra{puM;7;eka}	agnyagAra{puM;7;eka}	aXikaraNam,10	agnyagAra_meM	-	-	-	-	-
7	cawurWaH	7	-	cawurWa{puM;1;eka}/cawurWa{puM;1;eka}	cawurWa{puM;1;eka}	viSeRaNam,8	cOWA	-	-	-	-	-
8	agniH	8	-	agni{puM;1;eka}	agni{puM;1;eka}	upamAnam,6	agni	-	-	-	-	-
9	iva	9	-	iva{avya}	iva{avya}	upamAnaxyowakaH,8	jEse	-	-	-	-	-
10	vasan	6	vasaMScawurWoZgnirivAgnyagAre	vasaw{puM;1;eka(vas1;Sawq_lat;vasaz;:BvAxiH)}	vasaw{puM;1;eka(vas1;Sawq_lat;vasaz;:BvAxiH)}	varwamAnasamAnakAlaH,13	rahawA_huA	-	-	-	-	-
11	xviwrANi	11	xviwrANyahAnyarhasi	xviwra{napuM;1;bahu}/xviwra{napuM;2;bahu}	xviwra{napuM;2;bahu}	viSeRaNam,12	xviwroM_ko	-	-	-	-	-
12	ahAni	12	-	ahan{napuM;1;bahu}/ahan{napuM;2;bahu}/ahan{napuM;8;bahu}	ahan{napuM;2;bahu}	awyanwasaMyogaH,13	xinoM_ko	-	-	-	-	-
13	soDum	14	soDum	saha1{avya;wumun;Rahaz;:BvAxiH}	saha1{avya;wumun;Rahaz;:BvAxiH}	sahAyakakriyA,14	saha1	-	-	-	-	-
14	arhasi	13	-	arh1{karwari;lat;ma;eka;parasmEpaxI;arhaz;:BvAxiH}/arh2{karwari;lat;ma;eka;parasmEpaxI;arhaz;:curAxiH}	arh1{karwari;lat;ma;eka;parasmEpaxI;arhaz;:BvAxiH}	aBihiwa_karwA,2;sakarmaka	yogya_howe_ho	-	-	-	-	-
